tract_id,dist_subway_mean,dist_bus_mean,transit_stop_count,intersection_density
1015302,452.0,449.9,92,1016.0
1015401,489.9,505.7,81,649.4
1015402,545.6,488.6,76,785.6
1015403,472.4,524.3,87,724.5
1015501,443.9,473.4,80,870.9
1015502,655.1,542.2,50,552.6
1015601,493.3,486.2,74,767.8
1015602,322.3,514.6,75,827.6
1015700,505.6,519.5,99,728.3
1015801,522.0,516.5,85,629.0
1015802,311.3,491.1,73,716.8
1015900,578.3,495.0,78,669.7
1016001,605.6,536.0,67,518.2
1016002,514.6,495.5,62,635.3
1016100,510.4,527.7,91,629.0
1016200,735.6,530.5,40,468.6
1016300,342.6,470.7,55,537.3
1016400,629.9,493.6,74,714.3
1016500,556.5,504.2,97,532.2
1016600,517.0,511.9,87,700.3
1016700,505.8,488.2,75,581.9
1016800,628.7,533.3,71,688.8
1016900,449.6,490.0,83,567.9
1017000,502.2,465.9,61,648.1
1017100,462.1,471.1,59,473.6
1017200,414.5,531.6,83,635.3
1017300,548.9,522.9,93,478.7
1017401,588.1,545.7,81,897.6
1017402,524.9,543.3,85,788.1
1017500,492.2,539.7,66,455.8
1017700,509.3,496.6,84,553.9
1017800,681.6,508.7,41,495.3
1017900,328.1,496.6,62,547.5
1018000,503.1,497.1,72,565.3
1018100,554.4,499.0,82,658.3
1018200,482.4,543.4,88,658.3
1018300,458.7,462.6,68,654.4
1018400,600.8,554.5,99,770.3
1018500,475.6,498.9,85,679.9
1018600,583.8,561.5,85,976.6
1018700,485.1,506.0,77,654.4
1018800,594.7,509.2,76,570.4
1018900,538.5,532.4,94,841.6
1019000,551.6,537.9,95,767.8
1019100,423.0,505.9,81,578.1
1019200,628.5,543.5,42,620.1
1019300,541.1,503.0,106,877.3
1019400,483.8,464.6,66,776.7
1019500,506.3,469.3,87,779.2
1019600,389.9,502.0,78,1005.9
1019701,479.1,529.3,109,692.6
1019702,556.6,488.8,104,827.6
1019800,536.1,538.4,95,932.0
1019900,525.4,510.5,93,777.9
1020000,512.7,531.5,96,748.7
1020101,492.7,542.6,103,657.0
1020102,586.4,535.0,118,674.8
1020300,586.0,543.2,92,606.1
1020500,291.0,456.9,50,550.0
1020600,555.7,565.4,83,707.9
1020701,579.1,546.0,104,618.8
1020800,528.0,538.2,91,686.3
1020901,406.9,518.3,98,613.7
1021000,577.9,611.8,56,827.6
1021100,574.6,487.2,67,644.3
1021200,491.4,562.2,62,755.0
1021303,455.1,532.9,102,655.7
1021400,595.1,581.9,67,662.1
1021500,583.3,489.4,117,604.8
1021600,422.0,506.6,88,963.8
1021703,552.0,568.4,109,617.5
1021800,514.4,543.2,109,603.5
1021900,572.4,512.6,70,804.7
1022000,513.8,518.0,108,595.9
1022102,556.2,537.6,101,655.7
1022200,489.7,498.9,108,627.7
1022301,552.7,545.5,82,648.1
1022302,477.1,495.6,47,530.9
1022400,541.3,506.0,112,509.3
1022500,540.7,489.8,86,552.6
1022600,550.9,504.2,107,552.6
1022700,495.1,533.8,102,483.8
1022800,448.2,508.0,84,630.3
1022900,445.2,467.5,78,570.4
1023000,556.3,522.2,91,668.5
1023100,448.7,506.0,89,487.7
1023200,570.3,497.7,75,634.1
1023300,551.5,516.8,85,560.2
1023400,482.0,494.3,72,623.9
1023501,518.6,534.9,87,639.2
1023502,480.1,523.4,64,780.5
1023600,602.4,525.4,66,752.5
1023700,535.4,532.6,78,690.1
1023802,,614.3,31,459.6
1023803,458.8,564.5,52,678.6
1023804,143.1,536.6,43,448.2
1023900,307.4,498.3,59,790.7
1024000,,491.5,13,841.6
1024100,361.8,461.4,55,770.3
1024200,270.4,430.3,46,767.8
1024301,516.2,527.7,62,755.0
1024302,522.7,487.9,39,844.2
1024500,496.8,455.6,61,839.1
1024700,612.8,466.6,51,672.3
1024900,375.2,496.0,35,753.8
1025100,323.4,484.6,38,821.2
1025300,427.8,564.2,55,828.9
1025500,480.7,607.3,54,706.6
1025700,532.5,523.9,108,654.4
1025900,504.8,487.1,83,527.1
1026100,584.5,432.6,68,615.0
1026300,480.1,387.7,72,806.0
1026500,281.8,459.1,63,996.9
1026700,628.6,552.6,57,589.5
1026900,577.0,479.7,70,775.4
1027100,495.6,445.8,78,900.2
1027300,512.0,525.0,69,749.9
1027500,604.5,610.5,57,587.0
1027700,595.1,538.2,49,601.0
1027900,548.7,504.0,57,864.5
1028100,506.6,511.2,48,716.8
1028300,542.2,505.2,40,807.2
1028500,530.1,522.5,34,788.1
1028700,468.9,388.2,26,1004.6
1029100,396.5,507.7,30,627.7
1029300,434.0,408.1,33,578.1
1029500,435.2,636.6,32,411.3
1029700,529.8,548.4,19,318.3
1029900,403.6,512.1,27,552.6
1030300,336.1,348.4,22,490.2
1030700,487.8,537.9,24,505.5
1030900,465.5,591.3,23,971.5
1031100,681.9,527.9,67,525.8
1031703,637.6,596.8,111,3002.3
1031704,573.1,484.6,153,6140.8
1031900,519.2,457.1,101,2425.5
