tract_id,pedestrian_rank_mean,pedestrian_rank_max,pct_high_traffic_segments
1023502,3,3,0.0
1023600,4,3,0.0
1023700,3,2,11.4
1023802,3,3,0.0
1023803,3,3,0.0
1023804,3,3,0.0
1023900,3,3,0.0
1024000,5,5,0.0
1024100,3,2,9.8
1024200,3,2,33.8
1024301,4,3,0.0
1024302,3,3,0.0
1024500,3,2,16.1
1024700,3,3,0.0
1024900,3,3,0.0
1025100,3,2,10.6
1025300,3,2,14.0
1025500,3,3,0.0
1025700,3,3,0.0
1025900,3,2,4.5
1026100,4,3,0.0
1026300,3,2,20.0
1026500,3,2,13.8
1026700,3,3,0.0
1026900,3,2,4.0
1027100,3,2,7.7
1027300,4,3,0.0
1027500,4,3,0.0
1027700,3,3,0.0
1027900,4,3,0.0
1028100,3,3,0.0
1028300,4,3,0.0
1028500,3,2,2.9
1028700,4,2,4.8
1029100,3,2,3.9
1029300,3,2,25.0
1029500,3,2,9.4
1029700,3,3,0.0
1029900,4,2,4.3
1030300,3,3,0.0
1030700,4,3,0.0
1030900,4,2,9.5
1031100,4,2,2.6
1031703,3,2,10.8
1031704,3,2,5.3
1031900,2,1,66.7
