tract_id,borough,tract_lat,tract_lon,zone_type,tract_lot_count
1010803,MN,40.7602094,-73.9658576,Mixed-Use,58
1010900,MN,40.7524431,-73.9900212,Commercial,128
1011000,MN,40.7621314,-73.9635182,Mixed-Use,255
1011100,MN,40.7547956,-73.9953654,Mixed-Use,155
1011201,MN,40.7638203,-73.9756509,Commercial,55
1011202,MN,40.7625281,-73.9722784,Commercial,39
1011203,MN,40.7610931,-73.9690299,Commercial,59
1011300,MN,40.7547335,-73.9883964,Commercial,103
1011401,MN,40.7650927,-73.9702914,Commercial,98
1011402,MN,40.7637515,-73.9672092,Mixed-Use,165
1011500,MN,40.7567846,-73.9933928,Mixed-Use,122
1011600,MN,40.7634647,-73.956758,Institutional,53
1011700,MN,40.7594067,-73.9987192,Mixed-Use,39
1011800,MN,40.7652642,-73.9601198,Mixed-Use,142
1011900,MN,40.7575158,-73.9858426,Commercial,85
1012000,MN,40.7664862,-73.9649812,Residential,238
1012101,MN,40.7593778,-73.9903545,Mixed-Use,118
1012102,MN,40.7605707,-73.9928428,Mixed-Use,150
1012200,MN,40.768156,-73.9679217,Open Space,295
1012400,MN,40.7671011,-73.9538488,Mixed-Use,141
1012500,MN,40.7599859,-73.9848298,Commercial,103
1012601,MN,40.7680995,-73.9572461,Residential,107
1012602,MN,40.7691329,-73.9593836,Residential,120
1012700,MN,40.7621682,-73.9902021,Mixed-Use,332
1012800,MN,40.7709363,-73.9617484,Residential,261
1012901,MN,40.7620163,-73.9964942,Mixed-Use,80
1012902,MN,40.7641584,-73.9946641,Mixed-Use,124
1013000,MN,40.7729449,-73.9646362,Residential,242
1013100,MN,40.7628441,-73.9832801,Commercial,56
1013201,MN,40.7690516,-73.9527803,Mixed-Use,80
1013202,MN,40.77011,-73.9495212,Residential,22
1013203,MN,40.7708542,-73.9523229,Residential,98
1013300,MN,40.7646103,-73.9883884,Mixed-Use,236
1013400,MN,40.7718208,-73.9561137,Residential,276
1013501,MN,40.7670142,-73.9942003,Mixed-Use,54
1013502,MN,40.7695571,-73.991392,Mixed-Use,52
1013601,MN,40.7725057,-73.9456842,Open Space,20
1013602,MN,40.7721525,-73.9483707,Residential,54
1013603,MN,40.7730106,-73.9507577,Residential,51
1013604,MN,40.7740549,-73.9487003,Residential,148
1013700,MN,40.7651847,-73.9802733,Commercial,132
1013800,MN,40.7752001,-73.9536929,Residential,302
1013900,MN,40.7672903,-73.986589,Residential,176
1014000,MN,40.7758359,-73.9581294,Residential,276
1014200,MN,40.7771079,-73.9616269,Residential,276
1014401,MN,40.7752037,-73.9478917,Residential,108
1014402,MN,40.7767854,-73.9462822,Residential,202
1014500,MN,40.7701103,-73.9843455,Institutional,32
1014601,MN,40.7770863,-73.9522389,Mixed-Use,118
1014602,MN,40.7789225,-73.950697,Residential,150
1014700,MN,40.7715928,-73.9888294,Institutional,15
1014801,MN,40.7787657,-73.9562173,Mixed-Use,53
1014802,MN,40.7812304,-73.9540577,Mixed-Use,157
1014900,MN,40.7722021,-73.9813532,Mixed-Use,52
1015001,MN,40.7802075,-73.9595492,Residential,37
1015002,MN,40.7826333,-73.957492,Residential,91
1015101,MN,40.7740156,-73.9872964,Residential,16
1015102,MN,40.7744238,-73.9904577,Mixed-Use,40
1015200,MN,40.7794654,-73.9457438,Mixed-Use,64
1015301,MN,40.7746901,-73.9791472,Residential,138
1015302,MN,40.7756799,-73.9814781,Mixed-Use,68
1015401,MN,40.7801571,-73.949514,Residential,113
1015402,MN,40.7815357,-73.9477155,Residential,100
1015403,MN,40.7826506,-73.9498269,Mixed-Use,9
1015501,MN,40.7766633,-73.9844224,Mixed-Use,16
1015502,MN,40.7783572,-73.9882971,Open Space,16
1015601,MN,40.7833859,-73.9475216,Mixed-Use,73
1015602,MN,40.7850102,-73.9472148,Residential,20
1015700,MN,40.7774303,-73.9789089,Residential,323
1015801,MN,40.784209,-73.9521872,Residential,221
1015802,MN,40.7867295,-73.9506632,Mixed-Use,58
1015900,MN,40.7793715,-73.9843442,Mixed-Use,222
1016001,MN,40.7855046,-73.9556455,Residential,180
1016002,MN,40.7878793,-73.9535725,Residential,46
1016100,MN,40.7798336,-73.9774276,Residential,326
1016200,MN,40.7872986,-73.9390088,Mixed-Use,33
1016300,MN,40.7824509,-73.9826623,Open Space,212
1016400,MN,40.7878051,-73.9434542,Mixed-Use,60
1016500,MN,40.7831891,-73.9759909,Institutional,218
1016600,MN,40.7895968,-73.9480477,Residential,253
1016700,MN,40.7847601,-73.9798804,Open Space,173
1016800,MN,40.7918672,-73.9513743,Residential,46
1016900,MN,40.7850882,-73.9729826,Residential,329
1017000,MN,40.7902751,-73.9421939,Residential,152
1017100,MN,40.7875792,-73.9788305,Residential,198
1017200,MN,40.7935778,-73.944663,Mixed-Use,264
1017300,MN,40.7876072,-73.9710382,Residential,353
1017401,MN,40.7954281,-73.948736,Mixed-Use,37
1017402,MN,40.7964119,-73.9467503,Mixed-Use,27
1017500,MN,40.7903604,-73.9772741,Residential,192
1017700,MN,40.7903466,-73.9694982,Residential,130
1017800,MN,40.7959163,-73.9335345,Mixed-Use,280
1017900,MN,40.7923588,-73.9748598,Residential,166
1018000,MN,40.7936601,-73.9403728,Residential,198
1018100,MN,40.7921282,-73.9676073,Residential,179
1018200,MN,40.7988883,-73.9411669,Residential,167
1018300,MN,40.7951021,-73.9725541,Mixed-Use,121
1018400,MN,40.8006522,-73.9443373,Residential,157
1018500,MN,40.7948421,-73.9669792,Residential,20
1018600,MN,40.7982342,-73.9505303,Residential,25
1018700,MN,40.7978392,-73.9707571,Residential,165
1018800,MN,40.7975387,-73.9374213,Mixed-Use,322
1018900,MN,40.797627,-73.9628862,Residential,192
1019000,MN,40.8026094,-73.9473681,Mixed-Use,85
1019100,MN,40.8002703,-73.9689997,Mixed-Use,182
