tract_id,shop_count,shop_density_km2,shop_type_entropy,brand_ratio
1014602,17,21.65,3.5725,0.1176
1014700,6,7.64,2.2516,0.3333
1014801,39,49.66,4.163,0.5641
1014802,42,53.48,4.1345,0.1905
1014900,3,3.82,0.9183,0.0
1015001,15,19.1,1.9899,0.2667
1015002,4,5.09,2.0,0.5
1015101,5,6.37,1.9219,0.0
1015102,6,7.64,2.585,0.1667
1015200,8,10.19,2.4056,0.0
1015301,11,14.01,2.5503,0.2727
1015302,22,28.01,3.2656,0.5909
1015401,25,31.83,3.7337,0.08
1015402,12,15.28,3.085,0.0833
1015403,15,19.1,3.2402,0.1333
1015501,21,26.74,3.4399,0.2381
1015502,2,2.55,1.0,0.0
1015601,13,16.55,3.3927,0.0769
1015602,5,6.37,1.9219,0.2
1015700,55,70.03,4.4575,0.2364
1015801,24,30.56,3.8035,0.0
1015802,21,26.74,3.059,0.0476
1015900,31,39.47,4.2328,0.129
1016001,15,19.1,3.1396,0.0667
1016002,11,14.01,2.8454,0.0
1016100,41,52.2,4.3178,0.1707
1016200,0,0.0,0.0,0.0
1016300,24,30.56,3.4346,0.2083
1016400,19,24.19,2.7926,0.1579
1016500,36,45.84,4.0934,0.1944
1016600,50,63.66,3.7337,0.08
1016700,57,72.57,4.6676,0.0877
1016800,6,7.64,1.2516,0.3333
1016900,25,31.83,3.7835,0.0
1017000,28,35.65,3.3963,0.0357
1017100,39,49.66,4.1091,0.1026
1017200,37,47.11,4.0645,0.1351
1017300,15,19.1,3.7736,0.0667
1017401,6,7.64,2.2516,0.0
1017402,7,8.91,2.2359,0.0
1017500,22,28.01,3.7544,0.0909
1017700,17,21.65,3.4548,0.1765
1017800,23,29.28,3.5512,0.1739
1017900,43,54.75,4.2374,0.0698
1018000,16,20.37,3.0244,0.0625
1018100,11,14.01,3.0958,0.0909
1018200,16,20.37,3.375,0.0625
1018300,43,54.75,4.229,0.1628
1018400,7,8.91,2.5216,0.0
1018500,18,22.92,3.2663,0.6111
1018600,5,6.37,1.9219,0.0
1018700,43,54.75,4.3571,0.0465
1018800,11,14.01,2.8454,0.0909
1018900,23,29.28,3.2947,0.0
1019000,10,12.73,2.9219,0.3
1019100,33,42.02,3.9543,0.0909
1019200,6,7.64,1.7925,0.0
1019300,31,39.47,4.0181,0.0968
1019400,6,7.64,1.7925,0.3333
1019500,35,44.56,4.0227,0.1143
1019600,3,3.82,0.9183,0.0
1019701,0,0.0,0.0,0.0
1019702,13,16.55,3.1808,0.0
1019800,15,19.1,3.5069,0.2667
1019900,27,34.38,4.1064,0.1481
1020000,13,16.55,3.3927,0.3077
1020101,0,0.0,0.0,0.0
1020102,13,16.55,3.027,0.0769
1020300,13,16.55,3.027,0.0
1020500,6,7.64,1.9183,0.5
1020600,1,1.27,-0.0,0.0
1020701,6,7.64,2.585,0.0
1020800,2,2.55,1.0,0.0
1020901,12,15.28,3.085,0.5833
1021000,2,2.55,-0.0,1.0
1021100,11,14.01,2.8454,0.1818
1021200,5,6.37,1.371,0.0
1021303,0,0.0,0.0,0.0
1021400,5,6.37,1.371,0.2
1021500,5,6.37,2.3219,0.0
1021600,0,0.0,0.0,0.0
1021703,0,0.0,0.0,0.0
1021800,13,16.55,3.5466,0.0769
1021900,1,1.27,-0.0,0.0
1022000,1,1.27,-0.0,0.0
1022102,2,2.55,1.0,0.0
1022200,26,33.1,3.7924,0.5385
1022301,4,5.09,1.5,0.25
1022302,1,1.27,-0.0,0.0
1022400,12,15.28,3.2516,0.4167
1022500,3,3.82,1.585,0.3333
1022600,5,6.37,2.3219,0.0
1022700,3,3.82,1.585,0.0
1022800,1,1.27,-0.0,0.0
1022900,8,10.19,2.1556,0.375
1023000,5,6.37,2.3219,0.0
1023100,5,6.37,1.9219,0.2
1023200,16,20.37,2.8994,0.0
1023300,2,2.55,1.0,0.0
1023400,5,6.37,2.3219,0.0
1023501,5,6.37,1.9219,0.0
1023502,0,0.0,0.0,0.0
1023600,1,1.27,-0.0,0.0
1023700,1,1.27,-0.0,0.0
1023802,3,3.82,1.585,0.6667
1023803,1,1.27,-0.0,1.0
1023804,0,0.0,0.0,0.0
1023900,2,2.55,1.0,0.0
1024000,0,0.0,0.0,0.0
1024100,3,3.82,1.585,0.0
1024200,11,14.01,3.2776,0.3636
1024301,3,3.82,1.585,0.3333
1024302,5,6.37,2.3219,0.0
1024500,1,1.27,-0.0,0.0
1024700,2,2.55,1.0,0.0
1024900,1,1.27,-0.0,0.0
1025100,2,2.55,1.0,0.0
