tract_id,borough,tract_lat,tract_lon,zone_type,tract_lot_count,amenity_count_total,amenity_count_food_drink,amenity_count_retail,amenity_count_services,amenity_count_office,amenity_count_hotel,amenity_count_entertainment,amenity_count_education,amenity_count_healthcare,amenity_ratio_food_drink,amenity_ratio_retail,amenity_ratio_services,amenity_ratio_office,amenity_ratio_hotel,amenity_ratio_entertainment,amenity_ratio_education,amenity_ratio_healthcare,amenity_density,avg_floors,avg_yearbuilt,lot_area_mean,total_bldg_area,building_count,landuse_entropy,landuse_hhi,dist_subway_mean,dist_bus_mean,transit_stop_count,intersection_density,hotel_count,tourism_poi_count,tourism_density,tourism_ratio,pedestrian_rank_mean,pedestrian_rank_max,pct_high_traffic_segments,shop_count,shop_density_km2,shop_type_entropy,brand_ratio
1001600,MN,40.716121,-73.9923225,Mixed-Use,312,152,76,33,19,3,6,11,2,2,0.5,0.2171,0.125,0.0197,0.0395,0.0724,0.0132,0.0132,193.53,5.2,1916,4477.0,3858375.0,338,2.4762,0.2348,533.2,447.6,103,1944.2,6,13,16.55,0.0855,3,2,23.3,77,98.04,4.8751,0.0
1001800,MN,40.7190903,-73.9910107,Mixed-Use,311,189,81,50,21,5,3,19,5,5,0.4286,0.2646,0.1111,0.0265,0.0159,0.1005,0.0265,0.0265,240.64,5.6,1921,4535.0,5322404.0,334,2.3456,0.2745,552.2,524.7,120,1264.3,3,15,19.1,0.0794,3,2,34.8,93,118.41,4.6859,0.0215
1002000,MN,40.720082,-73.9768781,Residential,3,9,2,1,0,0,0,0,4,2,0.2222,0.1111,0.0,0.0,0.0,0.0,0.4444,0.2222,11.46,9.5,1927,252429.0,1797649.0,19,0.4958,0.8434,,527.3,30,557.7,0,0,0.0,0.0,4,3,0.0,1,1.27,-0.0,0.0
1002100,MN,40.7146108,-74.0091137,Mixed-Use,178,223,98,51,30,11,4,7,2,20,0.4395,0.2287,0.1345,0.0493,0.0179,0.0314,0.009,0.0897,283.93,10.0,1917,11168.0,17959547.0,185,1.9868,0.2884,422.3,411.5,193,3984.0,4,26,33.1,0.1166,2,1,90.8,88,112.05,4.7183,0.1477
1002201,MN,40.7199307,-73.9833189,Residential,103,52,24,6,14,0,0,5,3,0,0.4615,0.1154,0.2692,0.0,0.0,0.0962,0.0577,0.0,66.21,5.3,1935,12661.0,3407448.0,110,2.1768,0.2569,471.9,549.1,72,812.3,0,5,6.37,0.0962,3,2,11.4,26,33.1,3.2712,0.0
1002202,MN,40.7213613,-73.9812291,Residential,97,29,14,6,5,0,0,3,0,1,0.4828,0.2069,0.1724,0.0,0.0,0.1034,0.0,0.0345,36.92,5.6,1941,3596.0,1454509.0,98,2.2848,0.249,662.4,551.2,72,671.0,0,0,0.0,0.0,3,3,0.0,14,17.83,3.4677,0.0714
1002400,MN,40.7253337,-73.9734155,Residential,7,6,1,1,0,0,0,2,1,1,0.1667,0.1667,0.0,0.0,0.0,0.3333,0.1667,0.1667,7.64,11.3,1949,132306.0,1450209.0,28,1.5073,0.4053,,529.6,33,392.2,0,0,0.0,0.0,3,2,1.9,3,3.82,1.585,0.0
1002500,MN,40.7091548,-73.9977792,Mixed-Use,7,3,2,0,0,0,0,1,0,0,0.6667,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,3.82,6.5,1941,289781.0,1515392.0,18,1.605,0.3755,716.4,553.1,69,1373.8,0,2,2.55,0.6667,4,3,0.0,1,1.27,-0.0,0.0
1002601,MN,40.7223844,-73.9797719,Residential,145,16,3,4,2,1,0,2,2,2,0.1875,0.25,0.125,0.0625,0.0,0.125,0.125,0.125,20.37,4.9,1930,5476.0,1866820.0,118,2.4944,0.2106,777.4,513.9,61,623.9,0,1,1.27,0.0625,4,3,0.0,6,7.64,1.9183,0.0
1002602,MN,40.7243404,-73.9787519,Residential,200,29,18,6,1,1,0,0,2,1,0.6207,0.2069,0.0345,0.0345,0.0,0.0,0.069,0.0345,36.92,5.0,1924,3799.0,2404674.0,195,2.388,0.2311,716.8,465.7,63,604.8,0,0,0.0,0.0,3,3,0.0,12,15.28,2.7516,0.0
1002700,MN,40.7126638,-73.9982039,Residential,50,39,23,8,3,0,0,0,2,3,0.5897,0.2051,0.0769,0.0,0.0,0.0,0.0513,0.0769,49.66,4.9,1907,7172.0,964791.0,55,2.0603,0.3259,661.9,519.4,121,3134.7,0,6,7.64,0.1538,3,2,18.3,16,20.37,3.4528,0.0625
