tract_id,amenity_count_total,amenity_count_food_drink,amenity_count_retail,amenity_count_services,amenity_count_office,amenity_count_hotel,amenity_count_entertainment,amenity_count_education,amenity_count_healthcare,amenity_ratio_food_drink,amenity_ratio_retail,amenity_ratio_services,amenity_ratio_office,amenity_ratio_hotel,amenity_ratio_entertainment,amenity_ratio_education,amenity_ratio_healthcare,amenity_density
1019000,26,9,7,5,0,0,0,1,4,0.3462,0.2692,0.1923,0.0,0.0,0.0,0.0385,0.1538,33.1
1019100,81,35,16,12,2,1,8,3,4,0.4321,0.1975,0.1481,0.0247,0.0123,0.0988,0.037,0.0494,103.13
1019200,14,2,6,0,0,0,2,3,1,0.1429,0.4286,0.0,0.0,0.0,0.1429,0.2143,0.0714,17.83
1019300,55,23,10,13,2,0,0,3,4,0.4182,0.1818,0.2364,0.0364,0.0,0.0,0.0545,0.0727,70.03
1019400,12,3,4,0,0,0,2,1,2,0.25,0.3333,0.0,0.0,0.0,0.1667,0.0833,0.1667,15.28
1019500,89,43,17,18,1,0,2,4,4,0.4831,0.191,0.2022,0.0112,0.0,0.0225,0.0449,0.0449,113.32
1019600,8,4,3,0,0,0,0,0,1,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.125,10.19
1019701,5,2,0,0,0,0,0,1,2,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.4,6.37
1019702,30,16,7,5,1,0,0,0,1,0.5333,0.2333,0.1667,0.0333,0.0,0.0,0.0,0.0333,38.2
1019800,29,9,8,4,1,0,2,1,4,0.3103,0.2759,0.1379,0.0345,0.0,0.069,0.0345,0.1379,36.92
1019900,72,40,14,7,0,0,1,4,6,0.5556,0.1944,0.0972,0.0,0.0,0.0139,0.0556,0.0833,91.67
1020000,35,14,7,5,0,0,3,3,3,0.4,0.2,0.1429,0.0,0.0,0.0857,0.0857,0.0857,44.56
1020101,5,5,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.37
