cell_id,amenity_density,amenity_ratio_food_drink
r0032_c0089,0.0,0.0
r0032_c0090,0.0,0.0
r0032_c0091,88.89,0.5
r0032_c0092,177.78,0.0
r0032_c0093,0.0,0.0
r0032_c0094,0.0,0.0
r0032_c0095,177.78,0.0
r0032_c0096,0.0,0.0
r0032_c0097,133.33,0.0
r0032_c0098,88.89,0.0
r0032_c0100,88.89,0.0
r0032_c0101,133.33,0.0
r0032_c0105,0.0,0.0
r0032_c0114,0.0,0.0
r0033_c0090,44.44,1.0
r0033_c0091,0.0,0.0
r0033_c0092,0.0,0.0
r0033_c0093,88.89,0.0
r0033_c0094,266.67,0.0
r0033_c0095,0.0,0.0
r0033_c0098,444.44,0.0
r0033_c0100,311.11,0.0
r0033_c0101,0.0,0.0
r0033_c0102,0.0,0.0
r0033_c0103,44.44,0.0
r0033_c0104,0.0,0.0
r0033_c0105,44.44,0.0
r0033_c0106,0.0,0.0
r0033_c0107,0.0,0.0
r0033_c0108,0.0,0.0
r0033_c0111,88.89,0.0
r0033_c0112,177.78,0.0
r0033_c0113,311.11,0.0
r0033_c0114,44.44,0.0
r0033_c0115,88.89,0.0
r0034_c0089,0.0,0.0
r0034_c0090,44.44,0.0
r0034_c0091,311.11,0.0
r0034_c0092,0.0,0.0
r0034_c0093,133.33,0.0
r0034_c0094,44.44,0.0
r0034_c0095,88.89,0.0
r0034_c0096,0.0,0.0
r0034_c0097,222.22,0.0
r0034_c0100,88.89,0.0
r0034_c0101,88.89,0.0
r0034_c0102,0.0,0.0
r0034_c0103,0.0,0.0
r0034_c0104,0.0,0.0
r0034_c0105,0.0,0.0
r0034_c0106,0.0,0.0
r0034_c0107,0.0,0.0
r0034_c0108,44.44,0.0
r0034_c0109,88.89,0.0
r0034_c0111,0.0,0.0
r0034_c0112,0.0,0.0
r0034_c0113,0.0,0.0
r0034_c0114,44.44,0.0
r0034_c0115,0.0,0.0
r0034_c0117,222.22,0.0
r0034_c0123,0.0,0.0
r0034_c0124,0.0,0.0
r0034_c0125,222.22,0.0
r0035_c0088,0.0,0.0
r0035_c0089,0.0,0.0
r0035_c0090,0.0,0.0
r0035_c0091,44.44,0.0
r0035_c0092,0.0,0.0
r0035_c0093,44.44,0.0
r0035_c0094,177.78,0.0
r0035_c0095,266.67,0.0
r0035_c0096,88.89,0.0
r0035_c0097,88.89,0.0
r0035_c0102,266.67,0.0
r0035_c0103,0.0,0.0
r0035_c0104,44.44,0.0
r0035_c0105,44.44,0.0
r0035_c0106,0.0,0.0
r0035_c0107,133.33,0.0
r0035_c0108,0.0,0.0
r0035_c0109,0.0,0.0
r0035_c0110,0.0,0.0
r0035_c0111,44.44,0.0
r0035_c0112,0.0,0.0
r0035_c0113,0.0,0.0
r0035_c0114,0.0,0.0
r0035_c0115,44.44,0.0
r0035_c0117,800.0,0.3889
r0035_c0119,311.11,0.0
r0035_c0120,133.33,0.0
r0035_c0121,133.33,0.0
r0035_c0122,88.89,0.0
r0035_c0123,0.0,0.0
r0035_c0124,44.44,0.0
r0035_c0125,133.33,0.0
r0036_c0080,88.89,0.0
r0036_c0088,0.0,0.0
r0036_c0089,0.0,0.0
r0036_c0090,222.22,0.0
r0036_c0091,88.89,0.0
r0036_c0092,88.89,0.0
r0036_c0093,44.44,0.0
r0036_c0094,88.89,0.0
r0036_c0095,88.89,0.0
r0036_c0096,0.0,0.0
r0036_c0102,311.11,0.0
r0036_c0103,0.0,0.0
r0036_c0104,0.0,0.0
r0036_c0105,0.0,0.0
r0036_c0107,0.0,0.0
r0036_c0108,0.0,0.0
r0036_c0109,177.78,0.0
r0036_c0110,266.67,0.3333
r0036_c0111,44.44,0.0
r0036_c0112,0.0,0.0
r0036_c0113,0.0,0.0
r0036_c0114,0.0,0.0
r0036_c0115,0.0,0.0
r0036_c0117,222.22,0.2
r0036_c0118,44.44,0.0
r0036_c0119,44.44,0.0
r0036_c0120,88.89,0.0
r0036_c0121,44.44,0.0
r0036_c0122,44.44,0.0
r0036_c0123,0.0,0.0
r0036_c0124,44.44,0.0
r0036_c0125,0.0,0.0
r0037_c0078,266.67,0.0
r0037_c0079,266.67,0.1667
r0037_c0080,177.78,0.0
r0037_c0089,0.0,0.0
r0037_c0090,88.89,0.0
r0037_c0091,88.89,0.0
r0037_c0092,133.33,0.0
r0037_c0093,44.44,0.0
r0037_c0094,0.0,0.0
r0037_c0095,44.44,0.0
r0037_c0096,88.89,0.0
r0037_c0104,0.0,0.0
r0037_c0105,0.0,0.0
r0037_c0110,177.78,0.0
r0037_c0111,44.44,0.0
r0037_c0112,0.0,0.0
r0037_c0113,0.0,0.0
r0037_c0114,266.67,0.0
r0037_c0115,0.0,0.0
r0037_c0116,0.0,0.0
r0037_c0117,44.44,0.0
r0037_c0118,44.44,0.0
r0037_c0119,0.0,0.0
r0037_c0120,88.89,0.0
r0037_c0121,0.0,0.0
r0037_c0122,44.44,0.0
r0037_c0123,0.0,0.0
r0037_c0124,0.0,0.0
r0037_c0125,222.22,0.0
r0038_c0077,44.44,0.0
r0038_c0078,177.78,0.0
r0038_c0079,266.67,0.0
r0038_c0080,311.11,0.0
r0038_c0104,0.0,0.0
r0038_c0105,0.0,0.0
r0038_c0109,355.56,0.0
r0038_c0110,0.0,0.0
r0038_c0111,133.33,0.0
r0038_c0112,88.89,0.0
r0038_c0113,88.89,0.0
r0038_c0114,177.78,0.0
r0038_c0115,0.0,0.0
r0038_c0116,44.44,0.0
r0038_c0117,44.44,1.0
r0038_c0118,44.44,0.0
r0038_c0119,0.0,0.0
r0038_c0120,0.0,0.0
r0038_c0121,0.0,0.0
r0038_c0122,44.44,0.0
r0038_c0123,0.0,0.0
r0038_c0124,88.89,0.0
r0038_c0125,177.78,0.0
r0039_c0078,133.33,0.0
r0039_c0079,488.89,0.0
r0039_c0080,577.78,0.0
r0039_c0105,0.0,0.0
r0039_c0109,0.0,0.0
r0039_c0110,0.0,0.0
r0039_c0111,311.11,0.0
r0039_c0112,0.0,0.0
r0039_c0113,0.0,0.0
r0039_c0114,0.0,0.0
r0039_c0115,0.0,0.0
r0039_c0116,44.44,0.0
r0039_c0117,133.33,0.6667
r0039_c0118,44.44,0.0
r0039_c0119,0.0,0.0
r0039_c0120,0.0,0.0
r0039_c0121,44.44,0.0
r0039_c0122,0.0,0.0
r0039_c0123,0.0,0.0
r0039_c0124,44.44,0.0
r0039_c0125,177.78,0.0
r0040_c0078,177.78,0.0
r0040_c0079,577.78,0.0
r0040_c0080,266.67,0.0
r0040_c0081,0.0,0.0
r0040_c0108,44.44,0.0
r0040_c0109,0.0,0.0
r0040_c0110,44.44,0.0
r0040_c0111,0.0,0.0
r0040_c0112,0.0,0.0
r0040_c0113,0.0,0.0
r0040_c0114,44.44,0.0
r0040_c0115,0.0,0.0
r0040_c0116,44.44,0.0
r0040_c0117,177.78,0.25
r0040_c0118,88.89,0.0
r0040_c0119,177.78,0.25
r0040_c0120,0.0,0.0
r0040_c0121,0.0,0.0
r0040_c0122,0.0,0.0
r0040_c0123,0.0,0.0
r0040_c0124,0.0,0.0
r0040_c0125,133.33,0.0
r0041_c0078,44.44,0.0
r0041_c0079,266.67,0.0
r0041_c0080,444.44,0.0
r0041_c0081,0.0,0.0
r0041_c0108,0.0,0.0
r0041_c0109,0.0,0.0
r0041_c0110,0.0,0.0
r0041_c0111,0.0,0.0
r0041_c0112,44.44,0.0
r0041_c0113,44.44,0.0
r0041_c0114,0.0,0.0
r0041_c0115,0.0,0.0
r0041_c0116,44.44,0.0
r0041_c0117,622.22,0.2143
r0041_c0118,133.33,0.0
r0041_c0119,177.78,0.0
r0041_c0120,0.0,0.0
r0041_c0121,0.0,0.0
r0041_c0122,88.89,0.0
r0041_c0123,0.0,0.0
r0041_c0124,0.0,0.0
r0041_c0125,133.33,0.0
r0042_c0078,0.0,0.0
r0042_c0079,177.78,0.0
r0042_c0080,488.89,0.0
r0042_c0081,44.44,0.0
r0042_c0082,0.0,0.0
r0042_c0108,0.0,0.0
r0042_c0109,133.33,0.0
r0042_c0110,44.44,0.0
r0042_c0111,44.44,0.0
r0042_c0112,0.0,0.0
r0042_c0113,0.0,0.0
r0042_c0114,0.0,0.0
r0042_c0115,0.0,0.0
r0042_c0116,711.11,0.3125
r0042_c0117,44.44,0.0
r0042_c0118,0.0,0.0
r0042_c0119,44.44,0.0
r0042_c0120,0.0,0.0
r0042_c0121,44.44,0.0
r0042_c0122,0.0,0.0
r0042_c0123,0.0,0.0
r0042_c0124,177.78,0.0
r0043_c0079,222.22,0.0
r0043_c0080,666.67,0.0
r0043_c0081,577.78,0.0
r0043_c0082,177.78,0.0
r0043_c0108,0.0,0.0
r0043_c0109,0.0,0.0
r0043_c0110,44.44,0.0
r0043_c0111,44.44,0.0
r0043_c0112,44.44,0.0
r0043_c0113,0.0,0.0
r0043_c0114,44.44,0.0
r0043_c0115,0.0,0.0
r0043_c0116,44.44,0.0
r0043_c0117,44.44,0.0
r0043_c0118,88.89,0.0
r0043_c0119,44.44,0.0
r0043_c0120,88.89,0.0
r0043_c0121,0.0,0.0
r0043_c0122,133.33,0.0
r0043_c0123,0.0,0.0
r0044_c0079,44.44,0.0
r0044_c0080,311.11,0.0
r0044_c0081,533.33,0.0
r0044_c0082,266.67,0.0
r0044_c0108,0.0,0.0
r0044_c0109,0.0,0.0
r0044_c0110,0.0,0.0
r0044_c0111,311.11,0.0
r0044_c0112,0.0,0.0
r0044_c0113,0.0,0.0
r0044_c0114,0.0,0.0
r0044_c0115,0.0,0.0
r0044_c0116,0.0,0.0
r0044_c0117,44.44,0.0
r0044_c0118,133.33,0.0
r0044_c0119,0.0,0.0
r0044_c0120,44.44,0.0
r0044_c0121,0.0,0.0
r0044_c0122,0.0,0.0
r0044_c0123,177.78,0.0
r0045_c0080,133.33,0.0
r0045_c0081,222.22,0.0
r0045_c0108,0.0,0.0
r0045_c0109,44.44,0.0
r0045_c0110,44.44,0.0
r0045_c0111,88.89,0.0
r0045_c0114,44.44,0.0
r0045_c0115,0.0,0.0
r0045_c0116,0.0,0.0
r0045_c0117,533.33,0.0833
r0045_c0119,177.78,0.0
r0045_c0120,0.0,0.0
r0045_c0121,88.89,0.0
r0045_c0122,0.0,0.0
r0046_c0080,44.44,0.0
r0046_c0081,44.44,0.0
r0046_c0106,0.0,0.0
r0046_c0107,0.0,0.0
r0046_c0108,88.89,0.0
r0046_c0109,44.44,0.0
r0046_c0110,0.0,0.0
r0046_c0111,0.0,0.0
r0046_c0112,222.22,0.0
r0046_c0120,444.44,0.0
r0046_c0121,0.0,0.0
r0046_c0122,266.67,0.0
r0047_c0079,44.44,0.0
r0047_c0080,177.78,0.0
r0047_c0107,44.44,0.0
r0047_c0108,222.22,0.0
r0047_c0109,0.0,0.0
r0047_c0110,88.89,0.0
r0047_c0120,400.0,0.0
r0047_c0121,711.11,0.1875
r0048_c0078,133.33,0.0
r0048_c0079,88.89,0.0
r0048_c0080,44.44,0.0
r0048_c0108,0.0,0.0
r0048_c0109,0.0,0.0
r0048_c0110,577.78,0.0
r0049_c0079,0.0,0.0
r0050_c0079,355.56,0.0
r0064_c0123,222.22,0.0
r0064_c0124,844.44,0.1579
r0065_c0121,0.0,0.0
r0065_c0124,800.0,0.0556
r0066_c0121,88.89,0.0
r0066_c0122,177.78,0.25
r0066_c0123,400.0,0.1111
r0067_c0122,0.0,0.0
r0067_c0123,266.67,0.0
r0069_c0123,44.44,0.0
r0070_c0122,0.0,0.0
r0070_c0123,0.0,0.0
r0071_c0122,44.44,0.0
r0071_c0123,0.0,0.0
r0072_c0122,0.0,0.0
r0072_c0123,0.0,0.0
r0072_c0124,2177.78,0.0
r0073_c0065,0.0,0.0
r0073_c0122,0.0,0.0
r0074_c0065,977.78,0.0
r0074_c0066,577.78,0.0
r0074_c0067,622.22,0.0
r0074_c0068,444.44,0.0
r0074_c0069,222.22,0.0
r0074_c0070,177.78,0.25
r0075_c0064,0.0,0.0
r0075_c0065,800.0,0.0
r0075_c0066,666.67,0.0
r0075_c0067,800.0,0.0
r0075_c0068,400.0,0.0
r0075_c0069,266.67,0.1667
r0075_c0070,577.78,0.1538
r0075_c0071,355.56,0.0
r0075_c0072,755.56,0.0
r0075_c0073,577.78,0.0
r0075_c0074,44.44,0.0
r0075_c0075,622.22,0.0
r0075_c0076,0.0,0.0
r0075_c0126,133.33,0.0
r0075_c0127,88.89,0.0
r0075_c0128,177.78,0.0
r0075_c0129,133.33,0.0
r0075_c0130,311.11,0.0
r0076_c0064,444.44,0.0
r0076_c0065,400.0,0.0
r0076_c0066,755.56,0.0
r0076_c0067,977.78,0.0
r0076_c0068,800.0,0.0
r0076_c0069,666.67,0.2
r0076_c0070,311.11,0.0
r0076_c0071,577.78,0.0
r0076_c0072,488.89,0.0
r0076_c0073,400.0,0.0
