cell_id,avg_floors,avg_yearbuilt,total_bldg_area,building_count
r0028_c0081,1.3,1966,17335.0,3
r0028_c0082,2.3,1944,125709.0,44
r0028_c0083,2.2,1941,112778.0,57
r0028_c0086,6.0,1931,596850.0,7
r0028_c0090,2.3,1996,29858.0,12
r0028_c0091,2.5,2007,10517.0,6
r0029_c0081,2.0,1928,13820.0,6
r0029_c0082,2.0,1938,104212.0,81
r0029_c0083,2.2,1958,139565.0,69
r0029_c0084,1.8,1936,99284.0,56
r0029_c0088,5.2,2001,652683.0,11
r0029_c0089,5.0,1997,556783.0,7
r0029_c0090,2.4,2003,97519.0,34
r0029_c0091,2.9,2007,132545.0,50
r0029_c0092,2.5,2007,97472.0,37
r0029_c0093,3.0,2012,17624.0,7
r0029_c0094,2.6,2011,92940.0,34
r0029_c0095,3.0,2014,71122.0,25
r0030_c0081,1.8,1944,4566.0,3
r0030_c0082,2.6,1983,87686.0,20
r0030_c0083,1.8,1941,69594.0,73
r0030_c0084,1.8,1945,92179.0,84
r0030_c0085,2.8,1959,28939.0,11
r0030_c0088,3.4,1999,192828.0,26
r0030_c0089,2.9,2004,222226.0,79
r0030_c0090,2.5,2006,61962.0,10
r0030_c0091,2.8,2007,75150.0,27
r0030_c0092,3.2,2008,198791.0,19
r0030_c0093,3.3,2012,149424.0,12
r0030_c0094,2.6,2011,141438.0,53
r0030_c0095,3.1,2014,103555.0,36
r0030_c0096,2.9,2005,115237.0,51
r0030_c0097,1.9,1973,66795.0,37
r0031_c0083,1.2,1934,31983.0,3
r0031_c0084,2.0,1955,35891.0,25
r0031_c0085,2.0,1972,76017.0,33
r0031_c0086,,,0.0,0
r0031_c0087,1.0,1930,6000.0,1
r0031_c0088,3.3,1980,203834.0,3
r0031_c0089,1.6,1942,54322.0,23
r0031_c0090,1.0,1949,29697.0,24
r0031_c0091,3.1,1941,226085.0,9
r0031_c0092,2.2,1963,27609.0,15
r0031_c0093,2.5,2012,32347.0,8
r0031_c0094,2.6,2008,84044.0,19
r0031_c0095,3.0,2012,154728.0,54
r0031_c0096,2.2,1988,118792.0,55
r0031_c0097,1.9,1982,86002.0,31
r0032_c0084,,,0.0,0
r0032_c0085,1.8,1987,6939.0,17
r0032_c0086,,1930,0.0,8
r0032_c0087,,,0.0,1
r0032_c0089,1.6,1959,39810.0,7
r0032_c0090,1.4,1939,70024.0,36
r0032_c0091,2.2,1963,51361.0,15
r0032_c0092,2.2,1933,106703.0,60
r0032_c0093,2.1,1945,111346.0,43
r0032_c0094,2.5,1983,101800.0,42
r0032_c0095,2.3,1960,175982.0,21
r0032_c0096,2.0,1988,26414.0,12
r0032_c0097,2.1,1992,78862.0,30
r0032_c0098,2.0,2003,12000.0,7
r0032_c0100,1.0,1963,2950.0,3
r0032_c0101,1.0,1968,7000.0,1
r0032_c0105,2.0,,6462.0,1
r0032_c0114,9.0,2004,112779.0,2
r0033_c0090,1.3,1940,24384.0,18
r0033_c0091,1.9,1951,89816.0,69
r0033_c0092,2.3,1955,104381.0,55
r0033_c0093,2.2,1947,127125.0,28
r0033_c0094,1.8,1952,49750.0,33
r0033_c0095,1.5,1944,90141.0,33
r0033_c0098,5.0,1954,505910.0,7
r0033_c0100,4.2,1967,307054.0,7
r0033_c0101,1.0,1949,43630.0,1
r0033_c0102,1.0,1989,28000.0,1
r0033_c0103,1.5,1955,108548.0,25
r0033_c0104,2.8,1983,205995.0,23
r0033_c0105,2.7,2003,87469.0,18
r0033_c0106,1.4,1958,13559.0,13
r0033_c0107,1.6,1939,6649.0,5
r0033_c0108,,,0.0,0
r0033_c0111,2.1,1960,32455.0,15
r0033_c0112,2.4,2004,59883.0,23
r0033_c0113,2.3,1959,186429.0,25
r0033_c0114,2.1,1971,121241.0,72
r0033_c0115,1.6,1932,326784.0,12
r0034_c0089,1.0,1930,3305.0,7
r0034_c0090,1.5,1944,30455.0,32
r0034_c0091,1.7,1940,111856.0,79
r0034_c0092,2.0,1964,72388.0,43
r0034_c0093,1.8,1940,93047.0,59
r0034_c0094,1.8,1944,161467.0,48
r0034_c0095,1.1,1953,82594.0,45
r0034_c0096,1.0,1930,3110.0,2
r0034_c0097,1.0,1973,7025.0,4
r0034_c0100,4.0,1983,292599.0,9
r0034_c0101,8.5,1998,292673.0,2
r0034_c0102,3.5,1973,78798.0,2
r0034_c0103,1.5,1966,70366.0,42
r0034_c0104,1.8,1947,71732.0,59
r0034_c0105,2.0,1987,95726.0,61
r0034_c0106,1.8,1983,82274.0,55
r0034_c0107,2.0,1981,52396.0,32
r0034_c0108,1.8,1954,16271.0,6
r0034_c0109,3.0,1931,39025.0,1
r0034_c0111,2.2,1986,115477.0,59
r0034_c0112,2.8,1990,137220.0,46
r0034_c0113,2.5,1973,89288.0,43
r0034_c0114,1.7,1958,112020.0,92
r0034_c0115,1.3,1935,101417.0,15
r0034_c0117,15.3,1972,410183.0,3
r0034_c0123,9.7,1973,773839.0,4
r0034_c0124,3.0,2016,7770.0,2
r0034_c0125,1.9,1959,70036.0,45
r0035_c0088,1.5,1945,1218.0,5
r0035_c0089,1.7,1984,40197.0,17
r0035_c0090,1.8,1966,82974.0,56
r0035_c0091,1.8,1960,104337.0,75
r0035_c0092,2.0,1970,90557.0,60
r0035_c0093,1.8,1959,89036.0,53
r0035_c0094,1.8,1959,128828.0,68
r0035_c0095,2.0,1991,91010.0,51
r0035_c0096,2.0,2004,14000.0,7
r0035_c0097,,,0.0,0
r0035_c0102,2.2,1990,147861.0,4
r0035_c0103,1.2,1957,83989.0,63
r0035_c0104,1.8,1943,61963.0,46
r0035_c0105,1.6,1955,53190.0,33
r0035_c0106,2.0,1994,31381.0,10
r0035_c0107,2.2,1990,37120.0,21
r0035_c0108,2.0,1991,71619.0,43
r0035_c0109,2.5,1997,122555.0,13
r0035_c0110,,,0.0,0
r0035_c0111,3.0,1961,511936.0,32
r0035_c0112,2.2,1951,94582.0,49
r0035_c0113,2.2,1949,72897.0,41
r0035_c0114,2.1,1948,69879.0,47
r0035_c0115,1.7,1945,490289.0,27
r0035_c0117,2.0,1963,74283.0,24
r0035_c0119,4.7,1967,261004.0,38
r0035_c0120,2.3,1961,156678.0,17
r0035_c0121,2.8,1971,110214.0,22
r0035_c0122,3.0,1986,17260.0,7
r0035_c0123,8.0,2007,139219.0,2
r0035_c0124,3.0,2016,78042.0,20
r0035_c0125,2.1,1960,66649.0,51
r0036_c0080,1.8,1937,12435.0,14
r0036_c0088,1.8,1935,2117.0,4
r0036_c0089,2.0,2010,47656.0,25
r0036_c0090,1.9,1985,75051.0,43
r0036_c0091,1.6,1942,153185.0,84
r0036_c0092,1.3,1967,72998.0,45
r0036_c0093,1.8,1974,74958.0,51
r0036_c0094,1.9,1973,111146.0,68
r0036_c0095,2.0,1998,86173.0,43
r0036_c0096,1.9,2004,34318.0,8
r0036_c0102,,,0.0,0
r0036_c0103,1.4,1965,34543.0,29
r0036_c0104,1.3,1940,57423.0,52
r0036_c0105,1.4,1939,36410.0,30
r0036_c0107,3.6,1968,263784.0,11
r0036_c0108,2.1,1987,52387.0,35
r0036_c0109,1.7,1959,17342.0,16
r0036_c0110,2.7,1996,206034.0,6
r0036_c0111,2.2,1986,73427.0,36
r0036_c0112,2.4,1962,110344.0,56
r0036_c0113,2.0,1943,81704.0,56
r0036_c0114,1.9,1947,82896.0,70
r0036_c0115,1.8,1954,57814.0,28
r0036_c0117,2.3,1948,79667.0,21
r0036_c0118,1.9,1945,55281.0,35
r0036_c0119,2.6,1986,202403.0,42
r0036_c0120,2.1,1948,301796.0,20
r0036_c0121,1.9,1954,91886.0,51
r0036_c0122,2.4,1990,103545.0,36
r0036_c0123,2.3,2004,35365.0,12
r0036_c0124,1.7,1953,44514.0,23
r0036_c0125,,,0.0,0
r0037_c0078,1.8,1935,1502.0,4
r0037_c0079,1.8,1951,31113.0,19
r0037_c0080,1.9,1958,33010.0,24
r0037_c0089,,,0.0,0
r0037_c0090,1.4,1941,17922.0,13
r0037_c0091,1.3,1959,69498.0,44
r0037_c0092,1.7,1966,40567.0,26
r0037_c0093,1.8,1979,73581.0,43
r0037_c0094,2.0,1988,36430.0,18
r0037_c0095,2.0,2011,42107.0,21
r0037_c0096,2.0,2020,38602.0,17
r0037_c0104,1.3,1945,26209.0,28
r0037_c0105,1.8,1974,14739.0,10
r0037_c0110,2.8,1948,159065.0,15
r0037_c0111,2.1,1984,130246.0,35
r0037_c0112,1.8,1963,95419.0,47
r0037_c0113,1.9,1933,82102.0,57
r0037_c0114,1.9,1931,64877.0,56
r0037_c0115,2.3,1948,263847.0,41
r0037_c0116,2.4,1949,251731.0,24
r0037_c0117,6.0,1956,124828.0,2
r0037_c0118,2.3,1972,112677.0,28
r0037_c0119,1.7,1967,109126.0,43
r0037_c0120,2.1,1956,201571.0,38
r0037_c0121,1.7,1949,62745.0,52
r0037_c0122,1.9,1950,84737.0,62
r0037_c0123,2.0,1951,59385.0,43
r0037_c0124,2.0,1975,84301.0,38
r0037_c0125,2.0,1983,143286.0,32
r0038_c0077,1.9,1931,10917.0,8
r0038_c0078,1.9,1936,22632.0,22
r0038_c0079,1.9,1932,37341.0,28
r0038_c0080,1.8,1960,44304.0,23
r0038_c0104,1.0,1925,480.0,2
r0038_c0105,1.5,1949,33397.0,25
r0038_c0109,2.0,1971,33542.0,14
r0038_c0110,2.1,1982,112198.0,58
r0038_c0111,2.0,1969,129099.0,35
r0038_c0112,2.0,1970,91547.0,48
r0038_c0113,1.9,1971,78511.0,34
r0038_c0114,2.0,1967,196225.0,32
r0038_c0115,2.4,1967,179934.0,29
r0038_c0116,2.3,1951,188298.0,31
r0038_c0117,2.2,1949,157880.0,31
r0038_c0118,2.7,1981,144951.0,33
r0038_c0119,2.4,1966,277517.0,35
r0038_c0120,2.1,1973,114934.0,54
r0038_c0121,1.9,1952,134523.0,36
r0038_c0122,2.2,1971,170537.0,22
r0038_c0123,1.9,1975,90299.0,25
r0038_c0124,2.0,1968,80375.0,30
r0038_c0125,2.2,1971,92759.0,39
r0039_c0078,1.8,1936,33975.0,23
r0039_c0079,1.5,1938,49213.0,40
r0039_c0080,1.8,1967,26345.0,17
r0039_c0105,1.1,1920,5118.0,9
r0039_c0109,2.0,1975,144242.0,49
r0039_c0110,2.0,1957,121109.0,30
r0039_c0111,3.0,1966,47850.0,2
r0039_c0112,2.2,1973,79383.0,34
r0039_c0113,2.2,1938,47117.0,28
r0039_c0114,2.1,1962,155616.0,42
r0039_c0115,2.2,1973,154544.0,40
r0039_c0116,2.4,1933,212059.0,15
r0039_c0117,1.9,1935,190004.0,22
r0039_c0118,2.1,1979,171287.0,28
r0039_c0119,2.9,1981,289839.0,13
r0039_c0120,2.3,1940,193966.0,36
r0039_c0121,2.1,1946,111878.0,30
r0039_c0122,2.0,1941,76980.0,47
r0039_c0123,1.7,1967,112851.0,36
r0039_c0124,1.6,1965,65477.0,17
r0039_c0125,1.9,1959,97154.0,31
r0040_c0078,1.7,1932,37313.0,28
r0040_c0079,1.5,1931,98501.0,76
r0040_c0080,1.7,1949,29980.0,24
r0040_c0081,1.3,1923,2641.0,3
r0040_c0108,2.0,1985,51847.0,22
r0040_c0109,2.0,1997,120607.0,32
r0040_c0110,1.9,1962,69441.0,37
r0040_c0111,1.9,1942,60868.0,45
r0040_c0112,1.9,1953,52715.0,31
r0040_c0113,2.1,1947,78112.0,45
r0040_c0114,2.0,1981,79810.0,37
