cell_id,cell_lat,cell_lon,zone_type,cell_building_count,amenity_density,amenity_ratio_food_drink,avg_height,avg_floors,avg_construction_year,building_count,residential_ratio,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
r0013_c0504,48.1374698,2.4844085,residential,16,0.0,0.0,3.7,1.3,1977.0,23,0.609,1.5645,0.0,0.0,0.0
r0013_c0505,48.1374698,2.4864604,residential,18,0.0,0.0,3.5,1.3,2006.0,20,0.8,1.0219,0.0,0.0,0.0
r0013_c0602,48.1374698,2.6854985,industrial,7,0.0,0.0,3.9,1.0,,11,0.0,0.9457,0.0,0.0,0.0
r0013_c0603,48.1374698,2.6875504,industrial,20,0.0,0.0,4.2,1.0,1971.0,27,0.074,1.173,0.0,0.0,0.0
r0013_c0661,48.1374698,2.8065629,residential,13,0.0,0.0,3.4,1.1,1848.0,21,0.619,1.2678,0.0,0.0,0.0
r0014_c0500,48.1388211,2.4762007,residential,50,44.44,0.0,4.6,1.4,1835.0,77,0.403,1.8424,0.0,0.0,0.0
r0014_c0501,48.1388211,2.4782527,residential,32,133.33,0.0,4.2,1.3,1876.0,47,0.362,1.876,0.0,0.0,0.0
r0014_c0502,48.1388211,2.4803046,residential,15,44.44,0.0,4.1,1.3,1977.0,18,0.778,1.0975,0.0,0.0,0.0
r0014_c0503,48.1388211,2.4823565,residential,3,0.0,0.0,4.0,1.1,1976.0,17,0.118,1.6457,0.0,0.0,0.0
r0014_c0565,48.1388211,2.6095768,residential,6,0.0,0.0,3.2,1.0,2005.0,9,0.444,2.0588,0.0,0.0,0.0
r0014_c0603,48.1388211,2.6875504,industrial,9,0.0,0.0,4.3,1.0,1976.0,11,0.0,0.684,0.0,0.0,0.0
r0014_c0604,48.1388211,2.6896024,industrial,7,0.0,0.0,4.3,1.1,1971.0,8,0.375,1.4056,0.0,0.0,0.0
r0014_c0605,48.1388211,2.6916543,residential,9,88.89,0.0,3.6,1.1,1960.0,15,0.6,1.231,0.0,0.0,0.0
r0014_c0661,48.1388211,2.8065629,residential,6,88.89,0.0,3.7,1.1,1886.0,15,0.333,1.6895,44.44,44.44,0.0
r0014_c0662,48.1388211,2.8086148,residential,3,0.0,0.0,3.1,1.1,1863.0,9,0.333,1.5305,0.0,0.0,0.0
r0014_c0666,48.1388211,2.8168226,residential,4,44.44,0.0,3.6,1.2,1850.0,6,0.667,1.2516,0.0,0.0,0.0
r0015_c0498,48.1401725,2.4720969,residential,4,0.0,0.0,3.7,1.1,1996.0,9,0.444,0.9911,0.0,0.0,0.0
