cell_id,cell_lat,cell_lon,zone_type,cell_building_count
r0018_c0607,48.1442265,2.6957582,residential,35
r0018_c0608,48.1442265,2.6978101,residential,33
r0018_c0609,48.1442265,2.6998621,commercial,22
r0018_c0610,48.1442265,2.701914,industrial,5
r0018_c0662,48.1442265,2.8086148,residential,4
r0018_c0678,48.1442265,2.8414459,residential,3
r0019_c0565,48.1455779,2.6095768,residential,27
r0019_c0606,48.1455779,2.6937063,commercial,3
r0019_c0607,48.1455779,2.6957582,residential,20
r0019_c0608,48.1455779,2.6978101,residential,29
r0019_c0609,48.1455779,2.6998621,residential,36
r0019_c0611,48.1455779,2.703966,industrial,3
r0019_c0614,48.1455779,2.7101218,residential,18
r0019_c0620,48.1455779,2.7224334,residential,4
r0019_c0634,48.1455779,2.7511606,residential,22
r0019_c0635,48.1455779,2.7532125,residential,12
r0019_c0662,48.1455779,2.8086148,residential,12
r0019_c0663,48.1455779,2.8106668,residential,9
r0019_c0678,48.1455779,2.8414459,residential,3
r0020_c0565,48.1469292,2.6095768,residential,12
r0020_c0606,48.1469292,2.6937063,commercial,4
r0020_c0607,48.1469292,2.6957582,commercial,15
r0020_c0608,48.1469292,2.6978101,residential,53
r0020_c0609,48.1469292,2.6998621,residential,62
r0020_c0610,48.1469292,2.701914,residential,12
r0020_c0611,48.1469292,2.703966,residential,7
r0020_c0612,48.1469292,2.7060179,residential,3
r0020_c0613,48.1469292,2.7080698,residential,8
r0020_c0614,48.1469292,2.7101218,residential,14
r0020_c0624,48.1469292,2.7306412,residential,7
r0020_c0625,48.1469292,2.7326931,residential,23
r0020_c0628,48.1469292,2.7388489,residential,3
r0020_c0634,48.1469292,2.7511606,residential,13
r0020_c0662,48.1469292,2.8086148,residential,22
r0020_c0663,48.1469292,2.8106668,residential,7
r0020_c0664,48.1469292,2.8127187,residential,3
r0020_c0675,48.1469292,2.83529,residential,3
r0020_c0676,48.1469292,2.837342,residential,4
r0021_c0565,48.1482806,2.6095768,residential,5
r0021_c0606,48.1482806,2.6937063,commercial,10
r0021_c0607,48.1482806,2.6957582,residential,10
r0021_c0608,48.1482806,2.6978101,residential,55
r0021_c0609,48.1482806,2.6998621,residential,126
r0021_c0610,48.1482806,2.701914,residential,85
r0021_c0611,48.1482806,2.703966,residential,8
r0021_c0613,48.1482806,2.7080698,industrial,3
r0021_c0615,48.1482806,2.7121737,residential,3
r0021_c0616,48.1482806,2.7142257,residential,3
r0021_c0617,48.1482806,2.7162776,residential,4
r0021_c0624,48.1482806,2.7306412,residential,4
r0021_c0626,48.1482806,2.734745,residential,4
r0021_c0627,48.1482806,2.736797,residential,16
r0021_c0628,48.1482806,2.7388489,residential,18
r0021_c0629,48.1482806,2.7409009,residential,17
r0021_c0661,48.1482806,2.8065629,residential,4
r0021_c0662,48.1482806,2.8086148,residential,8
r0021_c0674,48.1482806,2.8332381,residential,9
r0021_c0675,48.1482806,2.83529,residential,3
r0021_c0676,48.1482806,2.837342,residential,3
r0022_c0606,48.1496319,2.6937063,industrial,14
r0022_c0607,48.1496319,2.6957582,residential,27
r0022_c0608,48.1496319,2.6978101,residential,44
r0022_c0609,48.1496319,2.6998621,residential,53
r0022_c0610,48.1496319,2.701914,commercial,68
r0022_c0611,48.1496319,2.703966,residential,69
r0022_c0612,48.1496319,2.7060179,residential,37
r0022_c0613,48.1496319,2.7080698,commercial,10
r0022_c0614,48.1496319,2.7101218,residential,7
r0022_c0615,48.1496319,2.7121737,residential,16
r0022_c0620,48.1496319,2.7224334,residential,3
r0022_c0630,48.1496319,2.7429528,residential,9
r0022_c0631,48.1496319,2.7450047,residential,9
r0022_c0632,48.1496319,2.7470567,residential,7
r0022_c0674,48.1496319,2.8332381,residential,4
r0022_c0675,48.1496319,2.83529,residential,14
r0022_c0676,48.1496319,2.837342,residential,3
r0022_c0678,48.1496319,2.8414459,residential,3
r0023_c0546,48.1509833,2.5705899,residential,3
r0023_c0606,48.1509833,2.6937063,industrial,10
r0023_c0607,48.1509833,2.6957582,commercial,18
r0023_c0608,48.1509833,2.6978101,industrial,9
r0023_c0609,48.1509833,2.6998621,residential,5
r0023_c0611,48.1509833,2.703966,residential,21
r0023_c0612,48.1509833,2.7060179,residential,22
r0023_c0613,48.1509833,2.7080698,commercial,12
r0023_c0614,48.1509833,2.7101218,residential,43
r0023_c0615,48.1509833,2.7121737,residential,23
r0023_c0616,48.1509833,2.7142257,residential,5
r0023_c0620,48.1509833,2.7224334,residential,7
r0023_c0631,48.1509833,2.7450047,residential,19
r0023_c0632,48.1509833,2.7470567,residential,3
r0023_c0674,48.1509833,2.8332381,residential,39
r0023_c0675,48.1509833,2.83529,residential,11
r0023_c0676,48.1509833,2.837342,residential,4
r0024_c0542,48.1523346,2.5623822,residential,6
r0024_c0543,48.1523346,2.5644341,residential,16
r0024_c0544,48.1523346,2.566486,residential,5
r0024_c0590,48.1523346,2.6608752,residential,4
r0024_c0611,48.1523346,2.703966,residential,4
r0024_c0612,48.1523346,2.7060179,residential,4
r0024_c0613,48.1523346,2.7080698,residential,14
r0024_c0614,48.1523346,2.7101218,residential,7
r0024_c0621,48.1523346,2.7244853,residential,4
r0024_c0622,48.1523346,2.7265373,residential,9
r0024_c0672,48.1523346,2.8291342,residential,12
r0024_c0673,48.1523346,2.8311862,residential,26
r0024_c0674,48.1523346,2.8332381,residential,65
r0024_c0675,48.1523346,2.83529,residential,31
r0024_c0676,48.1523346,2.837342,residential,7
r0025_c0589,48.153686,2.6588233,residential,10
r0025_c0590,48.153686,2.6608752,residential,7
r0025_c0591,48.153686,2.6629272,residential,14
r0025_c0602,48.153686,2.6854985,industrial,3
r0025_c0603,48.153686,2.6875504,industrial,7
r0025_c0604,48.153686,2.6896024,industrial,8
r0025_c0605,48.153686,2.6916543,industrial,5
r0025_c0606,48.153686,2.6937063,residential,7
r0025_c0628,48.153686,2.7388489,residential,5
r0025_c0629,48.153686,2.7409009,residential,7
r0025_c0674,48.153686,2.8332381,residential,7
r0025_c0675,48.153686,2.83529,residential,7
r0026_c0575,48.1550373,2.6300962,residential,11
r0026_c0576,48.1550373,2.6321481,residential,17
r0026_c0591,48.1550373,2.6629272,residential,5
r0026_c0592,48.1550373,2.6649791,residential,4
r0026_c0602,48.1550373,2.6854985,industrial,3
r0026_c0603,48.1550373,2.6875504,industrial,13
r0026_c0604,48.1550373,2.6896024,industrial,3
r0026_c0605,48.1550373,2.6916543,residential,16
r0026_c0606,48.1550373,2.6937063,residential,28
r0026_c0629,48.1550373,2.7409009,residential,3
r0026_c0674,48.1550373,2.8332381,residential,4
r0027_c0576,48.1563887,2.6321481,residential,15
r0027_c0577,48.1563887,2.6342,residential,4
r0027_c0592,48.1563887,2.6649791,residential,4
r0027_c0595,48.1563887,2.6711349,residential,8
r0027_c0596,48.1563887,2.6731869,residential,10
r0027_c0597,48.1563887,2.6752388,residential,9
r0027_c0606,48.1563887,2.6937063,residential,33
r0027_c0607,48.1563887,2.6957582,residential,9
r0027_c0613,48.1563887,2.7080698,industrial,5
r0027_c0629,48.1563887,2.7409009,residential,5
r0028_c0526,48.15774,2.5295511,residential,5
r0028_c0543,48.15774,2.5644341,residential,7
r0028_c0592,48.15774,2.6649791,residential,9
r0028_c0593,48.15774,2.6670311,residential,11
r0028_c0595,48.15774,2.6711349,residential,5
r0028_c0596,48.15774,2.6731869,residential,3
r0028_c0598,48.15774,2.6772907,residential,5
r0028_c0606,48.15774,2.6937063,residential,5
r0028_c0607,48.15774,2.6957582,residential,6
r0028_c0629,48.15774,2.7409009,residential,6
r0028_c0667,48.15774,2.8188745,residential,3
r0028_c0670,48.15774,2.8250304,residential,3
r0028_c0671,48.15774,2.8270823,residential,14
r0029_c0526,48.1590914,2.5295511,residential,10
r0029_c0543,48.1590914,2.5644341,residential,3
r0029_c0622,48.1590914,2.7265373,residential,5
r0029_c0623,48.1590914,2.7285892,residential,7
r0029_c0706,48.1590914,2.8989002,residential,5
r0030_c0623,48.1604427,2.7285892,residential,21
r0030_c0624,48.1604427,2.7306412,residential,25
r0030_c0625,48.1604427,2.7326931,residential,20
r0030_c0626,48.1604427,2.734745,residential,27
r0030_c0627,48.1604427,2.736797,residential,10
r0030_c0710,48.1604427,2.9071079,residential,12
r0031_c0627,48.1617941,2.736797,residential,9
r0032_c0627,48.1631454,2.736797,residential,7
r0032_c0637,48.1631454,2.7573164,residential,5
r0033_c0588,48.1644968,2.6567714,residential,3
r0033_c0589,48.1644968,2.6588233,residential,10
r0033_c0627,48.1644968,2.736797,residential,9
r0033_c0636,48.1644968,2.7552644,industrial,3
r0033_c0637,48.1644968,2.7573164,industrial,6
r0034_c0589,48.1658481,2.6588233,residential,16
r0034_c0590,48.1658481,2.6608752,residential,9
r0034_c0626,48.1658481,2.734745,residential,5
r0034_c0627,48.1658481,2.736797,industrial,3
r0034_c0629,48.1658481,2.7409009,residential,5
r0034_c0636,48.1658481,2.7552644,industrial,10
r0034_c0693,48.1658481,2.8722249,residential,3
r0034_c0694,48.1658481,2.8742769,residential,23
r0034_c0695,48.1658481,2.8763288,residential,7
r0035_c0595,48.1671995,2.6711349,residential,4
r0035_c0596,48.1671995,2.6731869,residential,3
r0035_c0635,48.1671995,2.7532125,residential,5
r0035_c0636,48.1671995,2.7552644,residential,3
r0035_c0639,48.1671995,2.7614202,residential,4
r0035_c0640,48.1671995,2.7634722,residential,9
r0035_c0694,48.1671995,2.8742769,residential,9
r0035_c0695,48.1671995,2.8763288,residential,12
r0035_c0696,48.1671995,2.8783808,residential,6
r0035_c0697,48.1671995,2.8804327,residential,14
r0035_c0698,48.1671995,2.8824846,residential,11
r0036_c0564,48.1685508,2.6075248,residential,7
r0036_c0565,48.1685508,2.6095768,residential,5
r0036_c0595,48.1685508,2.6711349,residential,4
r0036_c0617,48.1685508,2.7162776,industrial,6
