city,cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
NYC,r0016_c0019,40.7085485,-74.0118928,Institutional,6,1111.11,0.12,24.6,1936,2086141.0,8.0,1.2128,0.0,44.44,0.0,577.78,44.44,44.44
NYC,r0016_c0020,40.7085485,-74.0101084,Commercial,9,2355.56,0.0566,26.8,1921,3327828.0,6.0,0.1122,44.44,266.67,7.11,88.89,177.78,0.0
NYC,r0016_c0021,40.7085485,-74.008324,Commercial,12,2933.33,0.1212,14.4,1923,2504640.0,12.0,0.5289,266.67,44.44,5.65,0.0,177.78,44.44
NYC,r0016_c0022,40.7085485,-74.0065396,Mixed-Use,12,2311.11,0.1538,24.4,1946,2678369.0,11.0,0.9868,311.11,133.33,1.78,133.33,133.33,44.44
NYC,r0016_c0023,40.7085485,-74.0047552,Mixed-Use,17,5777.78,0.0846,11.1,1943,1248995.0,17.0,1.2406,355.56,0.0,10.07,0.0,88.89,44.44
NYC,r0016_c0024,40.7085485,-74.0029708,Mixed-Use,3,3422.22,0.0,20.0,1981,208576.0,2.0,1.1667,0.0,88.89,0.0,222.22,88.89,0.0
NYC,r0016_c0025,40.7085485,-74.0011864,Mixed-Use,33,4000.0,0.0889,5.5,1900,540189.0,37.0,2.7146,0.0,0.0,0.0,0.0,444.44,44.44
NYC,r0017_c0016,40.7098999,-74.017246,Mixed-Use,4,15822.22,0.0562,16.3,1986,604843.0,4.0,0.8939,133.33,0.0,0.66,133.33,222.22,88.89
NYC,r0017_c0018,40.7098999,-74.0136772,Mixed-Use,9,8844.44,0.0251,27.7,1943,958620.0,5.0,1.9541,0.0,0.0,14.52,0.0,133.33,0.0
NYC,r0017_c0019,40.7098999,-74.0118928,Mixed-Use,9,2177.78,0.1429,9.1,1953,400407.0,12.0,2.2868,44.44,0.0,0.0,711.11,222.22,44.44
NYC,r0017_c0020,40.7098999,-74.0101084,Commercial,19,2666.67,0.1667,16.2,1940,2962360.0,16.0,0.5258,711.11,0.0,10.14,444.44,177.78,0.0
NYC,r0017_c0021,40.7098999,-74.008324,Mixed-Use,34,3911.11,0.3523,9.7,1917,1254343.0,27.0,2.2066,1288.89,88.89,0.0,488.89,88.89,44.44
