cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,brand_ratio
cell_00009340,29.507880964121565,-95.16299582289476,Residential,14,0.0,0.0,1.0,2011.0,71309,14,0.2754,0.0,0.0,0.0
cell_00009341,29.507880964121565,-95.16144075708227,Residential,7,0.0,0.0,1.0,2011.0,36169,7,-0.0,0.0,0.0,0.0
cell_00009342,29.507880964121565,-95.15988569126984,Residential,11,0.0,0.0,1.0,2006.0,58051,11,-0.0,0.0,0.0,0.0
cell_00009343,29.507880964121565,-95.15833062545737,Residential,12,0.0,0.0,1.0,2009.0,67562,12,-0.0,0.0,0.0,0.0
cell_00010018,29.509229946530443,-95.16455088870724,Residential,4,0.0,0.0,1.0,2009.0,19523,5,0.1997,0.0,0.0,0.0
cell_00010019,29.509229946530443,-95.16299582289476,Residential,13,0.0,0.0,1.0,2011.0,70521,13,-0.0,0.0,0.0,0.0
cell_00010020,29.509229946530443,-95.16144075708227,Residential,12,0.0,0.0,1.0,2010.0,64804,12,-0.0,0.0,0.0,0.0
cell_00010021,29.509229946530443,-95.15988569126984,Residential,11,0.0,0.0,1.0,2008.0,59408,11,-0.0,0.0,0.0,0.0
cell_00010022,29.509229946530443,-95.15833062545737,Residential,13,0.0,0.0,1.0,2007.0,66711,13,-0.0,0.0,0.0,0.0
cell_00010023,29.509229946530443,-95.1567755596449,Residential,5,0.0,0.0,1.0,2011.0,25547,5,-0.0,0.0,0.0,0.0
cell_00010697,29.51057892893932,-95.16455088870724,Commercial,3,0.0,0.0,1.0,2015.0,6197,3,0.6909,0.0,0.0,0.0
cell_00010698,29.51057892893932,-95.16299582289476,Residential,14,0.0,0.0,1.0,2012.0,79096,14,-0.0,0.0,0.0,0.0
cell_00010699,29.51057892893932,-95.16144075708227,Residential,13,0.0,0.0,1.0,2009.0,72898,13,-0.0,0.0,0.0,0.0
cell_00010700,29.51057892893932,-95.15988569126984,Residential,15,0.0,0.0,1.0,2011.0,81867,15,-0.0,0.0,0.0,0.0
cell_00010701,29.51057892893932,-95.15833062545737,Residential,15,0.0,0.0,1.0,2008.0,77206,15,-0.0,0.0,0.0,0.0
cell_00010702,29.51057892893932,-95.1567755596449,Residential,14,0.0,0.0,1.0,2011.0,75889,14,-0.0,0.0,0.0,0.0
cell_00010703,29.51057892893932,-95.15522049383242,Residential,3,0.0,0.0,1.0,2014.0,18937,3,-0.0,0.0,0.0,0.0
cell_00011377,29.5119279113482,-95.16299582289476,Residential,6,0.0,0.0,1.0,2014.0,35021,7,-0.0,0.0,0.0,0.0
cell_00011378,29.5119279113482,-95.16144075708227,Residential,16,0.0,0.0,1.0,2010.0,88754,16,-0.0,0.0,0.0,0.0
cell_00011379,29.5119279113482,-95.15988569126984,Residential,15,0.0,0.0,1.0,2010.0,72379,15,-0.0,0.0,0.0,0.0
cell_00011380,29.5119279113482,-95.15833062545737,Residential,15,0.0,0.0,1.0,2010.0,72259,15,-0.0,0.0,0.0,0.0
cell_00011381,29.5119279113482,-95.1567755596449,Residential,12,0.0,0.0,1.0,2005.0,58025,12,-0.0,0.0,0.0,0.0
cell_00011382,29.5119279113482,-95.15522049383242,Residential,8,0.0,0.0,1.0,2007.0,41112,8,-0.0,0.0,0.0,0.0
cell_00012055,29.51327689375708,-95.16455088870724,Residential,6,0.0,0.0,1.0,2016.0,44844,8,-0.0,0.0,0.0,0.0
cell_00012056,29.51327689375708,-95.16299582289476,Residential,11,0.0,0.0,1.0,2003.0,39570,11,-0.0,0.0,0.0,0.0
cell_00012057,29.51327689375708,-95.16144075708227,Residential,8,0.0,0.0,1.0,2016.0,36157,8,-0.0,0.0,0.0,0.0
cell_00012058,29.51327689375708,-95.15988569126984,Residential,8,0.0,0.0,1.0,2003.0,33370,8,0.4542,0.0,0.0,0.0
cell_00012059,29.51327689375708,-95.15833062545737,Residential,12,0.0,0.0,1.0,2009.0,47620,12,0.1254,0.0,0.0,0.0
cell_00012060,29.51327689375708,-95.1567755596449,Residential,12,0.0,0.0,1.0,2005.0,54751,12,-0.0,0.0,0.0,0.0
cell_00012061,29.51327689375708,-95.15522049383242,Residential,12,0.0,0.0,1.0,2007.0,57925,12,-0.0,0.0,0.0,0.0
