cell_id,amenity_density,amenity_ratio_food_drink
r0097_c0130,133.33,0.0
r0097_c0131,0.0,0.0
r0097_c0132,0.0,0.0
r0097_c0133,0.0,0.0
r0097_c0134,0.0,0.0
r0097_c0135,44.44,0.0
r0097_c0136,44.44,0.0
r0097_c0137,88.89,0.0
r0097_c0138,133.33,0.0
r0097_c0139,133.33,0.3333
r0097_c0140,0.0,0.0
r0097_c0141,1111.11,0.0
r0098_c0080,44.44,0.0
r0098_c0081,44.44,0.0
r0098_c0082,0.0,0.0
r0098_c0083,44.44,0.0
r0098_c0084,44.44,0.0
r0098_c0085,0.0,0.0
r0098_c0086,0.0,0.0
r0098_c0087,0.0,0.0
r0098_c0088,88.89,0.0
r0098_c0089,44.44,0.0
r0098_c0090,0.0,0.0
r0098_c0091,44.44,0.0
r0098_c0092,0.0,0.0
r0098_c0093,0.0,0.0
r0098_c0094,0.0,0.0
r0098_c0095,0.0,0.0
r0098_c0096,0.0,0.0
r0098_c0097,44.44,0.0
r0098_c0098,44.44,1.0
r0098_c0109,0.0,0.0
r0098_c0110,0.0,0.0
r0098_c0111,44.44,0.0
r0098_c0112,0.0,0.0
r0098_c0113,0.0,0.0
r0098_c0114,0.0,0.0
r0098_c0115,0.0,0.0
r0098_c0116,0.0,0.0
r0098_c0117,44.44,0.0
r0098_c0118,0.0,0.0
r0098_c0119,88.89,0.0
r0098_c0120,88.89,0.0
r0098_c0121,0.0,0.0
r0098_c0122,0.0,0.0
r0098_c0123,0.0,0.0
r0098_c0124,0.0,0.0
r0098_c0125,0.0,0.0
r0098_c0126,0.0,0.0
r0098_c0127,0.0,0.0
r0098_c0128,0.0,0.0
r0098_c0129,0.0,0.0
r0098_c0130,88.89,0.0
r0098_c0131,0.0,0.0
r0098_c0132,0.0,0.0
r0098_c0133,0.0,0.0
r0098_c0134,0.0,0.0
r0098_c0135,0.0,0.0
r0098_c0136,0.0,0.0
r0098_c0137,0.0,0.0
r0098_c0138,0.0,0.0
r0098_c0139,0.0,0.0
r0098_c0140,0.0,0.0
r0098_c0141,88.89,0.0
r0099_c0077,266.67,0.0
r0099_c0078,0.0,0.0
r0099_c0080,0.0,0.0
r0099_c0081,0.0,0.0
r0099_c0082,0.0,0.0
r0099_c0083,0.0,0.0
r0099_c0084,0.0,0.0
r0099_c0085,0.0,0.0
r0099_c0086,0.0,0.0
r0099_c0087,0.0,0.0
r0099_c0088,0.0,0.0
r0099_c0089,0.0,0.0
r0099_c0090,0.0,0.0
r0099_c0091,0.0,0.0
r0099_c0092,0.0,0.0
r0099_c0093,0.0,0.0
r0099_c0094,0.0,0.0
r0099_c0095,0.0,0.0
r0099_c0096,0.0,0.0
r0099_c0097,0.0,0.0
r0099_c0098,44.44,0.0
r0099_c0109,0.0,0.0
r0099_c0110,0.0,0.0
r0099_c0111,0.0,0.0
r0099_c0112,0.0,0.0
r0099_c0113,0.0,0.0
r0099_c0114,0.0,0.0
r0099_c0115,0.0,0.0
r0099_c0116,44.44,0.0
r0099_c0118,133.33,0.0
r0099_c0119,0.0,0.0
r0099_c0120,0.0,0.0
r0099_c0121,0.0,0.0
r0099_c0122,0.0,0.0
r0099_c0123,44.44,0.0
r0099_c0124,0.0,0.0
r0099_c0125,0.0,0.0
r0099_c0126,44.44,0.0
r0099_c0127,0.0,0.0
r0099_c0128,0.0,0.0
r0099_c0129,0.0,0.0
r0099_c0130,222.22,0.0
r0099_c0131,0.0,0.0
r0099_c0132,44.44,0.0
r0099_c0133,0.0,0.0
r0099_c0134,0.0,0.0
r0099_c0135,0.0,0.0
r0099_c0136,0.0,0.0
r0099_c0137,0.0,0.0
r0099_c0138,44.44,0.0
r0099_c0139,44.44,0.0
r0099_c0140,0.0,0.0
r0099_c0141,266.67,0.5
r0100_c0077,177.78,0.0
r0100_c0078,44.44,0.0
r0100_c0079,177.78,0.0
r0100_c0080,0.0,0.0
r0100_c0081,0.0,0.0
r0100_c0082,0.0,0.0
r0100_c0083,0.0,0.0
r0100_c0084,0.0,0.0
r0100_c0085,0.0,0.0
r0100_c0086,0.0,0.0
r0100_c0087,0.0,0.0
r0100_c0088,0.0,0.0
r0100_c0089,0.0,0.0
r0100_c0090,0.0,0.0
r0100_c0091,0.0,0.0
r0100_c0092,0.0,0.0
r0100_c0093,0.0,0.0
r0100_c0094,0.0,0.0
r0100_c0095,0.0,0.0
r0100_c0096,88.89,0.0
r0100_c0097,222.22,0.0
r0100_c0098,177.78,0.0
r0100_c0109,3200.0,0.2778
r0100_c0110,0.0,0.0
r0100_c0111,0.0,0.0
r0100_c0112,0.0,0.0
r0100_c0113,0.0,0.0
r0100_c0114,0.0,0.0
r0100_c0115,0.0,0.0
r0100_c0116,0.0,0.0
r0100_c0117,0.0,0.0
r0100_c0118,0.0,0.0
r0100_c0119,133.33,0.3333
r0100_c0120,88.89,0.0
r0100_c0121,0.0,0.0
r0100_c0122,0.0,0.0
r0100_c0123,0.0,0.0
r0100_c0124,0.0,0.0
r0100_c0125,0.0,0.0
r0100_c0126,0.0,0.0
r0100_c0127,0.0,0.0
r0100_c0128,0.0,0.0
r0100_c0129,177.78,0.0
r0100_c0130,133.33,0.0
r0100_c0131,44.44,0.0
r0100_c0132,0.0,0.0
r0100_c0133,0.0,0.0
r0100_c0134,0.0,0.0
r0100_c0135,0.0,0.0
r0100_c0136,88.89,0.0
r0100_c0137,0.0,0.0
r0100_c0138,0.0,0.0
r0100_c0139,44.44,0.0
r0100_c0140,0.0,0.0
r0100_c0141,311.11,0.0
r0101_c0076,488.89,0.1818
r0101_c0077,0.0,0.0
r0101_c0078,0.0,0.0
r0101_c0079,0.0,0.0
