cell_id,avg_floors,avg_yearbuilt,total_bldg_area,building_count
r0096_c0128,2.2,,64495.0,43.0
r0096_c0129,3.7,,61618.0,12.0
r0096_c0130,2.7,,27242.0,10.0
r0096_c0131,3.0,,21469.0,9.0
r0096_c0132,2.6,,87255.0,66.0
r0096_c0133,2.4,,98545.0,73.0
r0096_c0134,2.3,,106592.0,68.0
r0096_c0135,2.7,,89580.0,74.0
r0096_c0136,2.4,,83981.0,35.0
r0096_c0137,2.8,,108871.0,62.0
r0097_c0079,,,70008.0,62.0
r0097_c0080,1.6,,77304.0,65.0
r0097_c0081,1.7,,64303.0,53.0
r0097_c0082,1.3,,85302.0,84.0
r0097_c0083,1.5,,48236.0,42.0
r0097_c0084,1.4,,78383.0,73.0
r0097_c0085,1.4,,64684.0,52.0
r0097_c0086,1.7,,63569.0,63.0
r0097_c0087,1.5,,78086.0,72.0
r0097_c0088,1.6,,83273.0,75.0
r0097_c0089,2.0,,67585.0,59.0
r0097_c0090,1.9,,80604.0,78.0
r0097_c0091,1.2,,55890.0,51.0
r0097_c0092,1.2,,50185.0,55.0
r0097_c0093,1.7,,40148.0,49.0
r0097_c0094,1.5,,72325.0,73.0
r0097_c0095,1.5,,54424.0,55.0
r0097_c0096,1.5,,36752.0,29.0
r0097_c0097,,,,
r0097_c0098,,,,
r0097_c0109,1.5,,61730.0,75.0
r0097_c0110,1.8,,74049.0,39.0
r0097_c0111,1.5,,106077.0,38.0
r0097_c0112,1.3,,72763.0,32.0
r0097_c0113,1.7,,72126.0,4.0
r0097_c0114,4.0,,59412.0,2.0
r0097_c0115,1.8,,112643.0,44.0
r0097_c0116,1.8,,81131.0,83.0
r0097_c0117,2.1,,74569.0,78.0
r0097_c0118,2.5,,17615.0,12.0
r0097_c0119,,,,
r0097_c0120,,,172.0,3.0
r0097_c0121,,,,
r0097_c0122,,,,
r0097_c0123,3.5,2024,44953.0,9.0
r0097_c0124,2.3,,98162.0,70.0
r0097_c0125,2.4,,92226.0,74.0
r0097_c0126,2.2,,84369.0,75.0
r0097_c0127,2.4,,79304.0,60.0
r0097_c0128,2.3,,71875.0,48.0
r0097_c0129,2.0,,37360.0,4.0
r0097_c0130,,,,
r0097_c0131,2.7,,33161.0,7.0
r0097_c0132,2.9,,97427.0,70.0
r0097_c0133,2.3,,73993.0,57.0
r0097_c0134,2.2,,80178.0,51.0
r0097_c0135,2.7,,83981.0,37.0
r0097_c0136,2.5,,84597.0,52.0
r0097_c0137,2.3,,91744.0,74.0
r0097_c0138,4.9,,89291.0,23.0
r0097_c0139,2.6,,75478.0,18.0
r0097_c0140,4.5,,94818.0,27.0
r0097_c0141,2.4,,70815.0,27.0
r0098_c0080,1.6,,92628.0,82.0
r0098_c0081,1.2,,76349.0,63.0
r0098_c0082,1.1,,82372.0,81.0
r0098_c0083,1.7,,65709.0,36.0
r0098_c0084,1.4,,80977.0,77.0
r0098_c0085,1.8,,68232.0,60.0
r0098_c0086,1.9,,63014.0,60.0
r0098_c0087,1.3,,83989.0,76.0
r0098_c0088,1.5,,73872.0,71.0
r0098_c0089,2.0,,69140.0,59.0
r0098_c0090,2.0,,69310.0,80.0
r0098_c0091,1.9,,42697.0,14.0
r0098_c0092,,,,
r0098_c0093,,,975.0,1.0
r0098_c0094,1.4,,82452.0,103.0
r0098_c0095,1.4,,70721.0,85.0
r0098_c0096,1.3,,45905.0,46.0
r0098_c0097,2.0,,373571.0,1.0
r0098_c0098,,,,
r0098_c0109,1.8,,81570.0,63.0
r0098_c0110,1.9,,62005.0,52.0
r0098_c0111,1.6,,67988.0,77.0
r0098_c0112,1.9,,39541.0,28.0
r0098_c0113,1.5,,84446.0,65.0
r0098_c0114,1.9,,68554.0,67.0
r0098_c0115,2.0,,72952.0,56.0
r0098_c0116,2.1,,84011.0,60.0
r0098_c0117,2.2,,88691.0,72.0
r0098_c0118,2.1,,13079.0,8.0
r0098_c0119,,,,
r0098_c0120,,,,
r0098_c0121,3.0,,12306.0,2.0
r0098_c0122,,,,
r0098_c0123,2.8,,18949.0,7.0
r0098_c0124,2.5,,67433.0,56.0
r0098_c0125,2.4,,71230.0,50.0
r0098_c0126,2.4,,74757.0,53.0
r0098_c0127,2.4,,77354.0,66.0
r0098_c0128,2.6,,88792.0,60.0
r0098_c0129,3.1,,103792.0,28.0
r0098_c0130,2.0,,49072.0,55.0
r0098_c0131,2.3,,67883.0,62.0
r0098_c0132,2.5,,97186.0,92.0
r0098_c0133,2.4,,84589.0,87.0
r0098_c0134,2.2,,94301.0,91.0
r0098_c0135,2.5,,94150.0,76.0
r0098_c0136,2.3,,76345.0,73.0
r0098_c0137,2.2,,72134.0,57.0
r0098_c0138,3.1,,79397.0,38.0
r0098_c0139,2.4,,104106.0,21.0
r0098_c0140,2.3,,113819.0,83.0
r0098_c0141,2.3,,88890.0,77.0
r0099_c0077,,,69173.0,85.0
r0099_c0078,,,65527.0,62.0
r0099_c0080,1.5,,89235.0,76.0
r0099_c0081,1.1,,87159.0,68.0
r0099_c0082,1.0,,90873.0,81.0
r0099_c0083,1.4,,81841.0,70.0
r0099_c0084,1.3,,95533.0,40.0
r0099_c0085,1.4,,79827.0,67.0
r0099_c0086,1.8,,90364.0,100.0
r0099_c0087,1.4,,70663.0,71.0
r0099_c0088,1.2,,69109.0,81.0
r0099_c0089,1.8,,73202.0,64.0
r0099_c0090,1.8,,57242.0,75.0
r0099_c0091,1.6,,67000.0,54.0
r0099_c0092,1.9,,84598.0,40.0
r0099_c0093,1.7,,68872.0,67.0
r0099_c0094,1.0,,116879.0,39.0
r0099_c0095,1.0,,132539.0,26.0
r0099_c0096,1.0,,5528.0,7.0
r0099_c0097,1.3,,23778.0,11.0
r0099_c0098,,,,
r0099_c0109,1.9,,71296.0,75.0
r0099_c0110,1.9,,60061.0,62.0
r0099_c0111,1.4,,66505.0,86.0
r0099_c0112,1.6,,48670.0,60.0
r0099_c0113,1.4,,100681.0,131.0
r0099_c0114,1.7,,83873.0,107.0
r0099_c0115,1.9,,62285.0,73.0
r0099_c0116,2.0,,88807.0,57.0
r0099_c0118,2.0,,9325.0,4.0
r0099_c0119,,,,
r0099_c0120,3.0,,32445.0,1.0
r0099_c0121,,,,
r0099_c0122,,,,
r0099_c0123,2.4,,72019.0,12.0
r0099_c0124,2.4,,75357.0,63.0
r0099_c0125,2.5,,119361.0,50.0
r0099_c0126,2.4,,69397.0,51.0
r0099_c0127,2.4,,74493.0,69.0
r0099_c0128,2.5,,83537.0,70.0
r0099_c0129,2.8,,60277.0,27.0
r0099_c0130,2.0,,72105.0,81.0
r0099_c0131,2.2,,59388.0,59.0
r0099_c0132,2.4,,67027.0,55.0
r0099_c0133,2.5,,23991.0,20.0
r0099_c0134,2.5,,82316.0,34.0
r0099_c0135,2.5,,78021.0,67.0
r0099_c0136,2.4,,79703.0,75.0
r0099_c0137,2.4,,109948.0,35.0
r0099_c0138,2.2,,47940.0,24.0
r0099_c0139,2.2,,150477.0,16.0
r0099_c0140,2.4,,83661.0,65.0
r0099_c0141,2.4,,83282.0,70.0
r0100_c0077,,,80064.0,68.0
r0100_c0078,,,60070.0,51.0
r0100_c0079,,,89871.0,69.0
r0100_c0080,1.8,,75635.0,52.0
r0100_c0081,1.6,,83403.0,80.0
r0100_c0082,1.1,,85956.0,79.0
r0100_c0083,1.1,,83819.0,73.0
r0100_c0084,1.0,,67440.0,60.0
r0100_c0085,1.2,,77285.0,66.0
r0100_c0086,1.4,,76039.0,69.0
r0100_c0087,1.5,,73207.0,68.0
r0100_c0088,1.6,,82727.0,72.0
r0100_c0089,1.7,,67776.0,61.0
r0100_c0090,1.5,,65250.0,71.0
r0100_c0091,1.6,,54901.0,56.0
r0100_c0092,1.5,,52227.0,62.0
r0100_c0093,1.3,,70965.0,68.0
r0100_c0094,1.0,,54582.0,9.0
r0100_c0095,,,191418.0,1.0
r0100_c0096,1.0,,89515.0,3.0
r0100_c0097,1.6,,77473.0,38.0
r0100_c0098,,,,
r0100_c0109,1.8,,80622.0,89.0
r0100_c0110,1.7,,67527.0,72.0
r0100_c0111,1.6,,43767.0,54.0
r0100_c0112,1.6,,63160.0,71.0
r0100_c0113,1.8,,73275.0,95.0
r0100_c0114,1.7,,68055.0,85.0
r0100_c0115,1.9,,70553.0,74.0
r0100_c0116,2.0,,85234.0,71.0
r0100_c0117,2.2,,96651.0,77.0
r0100_c0118,2.5,,2621.0,2.0
r0100_c0119,,,,
r0100_c0120,,,,
r0100_c0121,,,,
r0100_c0122,,,,
r0100_c0123,2.4,,28678.0,22.0
r0100_c0124,2.4,,72363.0,59.0
r0100_c0125,2.7,,64546.0,51.0
r0100_c0126,2.5,,70915.0,56.0
r0100_c0127,2.4,,84935.0,75.0
r0100_c0128,2.3,,80308.0,64.0
r0100_c0129,8.5,,100574.0,3.0
r0100_c0130,2.1,,73341.0,72.0
r0100_c0131,2.4,,90004.0,46.0
r0100_c0132,2.3,,86927.0,67.0
r0100_c0133,3.2,,28839.0,16.0
r0100_c0134,7.0,,17787.0,2.0
r0100_c0135,2.8,,44936.0,30.0
r0100_c0136,2.8,,92196.0,44.0
r0100_c0137,2.1,,89892.0,74.0
r0100_c0138,2.1,,88127.0,89.0
r0100_c0139,2.3,,93284.0,65.0
r0100_c0140,2.4,,96361.0,78.0
r0100_c0141,2.4,,67845.0,34.0
r0101_c0076,1.3,,67376.0,27.0
r0101_c0077,1.6,,75170.0,32.0
r0101_c0078,1.7,,69063.0,28.0
r0101_c0079,1.8,,66979.0,34.0
r0101_c0080,1.4,,54999.0,28.0
r0101_c0081,1.6,,81269.0,31.0
r0101_c0082,1.5,,73755.0,41.0
r0101_c0083,1.3,,67992.0,36.0
r0101_c0084,1.4,,70594.0,42.0
r0101_c0085,1.4,,34990.0,19.0
r0101_c0086,1.6,,100443.0,38.0
r0101_c0087,1.6,,68109.0,28.0
r0101_c0088,1.9,,82382.0,56.0
r0101_c0089,1.8,,92323.0,53.0
r0101_c0090,1.6,,91099.0,56.0
r0101_c0091,1.5,,34328.0,27.0
r0101_c0092,1.8,,83367.0,50.0
r0101_c0093,1.3,,61294.0,40.0
r0101_c0094,3.0,,10927.0,3.0
r0101_c0095,,,6471.0,3.0
r0101_c0096,2.0,,42612.0,11.0
r0101_c0103,1.8,,78854.0,17.0
r0101_c0111,1.8,,70374.0,47.0
r0101_c0112,1.7,,84374.0,85.0
r0101_c0113,1.7,,109429.0,119.0
r0101_c0114,1.6,,91206.0,102.0
r0101_c0115,1.9,,72653.0,65.0
r0101_c0116,2.5,,89534.0,66.0
r0101_c0117,2.6,,87161.0,59.0
r0101_c0118,3.0,,63759.0,1.0
r0101_c0119,,,,
r0101_c0120,,,,
r0101_c0121,,,906.0,1.0
r0101_c0122,,,,
r0101_c0123,2.8,,39979.0,14.0
r0101_c0124,2.2,,87942.0,67.0
r0101_c0125,2.2,,83503.0,77.0
r0101_c0126,2.2,,83178.0,78.0
r0101_c0127,2.1,,83793.0,82.0
r0101_c0128,2.3,,85940.0,63.0
r0101_c0129,2.7,,85154.0,43.0
r0101_c0130,2.9,,71074.0,19.0
r0101_c0131,2.3,,84970.0,66.0
r0101_c0132,2.5,,66842.0,59.0
r0101_c0133,2.8,,95408.0,38.0
r0101_c0134,2.6,,115568.0,28.0
r0101_c0135,2.5,,117016.0,55.0
r0101_c0136,2.2,,96640.0,83.0
r0101_c0137,1.7,,89874.0,102.0
r0101_c0138,2.1,,101469.0,87.0
r0101_c0139,2.1,,100363.0,85.0
r0101_c0140,2.5,,96469.0,69.0
r0101_c0141,3.0,,19344.0,2.0
r0102_c0076,1.5,,49484.0,37.0
r0102_c0077,2.0,,75048.0,60.0
r0102_c0078,1.0,,68921.0,80.0
r0102_c0079,1.7,,64785.0,69.0
