cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0096_c0090,41.7787715,-87.7762097,Residential,41
r0096_c0091,41.7787715,-87.7743938,Residential,41
r0096_c0092,41.7787715,-87.7725779,Residential,53
r0096_c0093,41.7787715,-87.7707621,Residential,49
r0096_c0094,41.7787715,-87.7689462,Residential,51
r0096_c0095,41.7787715,-87.7671303,Residential,45
r0096_c0096,41.7787715,-87.7653145,Residential,49
r0096_c0097,41.7787715,-87.7634986,Residential,54
r0096_c0098,41.7787715,-87.7616827,Commercial,17
r0096_c0106,41.7787715,-87.7471557,Residential,3
r0096_c0109,41.7787715,-87.7417081,Commercial,17
r0096_c0110,41.7787715,-87.7398923,Residential,48
r0096_c0111,41.7787715,-87.7380764,Residential,23
r0096_c0112,41.7787715,-87.7362605,Residential,26
r0096_c0113,41.7787715,-87.7344446,Residential,19
r0096_c0114,41.7787715,-87.7326288,Commercial,37
r0096_c0115,41.7787715,-87.7308129,Residential,28
r0096_c0116,41.7787715,-87.728997,Residential,25
r0096_c0117,41.7787715,-87.7271812,Residential,21
r0096_c0118,41.7787715,-87.7253653,Residential,24
r0096_c0119,41.7787715,-87.7235494,Commercial,22
r0096_c0120,41.7787715,-87.7217335,Residential,41
r0096_c0121,41.7787715,-87.7199177,Residential,40
r0096_c0122,41.7787715,-87.7181018,Residential,27
r0096_c0123,41.7787715,-87.7162859,Residential,22
r0096_c0124,41.7787715,-87.7144701,Residential,26
r0096_c0125,41.7787715,-87.7126542,Commercial,12
r0096_c0126,41.7787715,-87.7108383,Commercial,8
r0096_c0127,41.7787715,-87.7090224,Mixed-Use,16
r0096_c0128,41.7787715,-87.7072066,Residential,15
r0096_c0129,41.7787715,-87.7053907,Commercial,6
r0096_c0130,41.7787715,-87.7035748,Commercial,7
r0096_c0131,41.7787715,-87.701759,Commercial,10
r0096_c0132,41.7787715,-87.6999431,Commercial,7
r0096_c0133,41.7787715,-87.6981272,Commercial,9
r0096_c0134,41.7787715,-87.6963113,Commercial,12
r0096_c0135,41.7787715,-87.6944955,Residential,14
