cell_id,landuse_entropy
r0098_c0128,2.3964
r0098_c0129,2.5402
r0098_c0130,2.3703
r0098_c0131,1.9859
r0098_c0132,1.7507
r0098_c0133,1.7102
r0098_c0134,0.8181
r0098_c0135,0.8697
r0098_c0136,1.5936
r0098_c0137,1.3507
r0098_c0138,1.5469
r0098_c0139,1.8603
r0098_c0140,1.9172
r0098_c0141,2.6756
r0099_c0077,1.0
r0099_c0078,1.5219
r0099_c0080,1.585
r0099_c0081,0.5917
r0099_c0082,2.2475
r0099_c0083,0.8306
r0099_c0084,0.623
r0099_c0085,1.4877
r0099_c0086,1.5967
r0099_c0087,1.5576
r0099_c0088,0.2868
r0099_c0089,0.618
r0099_c0090,0.8662
r0099_c0091,1.4666
r0099_c0092,1.3072
r0099_c0093,1.5696
r0099_c0094,1.6583
r0099_c0095,1.6506
r0099_c0096,1.4441
r0099_c0097,1.4453
r0099_c0098,2.0967
r0099_c0109,2.0079
r0099_c0110,1.7204
r0099_c0111,2.3522
r0099_c0112,2.4743
r0099_c0113,2.087
r0099_c0114,1.8703
r0099_c0115,1.7259
r0099_c0116,1.6153
r0099_c0118,2.2062
r0099_c0119,2.8702
r0099_c0120,2.5599
r0099_c0121,1.8443
r0099_c0122,1.7598
r0099_c0123,2.6456
r0099_c0124,1.7085
r0099_c0125,1.8442
r0099_c0126,2.361
r0099_c0127,2.228
r0099_c0128,2.052
r0099_c0129,1.8985
r0099_c0130,2.236
r0099_c0131,2.6385
r0099_c0132,1.172
r0099_c0133,1.8811
r0099_c0134,1.3369
r0099_c0135,0.5966
r0099_c0136,1.4094
r0099_c0137,1.5793
r0099_c0138,1.3614
r0099_c0139,1.9672
r0099_c0140,1.4624
r0099_c0141,2.1794
r0100_c0077,0.9183
r0100_c0078,0.9183
r0100_c0079,0.9183
r0100_c0080,0.7219
r0100_c0081,1.9859
r0100_c0082,1.3062
r0100_c0083,1.7084
r0100_c0084,1.181
r0100_c0085,1.2932
r0100_c0086,1.0768
r0100_c0087,2.059
r0100_c0088,1.3443
r0100_c0089,0.8932
r0100_c0090,1.4503
r0100_c0091,1.7443
r0100_c0092,1.03
r0100_c0093,1.387
r0100_c0094,1.387
r0100_c0095,2.2729
r0100_c0096,1.8192
r0100_c0097,1.6075
r0100_c0098,1.7603
r0100_c0109,0.0
r0100_c0110,1.1568
r0100_c0111,1.9502
r0100_c0112,2.4132
r0100_c0113,1.9577
r0100_c0114,2.0022
r0100_c0115,2.0874
r0100_c0116,1.6257
r0100_c0117,1.8004
r0100_c0118,1.7056
r0100_c0119,2.8383
r0100_c0120,2.8589
r0100_c0121,2.2429
r0100_c0122,1.4777
r0100_c0123,1.9481
r0100_c0124,1.6423
r0100_c0125,2.3898
r0100_c0126,1.9322
r0100_c0127,1.9687
r0100_c0128,2.242
r0100_c0129,1.8009
r0100_c0130,3.0836
r0100_c0131,2.6025
r0100_c0132,1.442
r0100_c0133,1.7382
r0100_c0134,1.3864
r0100_c0135,0.531
r0100_c0136,1.8667
r0100_c0137,1.3343
r0100_c0138,1.759
r0100_c0139,1.7634
r0100_c0140,1.8864
r0100_c0141,2.0165
r0101_c0076,0.0
r0101_c0077,2.3439
r0101_c0078,1.5379
r0101_c0079,2.0585
r0101_c0080,1.7683
r0101_c0081,1.5531
r0101_c0082,1.9402
r0101_c0083,2.1509
r0101_c0084,2.1579
r0101_c0085,1.6769
r0101_c0086,1.7059
r0101_c0087,1.4709
r0101_c0088,1.1472
r0101_c0089,1.0138
r0101_c0090,0.8665
r0101_c0091,1.3518
r0101_c0092,0.7774
r0101_c0093,0.9946
r0101_c0094,0.6934
r0101_c0095,0.3431
r0101_c0096,0.999
r0101_c0103,0.0
r0101_c0111,-0.0
r0101_c0112,2.0311
r0101_c0113,2.4591
r0101_c0114,1.8082
r0101_c0115,1.7512
r0101_c0116,2.2394
r0101_c0117,2.1099
r0101_c0118,2.2761
r0101_c0119,2.437
r0101_c0120,2.9532
r0101_c0121,1.8922
r0101_c0122,1.9791
r0101_c0123,2.5222
r0101_c0124,1.8066
r0101_c0125,2.2137
r0101_c0126,1.8665
r0101_c0127,1.6827
r0101_c0128,2.7884
r0101_c0129,2.6686
r0101_c0130,2.4379
r0101_c0131,2.8475
r0101_c0132,2.2441
r0101_c0133,1.9202
r0101_c0134,1.9753
r0101_c0135,1.7454
r0101_c0136,2.2629
r0101_c0137,2.1252
r0101_c0138,1.3991
r0101_c0139,1.131
r0101_c0140,1.8158
r0101_c0141,2.6031
r0102_c0076,0.0
r0102_c0077,1.9899
r0102_c0078,1.9025
r0102_c0079,1.9376
r0102_c0080,1.8467
r0102_c0081,1.8666
r0102_c0082,1.5034
r0102_c0083,1.9843
r0102_c0084,2.0275
r0102_c0085,1.5516
r0102_c0086,1.505
r0102_c0087,1.876
r0102_c0088,1.2362
r0102_c0089,1.6806
r0102_c0090,1.2836
r0102_c0091,2.007
r0102_c0092,2.2548
r0102_c0093,1.32
r0102_c0094,1.6061
r0102_c0095,0.6219
r0102_c0096,1.134
r0102_c0097,1.3788
r0102_c0098,0.65
r0102_c0111,-0.0
r0102_c0112,2.1395
r0102_c0113,1.9409
r0102_c0114,2.2365
r0102_c0115,1.821
r0102_c0116,2.1446
r0102_c0117,2.0318
r0102_c0118,1.6802
r0102_c0119,0.3122
r0102_c0120,2.0474
r0102_c0121,1.9365
r0102_c0122,2.2345
r0102_c0123,2.401
r0102_c0124,2.3126
r0102_c0125,2.6649
r0102_c0126,2.3692
r0102_c0127,1.78
r0102_c0128,0.8113
r0102_c0129,1.192
r0102_c0130,2.6367
r0102_c0131,2.5338
r0102_c0132,2.2205
r0102_c0133,2.6478
r0102_c0134,1.5886
r0102_c0135,2.0069
r0102_c0136,2.6334
r0102_c0137,2.6387
r0102_c0138,3.0627
r0102_c0139,2.6473
r0102_c0140,2.9375
r0102_c0141,2.5843
r0103_c0076,0.0
r0103_c0077,2.16
r0103_c0078,1.6933
r0103_c0079,2.3329
r0103_c0080,1.7726
r0103_c0081,2.3209
r0103_c0082,2.1814
r0103_c0083,1.7472
r0103_c0084,1.8344
r0103_c0085,2.269
r0103_c0086,1.1793
r0103_c0087,1.7047
r0103_c0089,1.5383
r0103_c0090,1.262
r0103_c0091,1.7458
r0103_c0092,1.6341
r0103_c0093,1.6994
r0103_c0094,1.485
r0103_c0095,1.4717
r0103_c0096,1.3191
r0103_c0097,1.0975
r0103_c0098,2.1714
r0103_c0111,1.0
r0103_c0112,1.6188
r0103_c0113,1.3577
r0103_c0114,2.062
r0103_c0115,-0.0
r0103_c0116,2.0929
r0103_c0117,1.6658
r0103_c0118,1.8574
r0103_c0119,2.2096
r0103_c0120,1.4313
r0103_c0121,1.361
r0103_c0122,2.2943
r0103_c0123,2.1694
r0103_c0124,2.1503
r0103_c0125,2.2365
r0103_c0126,1.8952
r0103_c0127,1.6909
r0103_c0128,1.469
r0103_c0129,1.5475
r0103_c0130,2.1309
r0103_c0131,2.4428
r0103_c0132,1.5704
r0103_c0133,2.1712
r0103_c0134,0.5266
r0103_c0135,0.8477
r0103_c0136,1.7614
r0103_c0137,2.082
r0103_c0138,1.8319
r0103_c0139,1.4978
r0103_c0140,1.5304
r0103_c0141,2.3444
r0104_c0076,0.0
r0104_c0077,2.6477
r0104_c0078,2.3789
r0104_c0079,2.2212
r0104_c0080,2.534
r0104_c0081,2.2182
r0104_c0082,2.129
r0104_c0083,1.8427
r0104_c0084,2.0732
r0104_c0085,2.5916
r0104_c0086,1.6618
r0104_c0087,1.71
r0104_c0088,-0.0
r0104_c0089,1.9101
r0104_c0090,1.7641
r0104_c0091,1.3951
r0104_c0092,2.4602
