cell_id,intersection_density
r0099_c0082,44.44
r0099_c0083,44.44
r0099_c0084,88.89
r0099_c0085,0.0
r0099_c0086,0.0
r0099_c0087,0.0
r0099_c0088,44.44
r0099_c0089,44.44
r0099_c0090,0.0
r0099_c0091,44.44
r0099_c0092,0.0
r0099_c0093,44.44
r0099_c0094,88.89
r0099_c0095,44.44
r0099_c0096,88.89
r0099_c0097,0.0
r0099_c0098,0.0
r0099_c0109,133.33
r0099_c0110,0.0
r0099_c0111,0.0
r0099_c0112,0.0
r0099_c0113,0.0
r0099_c0114,0.0
r0099_c0115,0.0
r0099_c0116,0.0
r0099_c0118,44.44
r0099_c0119,88.89
r0099_c0120,0.0
r0099_c0121,0.0
r0099_c0122,0.0
r0099_c0123,44.44
r0099_c0124,0.0
r0099_c0125,133.33
r0099_c0126,0.0
r0099_c0127,0.0
r0099_c0128,0.0
r0099_c0129,0.0
r0099_c0130,44.44
r0099_c0131,0.0
r0099_c0132,0.0
r0099_c0133,0.0
r0099_c0134,0.0
r0099_c0135,44.44
r0099_c0136,44.44
r0099_c0137,0.0
r0099_c0138,0.0
r0099_c0139,0.0
r0099_c0140,0.0
r0099_c0141,133.33
r0100_c0077,133.33
r0100_c0078,0.0
r0100_c0079,0.0
r0100_c0080,88.89
r0100_c0081,44.44
r0100_c0082,0.0
r0100_c0083,0.0
r0100_c0084,0.0
r0100_c0085,0.0
r0100_c0086,44.44
r0100_c0087,0.0
r0100_c0088,0.0
r0100_c0089,0.0
r0100_c0090,0.0
r0100_c0091,0.0
r0100_c0092,0.0
r0100_c0093,0.0
r0100_c0094,0.0
r0100_c0095,44.44
r0100_c0096,44.44
r0100_c0097,88.89
r0100_c0098,133.33
r0100_c0109,222.22
r0100_c0110,133.33
r0100_c0111,44.44
r0100_c0112,0.0
r0100_c0113,0.0
r0100_c0114,0.0
r0100_c0115,0.0
r0100_c0116,0.0
r0100_c0117,88.89
r0100_c0118,0.0
r0100_c0119,44.44
r0100_c0120,0.0
r0100_c0121,0.0
r0100_c0122,0.0
r0100_c0123,0.0
r0100_c0124,0.0
r0100_c0125,44.44
r0100_c0126,0.0
r0100_c0127,0.0
r0100_c0128,0.0
r0100_c0129,0.0
r0100_c0130,0.0
r0100_c0131,0.0
r0100_c0132,0.0
r0100_c0133,0.0
r0100_c0134,0.0
r0100_c0135,0.0
r0100_c0136,0.0
r0100_c0137,44.44
r0100_c0138,0.0
r0100_c0139,0.0
r0100_c0140,88.89
r0100_c0141,44.44
r0101_c0076,311.11
r0101_c0077,0.0
r0101_c0078,0.0
r0101_c0079,0.0
r0101_c0080,0.0
r0101_c0081,0.0
r0101_c0082,88.89
r0101_c0083,44.44
r0101_c0084,88.89
r0101_c0085,44.44
r0101_c0086,88.89
r0101_c0087,44.44
r0101_c0088,88.89
r0101_c0089,44.44
r0101_c0090,88.89
r0101_c0091,44.44
r0101_c0092,44.44
r0101_c0093,44.44
r0101_c0094,88.89
r0101_c0095,44.44
r0101_c0096,44.44
r0101_c0103,0.0
r0101_c0111,266.67
r0101_c0112,44.44
r0101_c0113,44.44
r0101_c0114,44.44
r0101_c0115,44.44
r0101_c0116,0.0
r0101_c0117,44.44
r0101_c0118,44.44
r0101_c0119,266.67
r0101_c0120,0.0
r0101_c0121,88.89
r0101_c0122,44.44
r0101_c0123,88.89
r0101_c0124,0.0
r0101_c0125,177.78
r0101_c0126,44.44
r0101_c0127,88.89
r0101_c0128,0.0
r0101_c0129,44.44
r0101_c0130,0.0
r0101_c0131,0.0
r0101_c0132,0.0
r0101_c0133,0.0
r0101_c0134,44.44
r0101_c0135,0.0
r0101_c0136,0.0
r0101_c0137,44.44
r0101_c0138,0.0
r0101_c0139,0.0
r0101_c0140,0.0
r0101_c0141,0.0
r0102_c0076,88.89
r0102_c0077,0.0
