cell_id,cell_lat,cell_lon,zone_type,cell_lot_count
r0026_c0022,39.909587,-75.2360506,Residential,42
r0026_c0023,39.909587,-75.2342865,Residential,77
r0026_c0024,39.909587,-75.2325224,Residential,29
r0026_c0047,39.909587,-75.1919491,Residential,4
r0026_c0048,39.909587,-75.1901851,Residential,51
r0026_c0049,39.909587,-75.188421,Residential,35
r0026_c0050,39.909587,-75.186657,Residential,24
r0026_c0051,39.909587,-75.1848929,Residential,59
r0026_c0052,39.909587,-75.1831288,Residential,68
r0026_c0053,39.909587,-75.1813648,Residential,17
r0026_c0054,39.909587,-75.1796007,Residential,80
r0026_c0055,39.909587,-75.1778367,Residential,92
r0026_c0056,39.909587,-75.1760726,Residential,96
r0026_c0057,39.909587,-75.1743086,Residential,27
r0026_c0058,39.909587,-75.1725445,Residential,50
r0026_c0059,39.909587,-75.1707804,Residential,45
r0027_c0014,39.9109383,-75.250163,Residential,7
r0027_c0015,39.9109383,-75.248399,Mixed-Use,63
r0027_c0016,39.9109383,-75.2466349,Residential,88
r0027_c0017,39.9109383,-75.2448708,Residential,130
r0027_c0018,39.9109383,-75.2431068,Residential,58
r0027_c0019,39.9109383,-75.2413427,Residential,82
r0027_c0020,39.9109383,-75.2395787,Residential,89
r0027_c0021,39.9109383,-75.2378146,Residential,39
r0027_c0022,39.9109383,-75.2360506,Residential,4
r0027_c0023,39.9109383,-75.2342865,Residential,33
r0027_c0024,39.9109383,-75.2325224,Residential,59
r0027_c0025,39.9109383,-75.2307584,Residential,19
r0027_c0048,39.9109383,-75.1901851,Residential,31
r0027_c0049,39.9109383,-75.188421,Residential,50
r0027_c0050,39.9109383,-75.186657,Residential,20
r0027_c0051,39.9109383,-75.1848929,Industrial,49
r0027_c0052,39.9109383,-75.1831288,Industrial,26
r0027_c0053,39.9109383,-75.1813648,Residential,92
r0027_c0054,39.9109383,-75.1796007,Residential,87
r0027_c0055,39.9109383,-75.1778367,Residential,83
r0027_c0056,39.9109383,-75.1760726,Residential,87
r0027_c0057,39.9109383,-75.1743086,Mixed-Use,35
r0027_c0058,39.9109383,-75.1725445,Residential,22
r0027_c0059,39.9109383,-75.1707804,Residential,78
r0028_c0016,39.9122897,-75.2466349,Industrial,8
r0028_c0017,39.9122897,-75.2448708,Residential,81
r0028_c0018,39.9122897,-75.2431068,Commercial,57
r0028_c0019,39.9122897,-75.2413427,Mixed-Use,120
r0028_c0020,39.9122897,-75.2395787,Residential,124
r0028_c0021,39.9122897,-75.2378146,Residential,98
r0028_c0022,39.9122897,-75.2360506,Residential,77
r0028_c0024,39.9122897,-75.2325224,Commercial,14
r0028_c0025,39.9122897,-75.2307584,Residential,62
r0028_c0026,39.9122897,-75.2289943,Industrial,33
r0028_c0028,39.9122897,-75.2254662,Industrial,3
r0028_c0048,39.9122897,-75.1901851,Residential,34
r0028_c0049,39.9122897,-75.188421,Residential,47
r0028_c0050,39.9122897,-75.186657,Commercial,25
r0028_c0051,39.9122897,-75.1848929,Commercial,6
r0028_c0052,39.9122897,-75.1831288,Commercial,9
r0028_c0053,39.9122897,-75.1813648,Residential,57
r0028_c0054,39.9122897,-75.1796007,Residential,69
r0028_c0055,39.9122897,-75.1778367,Residential,85
r0028_c0056,39.9122897,-75.1760726,Residential,58
r0028_c0057,39.9122897,-75.1743086,Residential,52
r0028_c0058,39.9122897,-75.1725445,Mixed-Use,14
r0028_c0059,39.9122897,-75.1707804,Residential,6
r0028_c0060,39.9122897,-75.1690164,Residential,4
r0028_c0064,39.9122897,-75.1619602,Residential,39
r0028_c0065,39.9122897,-75.1601961,Residential,27
r0028_c0066,39.9122897,-75.158432,Mixed-Use,44
r0028_c0071,39.9122897,-75.1496118,Commercial,3
r0028_c0075,39.9122897,-75.1425555,Industrial,3
r0029_c0017,39.913641,-75.2448708,Residential,59
r0029_c0018,39.913641,-75.2431068,Commercial,11
r0029_c0019,39.913641,-75.2413427,Residential,94
r0029_c0020,39.913641,-75.2395787,Residential,73
r0029_c0022,39.913641,-75.2360506,Residential,75
r0029_c0023,39.913641,-75.2342865,Residential,61
r0029_c0024,39.913641,-75.2325224,Residential,9
r0029_c0025,39.913641,-75.2307584,Residential,30
r0029_c0026,39.913641,-75.2289943,Residential,82
r0029_c0027,39.913641,-75.2272303,Industrial,29
r0029_c0031,39.913641,-75.220174,Industrial,3
r0029_c0051,39.913641,-75.1848929,Residential,3
r0029_c0052,39.913641,-75.1831288,Residential,5
r0029_c0053,39.913641,-75.1813648,Industrial,3
r0029_c0054,39.913641,-75.1796007,Commercial,7
r0029_c0055,39.913641,-75.1778367,Residential,70
r0029_c0056,39.913641,-75.1760726,Residential,129
r0029_c0057,39.913641,-75.1743086,Residential,154
r0029_c0058,39.913641,-75.1725445,Residential,77
r0029_c0059,39.913641,-75.1707804,Residential,97
r0029_c0060,39.913641,-75.1690164,Residential,74
r0029_c0061,39.913641,-75.1672523,Residential,82
r0029_c0062,39.913641,-75.1654883,Residential,94
r0029_c0063,39.913641,-75.1637242,Residential,125
r0029_c0064,39.913641,-75.1619602,Residential,130
r0029_c0065,39.913641,-75.1601961,Residential,147
r0029_c0066,39.913641,-75.158432,Residential,158
r0029_c0067,39.913641,-75.156668,Commercial,15
r0029_c0069,39.913641,-75.1531399,Commercial,4
r0029_c0070,39.913641,-75.1513758,Commercial,5
r0029_c0071,39.913641,-75.1496118,Commercial,4
r0030_c0016,39.9149924,-75.2466349,Industrial,3
r0030_c0018,39.9149924,-75.2431068,Industrial,15
r0030_c0019,39.9149924,-75.2413427,Residential,22
r0030_c0020,39.9149924,-75.2395787,Commercial,67
r0030_c0021,39.9149924,-75.2378146,Residential,66
r0030_c0022,39.9149924,-75.2360506,Residential,132
r0030_c0023,39.9149924,-75.2342865,Residential,93
r0030_c0024,39.9149924,-75.2325224,Residential,16
r0030_c0026,39.9149924,-75.2289943,Residential,36
r0030_c0027,39.9149924,-75.2272303,Residential,40
r0030_c0032,39.9149924,-75.21841,Industrial,5
r0030_c0052,39.9149924,-75.1831288,Industrial,4
r0030_c0054,39.9149924,-75.1796007,Residential,39
r0030_c0055,39.9149924,-75.1778367,Residential,66
r0030_c0056,39.9149924,-75.1760726,Residential,83
r0030_c0057,39.9149924,-75.1743086,Residential,162
r0030_c0058,39.9149924,-75.1725445,Mixed-Use,3
r0030_c0060,39.9149924,-75.1690164,Residential,108
r0030_c0061,39.9149924,-75.1672523,Residential,118
r0030_c0062,39.9149924,-75.1654883,Residential,100
r0030_c0063,39.9149924,-75.1637242,Mixed-Use,54
r0030_c0064,39.9149924,-75.1619602,Residential,119
r0030_c0065,39.9149924,-75.1601961,Residential,105
r0030_c0066,39.9149924,-75.158432,Residential,145
r0030_c0067,39.9149924,-75.156668,Residential,54
r0030_c0068,39.9149924,-75.1549039,Residential,9
r0030_c0069,39.9149924,-75.1531399,Mixed-Use,48
r0030_c0070,39.9149924,-75.1513758,Residential,105
r0030_c0071,39.9149924,-75.1496118,Commercial,38
r0030_c0072,39.9149924,-75.1478477,Industrial,3
