cell_id,avg_floors,avg_yearbuilt,total_bldg_area,building_count
r0027_c0019,2.0,1926,64311.0,55.0
r0027_c0020,1.8,1928,103566.0,96.0
r0027_c0021,1.9,1965,74488.0,57.0
r0027_c0022,2.0,1978,69297.0,4.0
r0027_c0023,1.8,1966,121165.0,28.0
r0027_c0024,1.7,1961,78578.0,51.0
r0027_c0025,2.0,1939,61504.0,34.0
r0027_c0048,3.0,2021,71613.0,24.0
r0027_c0049,2.8,2015,135064.0,44.0
r0027_c0050,2.6,1997,64589.0,32.0
r0027_c0051,1.3,1992,95566.0,49.0
r0027_c0052,1.2,2002,51805.0,27.0
r0027_c0053,2.0,1941,85841.0,69.0
r0027_c0054,2.0,1960,111118.0,91.0
r0027_c0055,2.0,1961,114544.0,96.0
r0027_c0056,2.0,1960,89692.0,72.0
r0027_c0057,2.0,1960,103445.0,55.0
r0027_c0058,,,0.0,1.0
r0027_c0059,1.8,1945,108332.0,81.0
r0028_c0016,2.0,1937,39626.0,5.0
r0028_c0017,1.8,1925,70769.0,65.0
r0028_c0018,1.7,1927,58538.0,38.0
r0028_c0019,1.9,1924,146479.0,131.0
r0028_c0020,2.0,1922,127406.0,128.0
r0028_c0021,2.0,1939,96167.0,102.0
r0028_c0022,2.0,1968,80841.0,88.0
r0028_c0024,2.0,1970,42154.0,6.0
r0028_c0025,1.6,1946,67675.0,52.0
r0028_c0026,1.4,1941,61644.0,50.0
r0028_c0028,,1967,47408.0,3.0
r0028_c0048,2.4,2014,49010.0,21.0
r0028_c0049,2.8,2013,153870.0,53.0
r0028_c0050,2.3,2014,107472.0,29.0
r0028_c0051,11.0,1964,159521.0,9.0
r0028_c0052,,1925,8236.0,6.0
r0028_c0053,2.0,1944,52648.0,45.0
r0028_c0054,2.0,1959,74964.0,64.0
r0028_c0055,2.0,1958,103894.0,85.0
r0028_c0056,2.0,1954,86339.0,68.0
r0028_c0057,2.0,1936,62351.0,46.0
r0028_c0058,2.0,1922,32122.0,29.0
r0028_c0059,2.0,1957,4472.0,4.0
r0028_c0060,2.0,1950,10181.0,7.0
r0028_c0064,2.0,1942,65583.0,31.0
r0028_c0065,2.0,1927,32922.0,25.0
r0028_c0066,2.0,1925,49385.0,43.0
r0028_c0071,,1970,45691.0,3.0
r0028_c0075,,1940,295282.0,3.0
r0029_c0017,2.0,1927,50026.0,50.0
r0029_c0018,1.9,1935,27434.0,18.0
r0029_c0019,2.0,1924,95177.0,71.0
r0029_c0020,1.9,1923,94126.0,87.0
r0029_c0022,1.9,1940,50228.0,52.0
r0029_c0023,1.8,1923,83254.0,81.0
r0029_c0024,1.7,1944,8523.0,4.0
r0029_c0025,1.5,1965,43887.0,30.0
r0029_c0026,1.5,1963,89024.0,66.0
r0029_c0027,1.8,1932,66762.0,52.0
r0029_c0031,,1978,9360.0,3.0
r0029_c0051,,,0.0,1.0
r0029_c0052,,1950,19714.0,6.0
r0029_c0053,,1910,13125.0,4.0
r0029_c0054,,1925,1873.0,2.0
r0029_c0055,2.0,1920,110369.0,59.0
r0029_c0056,2.0,1920,158551.0,98.0
r0029_c0057,2.0,1921,203655.0,175.0
r0029_c0058,2.0,1926,127159.0,103.0
r0029_c0059,2.0,1947,103403.0,73.0
r0029_c0060,2.0,1953,102200.0,76.0
r0029_c0061,2.0,1955,94676.0,79.0
r0029_c0062,2.0,1938,113265.0,107.0
r0029_c0063,1.9,1953,114121.0,106.0
r0029_c0064,2.0,1947,130494.0,127.0
r0029_c0065,2.0,1930,177483.0,153.0
r0029_c0066,2.0,1924,182775.0,162.0
r0029_c0067,2.0,1923,49597.0,39.0
r0029_c0069,,1966,11016.0,3.0
r0029_c0070,,1960,60886.0,4.0
r0029_c0071,1.0,1980,55266.0,5.0
r0030_c0016,,1955,71184.0,2.0
r0030_c0018,2.0,1928,41260.0,6.0
r0030_c0019,1.5,1924,72461.0,28.0
r0030_c0020,1.9,1926,80817.0,43.0
r0030_c0021,1.9,1923,74474.0,77.0
r0030_c0022,1.9,1923,115086.0,122.0
r0030_c0023,1.9,1922,102982.0,106.0
r0030_c0024,1.6,1924,32707.0,29.0
r0030_c0026,1.8,1932,32120.0,27.0
r0030_c0027,1.7,1945,64412.0,49.0
r0030_c0032,,1978,5623.0,4.0
r0030_c0052,,1940,1108111.0,4.0
r0030_c0054,2.0,1949,228115.0,27.0
r0030_c0055,2.0,1925,80798.0,62.0
r0030_c0056,2.0,1920,84837.0,70.0
r0030_c0057,2.0,1920,180990.0,166.0
r0030_c0058,2.1,1923,76346.0,29.0
r0030_c0060,2.0,1958,96027.0,80.0
r0030_c0061,2.0,1953,139760.0,121.0
r0030_c0062,2.0,1955,135143.0,111.0
r0030_c0063,2.0,1939,168022.0,63.0
r0030_c0064,2.0,1932,143072.0,96.0
r0030_c0065,2.0,1940,102808.0,97.0
r0030_c0066,2.0,1924,167717.0,156.0
r0030_c0067,2.0,1932,91744.0,75.0
r0030_c0068,1.9,1969,28865.0,13.0
r0030_c0069,2.0,1921,52029.0,26.0
r0030_c0070,2.0,1951,128437.0,108.0
r0030_c0071,2.0,1982,62999.0,55.0
r0030_c0072,,1984,74873.0,4.0
r0031_c0016,,1992,10700.0,2.0
r0031_c0017,2.0,1934,29725.0,16.0
r0031_c0018,1.6,1926,63700.0,18.0
r0031_c0019,1.9,1924,41768.0,36.0
r0031_c0020,1.9,1921,101014.0,60.0
r0031_c0021,1.6,1922,127819.0,82.0
r0031_c0022,2.0,1924,111201.0,45.0
r0031_c0023,1.6,1924,138093.0,132.0
r0031_c0024,2.0,1924,131815.0,130.0
r0031_c0025,1.9,1923,105034.0,96.0
r0031_c0026,1.7,1923,110854.0,104.0
r0031_c0027,2.0,1946,82700.0,64.0
r0031_c0028,2.0,1930,44480.0,33.0
r0031_c0054,,,,
r0031_c0055,2.0,1921,173473.0,105.0
r0031_c0056,2.0,1920,189043.0,140.0
r0031_c0057,2.0,1920,135977.0,109.0
r0031_c0059,2.0,1925,6859.0,7.0
r0031_c0060,2.0,1941,57945.0,51.0
r0031_c0061,2.0,1933,149882.0,135.0
r0031_c0062,2.0,1931,187359.0,167.0
r0031_c0063,2.0,1926,179514.0,162.0
r0031_c0064,2.0,1930,215674.0,177.0
r0031_c0065,2.0,1926,217880.0,197.0
r0031_c0066,2.0,1926,183303.0,187.0
r0031_c0067,2.0,1923,177398.0,166.0
r0031_c0068,2.2,1949,93003.0,61.0
r0031_c0069,2.1,1922,158592.0,54.0
r0031_c0070,2.1,1929,197194.0,185.0
r0031_c0071,2.0,1953,131735.0,108.0
r0031_c0072,2.0,1933,64345.0,24.0
r0031_c0073,1.0,1940,29963.0,5.0
r0032_c0016,,,,
r0032_c0017,2.0,1926,79767.0,47.0
r0032_c0018,1.1,1997,100388.0,64.0
r0032_c0019,1.4,1926,37641.0,22.0
r0032_c0020,2.0,1925,91545.0,76.0
r0032_c0021,1.9,1922,87600.0,84.0
r0032_c0022,2.0,1934,76511.0,20.0
r0032_c0023,2.0,1924,121914.0,116.0
r0032_c0024,2.0,1922,114912.0,118.0
r0032_c0025,2.0,1928,131376.0,133.0
r0032_c0026,1.9,1921,146634.0,129.0
r0032_c0027,2.0,1935,100254.0,81.0
r0032_c0028,1.8,1926,90072.0,71.0
r0032_c0029,1.4,1925,36360.0,35.0
r0032_c0032,,1950,14196.0,3.0
r0032_c0033,,1965,7328.0,2.0
r0032_c0034,,1965,2721.0,4.0
r0032_c0035,,1969,35939.0,9.0
r0032_c0036,,1972,23528.0,6.0
r0032_c0051,,,,
r0032_c0053,2.0,1964,38564.0,4.0
r0032_c0054,,2003,50664.0,1.0
r0032_c0055,2.1,1936,151753.0,81.0
r0032_c0056,2.0,1920,183263.0,157.0
r0032_c0057,2.0,1920,185885.0,163.0
r0032_c0058,2.0,1921,221273.0,168.0
r0032_c0059,2.0,1923,163820.0,83.0
r0032_c0060,2.0,1924,213799.0,112.0
r0032_c0061,2.0,1924,202939.0,194.0
r0032_c0062,2.0,1925,209851.0,191.0
r0032_c0063,2.0,1925,211000.0,173.0
r0032_c0064,2.0,1926,192594.0,172.0
r0032_c0065,2.0,1927,210552.0,188.0
r0032_c0066,2.0,1927,207025.0,186.0
r0032_c0067,2.0,1920,211865.0,190.0
r0032_c0068,2.0,1917,231056.0,131.0
r0032_c0069,2.0,1920,196310.0,177.0
r0032_c0070,2.0,1920,182702.0,173.0
r0032_c0071,2.0,1921,172417.0,178.0
r0032_c0072,2.0,1929,120442.0,91.0
r0033_c0016,1.8,1944,22750.0,22.0
r0033_c0017,1.8,1931,52963.0,56.0
r0033_c0018,1.7,1948,157406.0,28.0
r0033_c0019,1.9,1919,126632.0,91.0
r0033_c0020,1.8,1920,47076.0,37.0
r0033_c0023,2.0,1921,58826.0,56.0
r0033_c0024,2.0,1934,101177.0,105.0
r0033_c0025,2.0,1922,105476.0,105.0
r0033_c0026,1.9,1922,118778.0,112.0
r0033_c0027,1.9,1920,142193.0,122.0
r0033_c0028,1.4,1924,75601.0,70.0
r0033_c0029,2.0,1925,90304.0,85.0
r0033_c0030,,,0.0,3.0
r0033_c0036,,1945,8953.0,3.0
r0033_c0047,,,,
r0033_c0051,1.0,1950,37400.0,2.0
r0033_c0052,2.3,1923,53625.0,20.0
r0033_c0053,2.0,1921,117127.0,25.0
r0033_c0054,2.1,1922,104646.0,38.0
r0033_c0055,2.1,1922,134692.0,63.0
r0033_c0056,2.2,1920,181100.0,127.0
r0033_c0057,2.0,1920,221371.0,139.0
r0033_c0058,2.1,1920,227083.0,172.0
r0033_c0059,2.2,1920,251114.0,137.0
r0033_c0060,2.0,1925,199071.0,183.0
r0033_c0061,2.0,1927,190044.0,144.0
r0033_c0062,2.1,1928,196165.0,158.0
r0033_c0063,2.0,1927,187036.0,167.0
r0033_c0064,2.0,1925,206080.0,192.0
r0033_c0065,2.0,1930,227831.0,209.0
r0033_c0066,2.0,1927,204604.0,191.0
r0033_c0067,2.0,1923,128462.0,96.0
r0033_c0068,2.0,1918,177526.0,159.0
r0033_c0069,2.0,1922,196146.0,179.0
r0033_c0070,1.8,1918,186504.0,81.0
r0033_c0071,2.0,1915,166843.0,171.0
r0033_c0072,2.0,1922,119299.0,66.0
r0034_c0016,1.6,1968,29074.0,18.0
r0034_c0017,1.9,1948,64443.0,58.0
r0034_c0018,2.0,1925,79633.0,62.0
r0034_c0019,2.6,1922,58468.0,31.0
r0034_c0020,1.9,1925,121058.0,91.0
r0034_c0021,1.3,1925,59736.0,38.0
r0034_c0023,2.0,1920,6718.0,4.0
r0034_c0024,1.9,1931,69821.0,60.0
r0034_c0025,1.7,1923,123973.0,116.0
r0034_c0026,1.6,1924,123963.0,115.0
r0034_c0027,1.4,1924,168375.0,137.0
r0034_c0028,1.2,1922,108102.0,95.0
r0034_c0029,1.4,1922,18978.0,22.0
r0034_c0030,1.0,1940,36931.0,19.0
r0034_c0034,,1954,33145.0,5.0
r0034_c0036,,1958,27890.0,5.0
r0034_c0049,,1970,43670.0,3.0
r0034_c0051,,,0.0,14.0
r0034_c0053,2.1,1920,113273.0,71.0
r0034_c0054,2.3,1920,161354.0,106.0
r0034_c0055,2.0,1929,179026.0,119.0
r0034_c0056,2.1,1920,181606.0,71.0
r0034_c0057,2.0,1920,211522.0,161.0
r0034_c0058,2.0,1920,238199.0,164.0
r0034_c0059,2.3,1922,231521.0,122.0
r0034_c0060,2.1,1925,139021.0,112.0
r0034_c0061,2.0,1928,191128.0,157.0
r0034_c0062,2.1,1926,195564.0,163.0
r0034_c0063,2.0,1930,216628.0,176.0
r0034_c0064,1.9,1922,182752.0,159.0
r0034_c0065,2.0,1929,200040.0,118.0
r0034_c0066,2.0,1927,215162.0,175.0
r0034_c0067,2.0,1927,150369.0,135.0
r0034_c0068,2.0,1925,200793.0,183.0
r0034_c0069,2.0,1920,189222.0,179.0
r0034_c0070,1.9,1919,198460.0,190.0
r0034_c0071,2.0,1919,173588.0,172.0
r0034_c0072,2.0,1920,117430.0,60.0
r0034_c0073,,1947,92568.0,3.0
r0035_c0016,2.0,1925,5408.0,5.0
r0035_c0017,,1930,7467.0,22.0
r0035_c0018,2.0,1924,61065.0,85.0
r0035_c0019,2.1,1929,83074.0,25.0
r0035_c0020,2.0,1922,103777.0,26.0
r0035_c0021,2.0,1917,49282.0,13.0
r0035_c0022,1.9,1944,127210.0,107.0
r0035_c0024,2.0,1926,374255.0,12.0
r0035_c0025,1.9,1927,133386.0,90.0
r0035_c0026,1.7,1928,87462.0,56.0
r0035_c0027,1.4,1925,98187.0,86.0
r0035_c0028,1.6,1929,58251.0,28.0
r0035_c0029,1.5,1929,60378.0,43.0
r0035_c0030,1.7,1930,114710.0,102.0
r0035_c0031,2.0,1968,52522.0,4.0
r0035_c0045,,,,
r0035_c0046,2.0,1920,60836.0,68.0
r0035_c0047,,1925,2691.0,6.0
r0035_c0048,,,0.0,3.0
r0035_c0049,2.0,1937,14971.0,10.0
r0035_c0050,2.0,1919,31339.0,9.0
r0035_c0051,,,28843.0,2.0
r0035_c0052,2.0,1937,110607.0,27.0
r0035_c0053,2.0,1920,148956.0,111.0
