cell_id,landuse_entropy
r0031_c0016,-0.0
r0031_c0017,1.5117
r0031_c0018,0.9796
r0031_c0019,1.0042
r0031_c0020,1.2936
r0031_c0021,0.9283
r0031_c0022,0.3232
r0031_c0023,0.1088
r0031_c0024,0.2607
r0031_c0025,0.3763
r0031_c0026,0.091
r0031_c0027,-0.0
r0031_c0028,-0.0
r0031_c0054,0.0
r0031_c0055,1.3556
r0031_c0056,-0.0
r0031_c0057,0.5127
r0031_c0059,0.8813
r0031_c0060,0.3809
r0031_c0061,0.7931
r0031_c0062,0.2884
r0031_c0063,0.4088
r0031_c0064,0.2878
r0031_c0065,0.2143
r0031_c0066,0.1309
r0031_c0067,0.0996
r0031_c0068,-0.0
r0031_c0069,-0.0
r0031_c0070,-0.0
r0031_c0071,-0.0
r0031_c0072,0.5775
r0031_c0073,0.1722
r0032_c0016,0.0
r0032_c0017,1.6143
r0032_c0018,1.6406
r0032_c0019,0.9196
r0032_c0020,1.3588
r0032_c0021,0.1752
r0032_c0022,0.4185
r0032_c0023,0.6587
r0032_c0024,0.0701
r0032_c0025,-0.0
r0032_c0026,0.2903
r0032_c0027,0.0682
r0032_c0028,-0.0
r0032_c0029,0.9869
r0032_c0032,0.5005
r0032_c0033,-0.0
r0032_c0034,-0.0
r0032_c0035,-0.0
r0032_c0036,0.2385
r0032_c0051,0.0
r0032_c0053,0.8033
r0032_c0054,-0.0
r0032_c0055,1.0559
r0032_c0056,0.2105
r0032_c0057,0.2984
r0032_c0058,0.6984
r0032_c0059,1.5537
r0032_c0060,1.2735
r0032_c0061,0.0933
r0032_c0062,0.1537
r0032_c0063,0.226
r0032_c0064,0.1862
r0032_c0065,-0.0
r0032_c0066,0.7419
r0032_c0067,0.1594
r0032_c0068,-0.0
r0032_c0069,-0.0
r0032_c0070,-0.0
r0032_c0071,-0.0
r0032_c0072,0.7597
r0033_c0016,1.3597
r0033_c0017,1.7985
r0033_c0018,1.7934
r0033_c0019,1.3287
r0033_c0020,1.7875
r0033_c0023,0.6135
r0033_c0024,0.1447
r0033_c0025,0.142
r0033_c0026,0.3924
r0033_c0027,0.3216
r0033_c0028,0.7856
r0033_c0029,-0.0
r0033_c0030,-0.0
r0033_c0036,-0.0
r0033_c0047,0.0
r0033_c0051,0.944
r0033_c0052,0.9342
r0033_c0053,0.9592
r0033_c0054,0.9979
r0033_c0055,1.232
r0033_c0056,1.1676
r0033_c0057,0.1629
r0033_c0058,0.1044
r0033_c0059,1.2636
r0033_c0060,0.1149
r0033_c0061,0.2616
r0033_c0062,0.4848
r0033_c0063,0.1788
r0033_c0064,0.2267
r0033_c0065,0.1284
r0033_c0066,1.1248
r0033_c0067,1.1281
r0033_c0068,-0.0
r0033_c0069,-0.0
r0033_c0070,-0.0
r0033_c0071,-0.0
r0033_c0072,0.9017
r0034_c0016,1.1361
r0034_c0017,1.4186
r0034_c0018,1.7819
r0034_c0019,0.8426
r0034_c0020,0.9181
r0034_c0021,0.8784
r0034_c0023,-0.0
r0034_c0024,0.537
r0034_c0025,0.1496
r0034_c0026,0.3767
r0034_c0027,0.2495
r0034_c0028,-0.0
r0034_c0029,0.7504
r0034_c0030,0.9771
r0034_c0034,-0.0
r0034_c0036,-0.0
r0034_c0049,0.8961
r0034_c0051,0.3104
r0034_c0053,0.4876
r0034_c0054,0.9477
r0034_c0055,0.8484
r0034_c0056,0.9943
r0034_c0057,0.2948
r0034_c0058,0.1975
r0034_c0059,1.1264
r0034_c0060,1.0236
r0034_c0061,0.2672
r0034_c0062,0.2731
r0034_c0063,0.2131
r0034_c0064,0.3482
r0034_c0065,0.7834
r0034_c0066,1.2269
r0034_c0067,-0.0
r0034_c0068,-0.0
r0034_c0069,-0.0
r0034_c0070,-0.0
r0034_c0071,-0.0
r0034_c0072,0.985
r0034_c0073,0.8855
r0035_c0016,0.99
r0035_c0017,0.0327
r0035_c0018,0.9307
r0035_c0019,1.4805
r0035_c0020,0.7028
r0035_c0021,0.2272
r0035_c0022,0.7939
r0035_c0024,-0.0
r0035_c0025,1.3862
r0035_c0026,1.4525
r0035_c0027,0.3442
r0035_c0028,1.33
r0035_c0029,0.9722
r0035_c0030,0.1158
r0035_c0031,0.0812
r0035_c0045,0.0
r0035_c0046,0.8168
r0035_c0047,0.2646
r0035_c0048,0.0
r0035_c0049,0.6045
r0035_c0050,0.2854
r0035_c0051,0.9952
r0035_c0052,0.8894
r0035_c0053,0.9491
r0035_c0054,0.1423
r0035_c0055,1.0983
r0035_c0056,0.3524
r0035_c0057,0.3349
r0035_c0058,0.2092
r0035_c0059,0.1429
r0035_c0060,0.9652
r0035_c0061,0.4037
r0035_c0062,0.2589
r0035_c0063,0.3566
r0035_c0064,0.1228
r0035_c0065,0.1846
r0035_c0066,0.882
r0035_c0067,0.3605
r0035_c0068,0.6242
r0035_c0069,0.0692
r0035_c0070,0.1154
r0035_c0071,1.46
r0035_c0072,0.1209
r0035_c0073,-0.0
r0035_c0075,-0.0
r0036_c0017,0.8843
r0036_c0018,1.5111
r0036_c0019,0.9881
r0036_c0020,1.1326
r0036_c0021,1.8109
r0036_c0022,1.2004
r0036_c0023,0.7811
r0036_c0024,0.1206
r0036_c0025,0.8076
r0036_c0026,0.997
r0036_c0027,0.8327
r0036_c0028,1.3584
r0036_c0029,0.845
r0036_c0030,0.2312
r0036_c0031,0.6993
r0036_c0046,-0.0
r0036_c0047,0.3753
r0036_c0049,1.2647
r0036_c0050,0.9863
r0036_c0051,0.942
r0036_c0052,1.8369
r0036_c0053,1.5955
r0036_c0054,0.7078
r0036_c0055,0.1721
r0036_c0056,0.5461
r0036_c0057,0.4216
r0036_c0058,1.1646
r0036_c0059,0.2808
r0036_c0060,1.4366
r0036_c0061,0.7236
r0036_c0062,0.9925
r0036_c0063,0.7638
r0036_c0064,1.2843
r0036_c0065,0.5576
r0036_c0066,1.5344
r0036_c0067,1.459
r0036_c0068,0.2857
r0036_c0069,0.4665
r0036_c0070,0.1712
r0036_c0071,0.1522
r0036_c0072,0.4712
r0036_c0074,-0.0
r0037_c0017,0.942
r0037_c0018,0.9947
r0037_c0019,1.0685
r0037_c0020,1.1886
r0037_c0021,1.0363
r0037_c0022,1.7639
r0037_c0023,1.0499
r0037_c0024,1.2938
r0037_c0025,0.5555
r0037_c0026,0.4469
r0037_c0027,0.4648
r0037_c0028,0.8641
r0037_c0029,0.1567
r0037_c0030,0.3248
r0037_c0031,-0.0
r0037_c0047,0.0
r0037_c0050,0.7911
r0037_c0051,0.3079
r0037_c0052,0.2913
r0037_c0053,1.2129
r0037_c0054,1.432
r0037_c0055,1.208
r0037_c0056,1.3678
r0037_c0057,1.2315
r0037_c0058,1.4571
r0037_c0059,1.4821
r0037_c0060,1.5276
r0037_c0061,1.2839
r0037_c0062,1.0787
r0037_c0063,0.9032
r0037_c0064,1.0821
r0037_c0065,0.5522
r0037_c0066,0.7448
r0037_c0067,0.7704
r0037_c0068,0.1032
r0037_c0069,0.5604
r0037_c0070,0.1806
r0037_c0071,0.3343
r0037_c0072,0.4507
r0038_c0017,0.0
r0038_c0018,1.0733
r0038_c0019,0.4721
r0038_c0020,1.0
r0038_c0021,-0.0
r0038_c0022,0.3256
r0038_c0023,1.473
r0038_c0024,1.4225
r0038_c0025,0.7648
r0038_c0026,1.4797
r0038_c0027,0.9299
r0038_c0028,0.3132
r0038_c0029,0.6485
r0038_c0030,0.808
r0038_c0031,1.4341
r0038_c0032,-0.0
r0038_c0046,1.1041
r0038_c0051,1.2567
r0038_c0052,0.4878
r0038_c0053,0.5782
r0038_c0054,0.8098
r0038_c0055,0.817
r0038_c0056,0.59
r0038_c0057,0.8089
r0038_c0058,2.2144
r0038_c0059,1.2151
r0038_c0060,1.3123
r0038_c0061,1.5074
r0038_c0062,0.5922
r0038_c0063,0.2336
r0038_c0064,0.2023
r0038_c0065,0.6708
r0038_c0066,0.1889
r0038_c0067,1.3772
r0038_c0068,0.1512
r0038_c0069,1.6277
r0038_c0070,1.1846
r0038_c0071,1.6586
r0038_c0072,0.2065
r0038_c0073,-0.0
r0039_c0018,-0.0
r0039_c0019,-0.0
r0039_c0020,0.654
r0039_c0021,0.8693
r0039_c0022,1.0567
r0039_c0023,0.5812
r0039_c0024,1.5244
r0039_c0025,1.5688
r0039_c0026,1.5393
r0039_c0027,0.0826
r0039_c0028,0.1989
r0039_c0029,0.1669
r0039_c0030,0.5047
r0039_c0031,0.9999
r0039_c0046,0.9627
r0039_c0047,0.3315
r0039_c0048,0.9211
r0039_c0049,0.7727
r0039_c0050,0.7487
r0039_c0051,0.6294
r0039_c0052,0.3462
r0039_c0053,0.3401
r0039_c0054,0.3877
r0039_c0055,0.6622
r0039_c0056,0.5865
r0039_c0057,1.2151
r0039_c0058,1.8192
r0039_c0059,0.6227
r0039_c0060,0.7405
r0039_c0061,0.8201
r0039_c0062,1.3884
r0039_c0063,0.8682
r0039_c0064,0.0753
r0039_c0065,0.2749
r0039_c0066,0.51
r0039_c0067,0.9621
r0039_c0068,0.8158
r0039_c0069,0.8927
r0039_c0070,1.3772
r0039_c0071,0.6037
r0039_c0072,1.0765
r0040_c0018,0.7842
r0040_c0019,0.0641
r0040_c0020,0.602
r0040_c0021,0.4922
r0040_c0022,1.0009
r0040_c0023,1.0878
r0040_c0024,1.1641
r0040_c0025,1.5433
r0040_c0026,0.4628
r0040_c0028,0.0
r0040_c0030,0.9731
r0040_c0031,1.0882
r0040_c0032,1.3362
r0040_c0045,0.9497
r0040_c0046,0.17
r0040_c0047,-0.0
r0040_c0048,0.0075
r0040_c0049,0.8104
r0040_c0050,0.3514
r0040_c0051,0.9683
r0040_c0052,0.3415
r0040_c0053,0.3056
r0040_c0054,0.4052
r0040_c0055,0.6505
r0040_c0056,0.9772
r0040_c0057,1.2829
r0040_c0058,1.3454
r0040_c0059,0.7451
r0040_c0060,1.8786
r0040_c0061,1.4182
r0040_c0062,1.2848
r0040_c0063,1.0344
r0040_c0064,0.3656
r0040_c0065,0.8237
r0040_c0066,0.574
r0040_c0067,0.7741
r0040_c0068,0.5746
r0040_c0069,0.4907
r0040_c0070,0.6343
r0040_c0071,0.2574
r0040_c0072,0.8364
r0040_c0073,0.3708
r0041_c0018,-0.0
r0041_c0019,0.909
r0041_c0020,-0.0
r0041_c0021,-0.0
r0041_c0023,-0.0
r0041_c0024,0.9896
r0041_c0025,1.7059
r0041_c0026,1.5066
r0041_c0029,-0.0
r0041_c0030,0.5334
r0041_c0031,0.6398
r0041_c0032,0.9116
r0041_c0043,-0.0
r0041_c0044,1.0271
r0041_c0045,0.9895
r0041_c0046,-0.0
r0041_c0047,-0.0
r0041_c0048,-0.0
r0041_c0049,0.9409
r0041_c0050,0.931
r0041_c0051,1.3439
r0041_c0052,1.2682
r0041_c0053,1.217
r0041_c0054,0.6781
r0041_c0055,0.7951
r0041_c0056,0.1905
r0041_c0057,1.1235
r0041_c0058,0.37
r0041_c0059,0.4244
r0041_c0060,0.165
r0041_c0061,0.8583
r0041_c0062,0.4007
r0041_c0063,1.2831
r0041_c0064,0.5445
r0041_c0065,0.8283
r0041_c0066,0.2694
r0041_c0067,0.866
r0041_c0068,0.6527
r0041_c0069,0.7425
r0041_c0070,0.9915
