cell_id,road_density_primary
r0030_c0036,24.81
r0030_c0037,9.77
r0030_c0038,10.65
r0030_c0039,2.91
r0031_c0020,6.98
r0031_c0021,0.0
r0031_c0022,24.35
r0031_c0023,12.1
r0031_c0024,0.0
r0031_c0025,10.43
r0031_c0026,12.83
r0031_c0027,0.0
r0031_c0028,0.0
r0031_c0029,0.0
r0031_c0030,0.0
r0031_c0031,0.0
r0031_c0032,0.0
r0031_c0033,0.0
r0031_c0034,0.0
r0031_c0035,0.0
r0031_c0036,9.93
r0031_c0037,29.05
r0031_c0038,7.08
r0031_c0039,5.61
r0032_c0020,24.02
r0032_c0021,23.82
r0032_c0022,0.0
r0032_c0023,2.3
r0032_c0024,17.37
r0032_c0025,10.56
r0032_c0026,10.65
r0032_c0027,0.0
r0032_c0028,0.0
r0032_c0029,0.0
r0032_c0030,0.0
r0032_c0031,0.0
r0032_c0032,0.0
r0032_c0033,0.0
r0032_c0034,0.0
r0032_c0035,0.0
r0032_c0036,17.61
r0032_c0037,1.1
r0033_c0020,10.51
r0033_c0021,10.72
r0033_c0022,10.7
r0033_c0023,19.61
r0033_c0024,18.32
r0033_c0025,5.53
r0033_c0026,13.08
r0033_c0027,0.0
r0033_c0028,0.0
r0033_c0029,0.0
r0033_c0030,0.0
r0033_c0031,0.0
r0033_c0032,0.0
r0033_c0033,0.0
r0033_c0034,0.0
r0033_c0035,0.0
r0034_c0020,13.38
r0034_c0021,18.67
r0034_c0022,7.28
r0034_c0023,20.0
r0034_c0024,10.97
r0034_c0025,8.71
r0034_c0026,9.2
r0034_c0027,14.51
r0034_c0028,0.0
r0034_c0029,0.0
r0034_c0030,0.0
r0034_c0031,0.0
r0034_c0032,0.0
r0034_c0033,0.0
r0034_c0034,0.0
r0034_c0035,0.0
r0034_c0036,0.0
r0035_c0020,9.32
r0035_c0021,58.26
r0035_c0022,8.2
r0035_c0023,11.36
r0035_c0024,0.0
r0035_c0025,8.89
r0035_c0026,0.0
r0035_c0027,27.63
r0035_c0028,4.35
r0035_c0029,0.0
r0035_c0030,0.0
r0035_c0031,0.0
r0035_c0032,0.0
r0035_c0033,0.0
r0035_c0034,0.0
r0035_c0035,0.0
r0035_c0036,0.0
r0035_c0037,12.69
r0036_c0020,17.17
r0036_c0021,0.0
r0036_c0022,15.98
r0036_c0023,13.52
r0036_c0024,10.63
r0036_c0025,2.43
r0036_c0026,18.3
r0036_c0027,10.8
r0036_c0028,39.8
r0036_c0029,0.0
