cell_id,landuse_entropy
r0029_c0034,1.8532
r0029_c0035,1.1267
r0029_c0037,1.6432
r0029_c0038,1.782
r0029_c0040,0.9402
r0030_c0021,1.4614
r0030_c0022,0.9602
r0030_c0023,1.9491
r0030_c0024,2.3029
r0030_c0025,2.3034
r0030_c0026,1.589
r0030_c0028,2.0267
r0030_c0029,1.7568
r0030_c0030,2.5406
r0030_c0031,2.3127
r0030_c0032,2.0811
r0030_c0033,2.0855
r0030_c0034,1.2549
r0030_c0035,1.5901
r0030_c0036,1.5989
r0030_c0037,1.8238
r0030_c0038,2.0138
r0030_c0039,0.7009
r0031_c0020,0.7907
r0031_c0021,1.5373
r0031_c0022,1.1175
r0031_c0023,1.6792
r0031_c0024,1.9319
r0031_c0025,2.1339
r0031_c0026,1.9252
r0031_c0027,1.9098
r0031_c0028,0.2218
r0031_c0029,1.5488
r0031_c0030,1.6239
r0031_c0031,1.7797
r0031_c0032,1.6889
r0031_c0033,1.832
r0031_c0034,1.5072
r0031_c0035,2.308
r0031_c0036,1.7232
r0031_c0037,1.8964
r0031_c0038,1.8526
r0031_c0039,0.7
r0032_c0020,-0.0
r0032_c0021,2.3791
r0032_c0022,2.4983
r0032_c0023,2.4517
r0032_c0024,2.3331
r0032_c0025,2.4789
r0032_c0026,1.7229
r0032_c0027,0.2819
r0032_c0028,-0.0
r0032_c0029,1.3984
r0032_c0030,1.3237
r0032_c0031,1.0573
r0032_c0032,2.4979
r0032_c0033,2.0631
r0032_c0034,1.7062
r0032_c0035,1.4669
r0032_c0036,1.7324
r0032_c0037,0.7086
r0033_c0020,-0.0
r0033_c0021,1.573
r0033_c0022,2.129
r0033_c0023,1.9138
r0033_c0024,1.9316
r0033_c0025,2.2456
r0033_c0026,2.2446
r0033_c0027,0.3473
r0033_c0028,1.302
r0033_c0029,1.8614
r0033_c0030,1.1888
r0033_c0031,1.6305
r0033_c0032,2.5332
r0033_c0033,2.0496
r0033_c0034,2.244
r0033_c0035,2.4545
r0034_c0020,1.9475
r0034_c0021,2.1888
r0034_c0022,2.6894
r0034_c0023,2.3592
r0034_c0024,1.765
r0034_c0025,2.1094
r0034_c0026,2.438
r0034_c0027,2.2831
r0034_c0028,1.7545
r0034_c0029,2.1556
r0034_c0030,2.095
r0034_c0031,1.9429
r0034_c0032,1.5659
r0034_c0033,1.2924
