cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,shop_density_km2,office_density,road_density_primary,transit_stop_density,intersection_density,nightlife_density
r0071_c0040,40.7828729,-73.9744206,Residential,16,4933.33,0.027,6.0,1900,593315.0,28.0,1.7694,577.78,0.0,0.0,133.33,88.89,0.0
r0071_c0041,40.7828729,-73.9726362,Residential,30,2755.56,0.0,6.3,1896,865185.0,28.0,1.5012,0.0,0.0,0.0,222.22,44.44,0.0
r0071_c0042,40.7828729,-73.9708518,Residential,8,2222.22,0.0,5.4,1892,966461.0,19.0,1.1353,44.44,0.0,0.0,133.33,88.89,88.89
r0071_c0049,40.7828729,-73.958361,Residential,18,355.56,0.125,9.1,1928,873141.0,18.0,1.5998,0.0,0.0,0.0,0.0,0.0,0.0
r0071_c0050,40.7828729,-73.9565766,Residential,20,355.56,0.0,14.4,1938,1982295.0,14.0,1.2305,0.0,44.44,0.0,0.0,44.44,0.0
r0071_c0051,40.7828729,-73.9547922,Residential,30,88.89,0.0,7.9,1910,1145536.0,23.0,1.1225,0.0,0.0,0.0,0.0,0.0,0.0
r0071_c0052,40.7828729,-73.9530078,Residential,42,1066.67,0.375,4.5,1902,788160.0,55.0,2.2479,355.56,0.0,0.0,44.44,0.0,0.0
r0071_c0053,40.7828729,-73.9512235,Mixed-Use,29,1777.78,0.25,4.8,1916,509078.0,35.0,1.8141,666.67,0.0,0.0,88.89,0.0,88.89
r0071_c0054,40.7828729,-73.9494391,Mixed-Use,7,977.78,0.0455,19.5,1986,1806804.0,8.0,1.3247,88.89,0.0,0.0,0.0,0.0,0.0
r0071_c0055,40.7828729,-73.9476547,Mixed-Use,33,1200.0,0.3704,7.6,1928,948254.0,45.0,2.0861,355.56,0.0,3.68,177.78,133.33,0.0
r0071_c0056,40.7828729,-73.9458703,Mixed-Use,22,711.11,0.0625,6.3,1936,968552.0,30.0,2.616,0.0,0.0,13.77,0.0,355.56,0.0
r0072_c0035,40.7842242,-73.9833425,Residential,17,888.89,0.05,11.1,1915,474419.0,6.0,0.5197,0.0,0.0,0.0,44.44,133.33,0.0
r0072_c0036,40.7842242,-73.9815581,Residential,26,133.33,0.0,6.4,1899,955496.0,36.0,1.9847,0.0,0.0,10.25,0.0,88.89,0.0
r0072_c0037,40.7842242,-73.9797737,Mixed-Use,18,2133.33,0.0833,7.5,1909,775404.0,8.0,1.9526,755.56,0.0,6.83,444.44,88.89,44.44
r0072_c0038,40.7842242,-73.9779893,Mixed-Use,43,1733.33,0.6667,6.2,1912,815368.0,44.0,1.3558,177.78,0.0,0.0,44.44,44.44,222.22
r0072_c0039,40.7842242,-73.9762049,Residential,56,311.11,0.2857,4.8,1897,729912.0,51.0,2.1428,88.89,0.0,5.82,44.44,0.0,0.0
r0072_c0040,40.7842242,-73.9744206,Mixed-Use,36,1644.44,0.2432,4.4,1895,665432.0,51.0,1.971,533.33,44.44,21.58,0.0,88.89,0.0
r0072_c0041,40.7842242,-73.9726362,Residential,67,444.44,0.7,4.7,1890,586136.0,58.0,1.8677,44.44,0.0,10.49,0.0,0.0,0.0
r0072_c0042,40.7842242,-73.9708518,Residential,29,177.78,0.0,5.7,1900,1161264.0,44.0,1.7146,0.0,0.0,14.13,88.89,88.89,0.0
r0072_c0049,40.7842242,-73.958361,Institutional,5,711.11,0.0625,6.0,1940,138248.0,3.0,-0.0,0.0,0.0,0.0,44.44,88.89,0.0
r0072_c0050,40.7842242,-73.9565766,Mixed-Use,35,1155.56,0.1923,6.3,1905,809663.0,30.0,1.6538,222.22,44.44,0.0,44.44,0.0,44.44
r0072_c0051,40.7842242,-73.9547922,Residential,30,133.33,0.0,5.4,1901,805458.0,44.0,2.3221,0.0,0.0,0.0,0.0,0.0,0.0
r0072_c0052,40.7842242,-73.9530078,Residential,31,844.44,0.2632,6.9,1907,1330576.0,22.0,1.0602,311.11,0.0,0.0,0.0,0.0,0.0
r0072_c0053,40.7842242,-73.9512235,Residential,52,800.0,0.2222,4.9,1908,832445.0,47.0,1.839,311.11,44.44,0.0,0.0,0.0,44.44
r0072_c0054,40.7842242,-73.9494391,Mixed-Use,17,488.89,0.1818,7.8,1930,1075975.0,29.0,1.9544,44.44,0.0,0.0,0.0,44.44,0.0
r0072_c0055,40.7842242,-73.9476547,Mixed-Use,22,1244.44,0.1429,7.1,1925,1210052.0,23.0,1.0896,266.67,0.0,0.0,577.78,88.89,44.44
r0072_c0056,40.7842242,-73.9458703,Institutional,3,533.33,0.0,11.4,1960,511660.0,9.0,1.0131,0.0,0.0,0.0,266.67,266.67,0.0
r0072_c0058,40.7842242,-73.9423015,Mixed-Use,3,533.33,0.0,15.0,1976,296174.0,3.0,0.9992,0.0,0.0,0.0,88.89,44.44,0.0
r0073_c0036,40.7855756,-73.9815581,Residential,40,133.33,0.0,5.8,1902,474044.0,30.0,1.8504,0.0,0.0,0.0,44.44,88.89,0.0
r0073_c0037,40.7855756,-73.9797737,Residential,12,800.0,0.0556,8.8,1918,1543703.0,27.0,1.5224,266.67,0.0,11.2,0.0,88.89,0.0
r0073_c0038,40.7855756,-73.9779893,Mixed-Use,24,2044.44,0.2174,6.9,1910,815400.0,20.0,1.3424,622.22,44.44,1.0,177.78,44.44,44.44
r0073_c0039,40.7855756,-73.9762049,Mixed-Use,46,1288.89,0.4828,4.9,1896,591046.0,48.0,1.8249,266.67,0.0,0.0,44.44,44.44,177.78
r0073_c0040,40.7855756,-73.9744206,Institutional,13,400.0,0.0,4.8,1924,717041.0,24.0,1.301,0.0,0.0,12.18,0.0,0.0,0.0
r0073_c0041,40.7855756,-73.9726362,Mixed-Use,37,1066.67,0.4583,5.6,1895,388479.0,21.0,1.3621,222.22,0.0,15.01,88.89,88.89,88.89
r0073_c0042,40.7855756,-73.9708518,Residential,50,88.89,0.0,5.2,1901,823616.0,63.0,1.8946,0.0,0.0,15.86,0.0,0.0,0.0
r0073_c0043,40.7855756,-73.9690674,Residential,11,1155.56,0.0,8.2,1910,1017864.0,19.0,1.6559,0.0,0.0,14.41,488.89,133.33,0.0
r0073_c0050,40.7855756,-73.9565766,Residential,52,577.78,0.1538,5.5,1899,766057.0,36.0,1.9703,177.78,0.0,0.0,0.0,0.0,0.0
r0073_c0051,40.7855756,-73.9547922,Institutional,27,1111.11,0.04,5.2,1905,720621.0,45.0,2.1921,355.56,44.44,0.0,44.44,0.0,0.0
r0073_c0052,40.7855756,-73.9530078,Residential,31,0.0,0.0,5.5,1909,664735.0,16.0,1.2216,0.0,0.0,0.0,0.0,44.44,0.0
r0073_c0053,40.7855756,-73.9512235,Mixed-Use,35,1644.44,0.1081,4.5,1898,640204.0,51.0,2.096,444.44,0.0,0.0,533.33,88.89,0.0
r0073_c0054,40.7855756,-73.9494391,Residential,7,977.78,0.0,8.3,1942,926833.0,11.0,1.9906,0.0,0.0,0.0,266.67,88.89,0.0
r0073_c0055,40.7855756,-73.9476547,Residential,5,355.56,0.125,13.4,1957,900473.0,11.0,1.1383,44.44,0.0,0.0,88.89,44.44,0.0
r0073_c0057,40.7855756,-73.9440859,Institutional,9,311.11,0.0,7.6,1947,1488089.0,11.0,1.1514,0.0,0.0,0.0,44.44,133.33,0.0
r0073_c0059,40.7855756,-73.9405171,Mixed-Use,3,533.33,0.0,8.5,1973,264185.0,3.0,0.9986,0.0,0.0,0.0,0.0,44.44,0.0
r0074_c0036,40.7869269,-73.9815581,Residential,9,222.22,0.0,,,,,0.0,0.0,0.0,18.36,0.0,0.0,0.0
r0074_c0037,40.7869269,-73.9797737,Residential,34,0.0,0.0,6.0,1898,1016810.0,40.0,1.8572,0.0,0.0,16.52,0.0,88.89,0.0
r0074_c0038,40.7869269,-73.9779893,Commercial,13,1555.56,0.1429,7.5,1907,864108.0,13.0,2.0119,355.56,88.89,22.08,88.89,44.44,44.44
r0074_c0039,40.7869269,-73.9762049,Mixed-Use,25,1555.56,0.3714,6.4,1920,1003257.0,32.0,1.7584,400.0,0.0,13.52,0.0,44.44,44.44
r0074_c0040,40.7869269,-73.9744206,Residential,40,666.67,0.1333,6.6,1910,766050.0,31.0,1.9623,355.56,0.0,2.38,0.0,0.0,0.0
r0074_c0041,40.7869269,-73.9726362,Residential,51,1111.11,0.24,5.8,1896,998203.0,55.0,1.9412,355.56,0.0,5.0,44.44,44.44,44.44
r0074_c0042,40.7869269,-73.9708518,Residential,68,577.78,0.1538,4.9,1896,728487.0,55.0,1.8729,133.33,0.0,10.93,0.0,44.44,0.0
r0074_c0043,40.7869269,-73.9690674,Residential,48,133.33,0.0,4.4,1895,782441.0,67.0,1.8408,0.0,0.0,10.57,177.78,44.44,0.0
