location,osm_id,name,lat,lon,label,distance_m,lot_area_sqft,highway_type,lanes,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,res_ratio,com_ratio,median_income,assess_per_sqft,year_built,pedestrian_rank,pedestrian_category,dist_subway_m,shops_within_100m,population_density,shop_mix_entropy
times_square,2941986635,Chase,40.7561329,-73.9764798,services,837.4,80333.0,secondary,4.0,15.0,454.1,354.1,147.4,0.0,1.0,171875.0,8561.371416478907,2021.0,1,highest,25.64,17,89,1.5426918994072474
times_square,10215152666,Starbucks,40.7606653,-73.9786542,food_drink,839.3,89775.0,residential,1.0,84.1,563.1,317.7,52.1,0.0,1.0,181333.0,5324.005012531328,1963.0,2,high,141.34,19,741,1.5696140777086578
times_square,10215147033,Just Salad,40.7607496,-73.9788499,food_drink,839.3,89775.0,residential,1.0,66.4,549.4,304.9,54.6,0.0,1.0,181333.0,5324.005012531328,1963.0,2,high,132.73,16,741,1.559235916324845
times_square,10215129770,Vornado,40.7607972,-73.9789137,services,839.3,89775.0,residential,1.0,60.7,542.8,298.7,55.4,0.0,1.0,181333.0,5324.005012531328,1963.0,2,high,131.84,15,741,1.55887184844536
times_square,7093921957,Chase,40.7602159,-73.9788692,services,839.3,89775.0,residential,1.0,92.4,516.6,325.7,105.1,0.0,1.0,181333.0,5324.005012531328,1963.0,2,high,106.41,19,741,1.5770350994190636
times_square,10215153345,Global Kitchen,40.760797,-73.9789831,food_drink,839.3,89775.0,residential,1.0,54.8,541.3,297.6,60.3,0.0,1.0,181333.0,5324.005012531328,1963.0,2,high,127.41,15,741,1.5507661882691606
times_square,12917458448,Paul Stuart,40.7547015,-73.9781613,retail,840.1,18800.0,secondary,1.0,29.9,322.7,338.3,198.4,0.0,1.0,171875.0,3279.80585106383,1922.0,1,highest,72.72,24,89,1.5450322101450138
times_square,6288552807,Wine & Spirits,40.7537969,-73.9798481,retail,840.9,1636.0,residential,1.0,80.8,243.1,210.0,123.3,0.0,1.0,171875.0,1029.8288508557457,1927.0,1,highest,82.88,22,89,1.5607812525857965
times_square,1428036360,Skechers,40.753808,-73.9804143,retail,840.9,4612.0,secondary,4.0,70.7,210.8,165.9,79.3,0.0,1.0,171875.0,3436.860147441457,1917.0,1,highest,92.42,25,89,1.5537631144722457
times_square,12627028572,Frozen City,40.752084,-73.9858316,food_drink,842.3,13990.0,residential,1.0,12.3,129.6,181.1,145.8,0.7974582516612184,0.2025417483387815,250001.0,4127.58398856326,2001.0,1,highest,114.9,26,1590,1.4740391217969526
times_square,11884796769,Pizza Town,40.7520357,-73.9858812,food_drink,842.3,13990.0,secondary,3.0,15.8,123.5,187.5,140.2,0.7974582516612184,0.2025417483387815,250001.0,4127.58398856326,2001.0,1,highest,121.0,28,1590,1.4716130774236706
times_square,4469660893,The North Face,40.758016,-73.9769452,retail,844.5,59629.0,secondary,3.0,38.8,463.1,261.4,77.2,0.0,1.0,91157.0,2971.951567190461,1924.0,1,highest,224.89,20,243,1.5577832813765975
times_square,118116797,Saks Fifth Avenue,40.7580161,-73.9769447,retail,844.5,59629.0,secondary,3.0,38.7,463.2,261.4,77.2,0.0,1.0,91157.0,2971.951567190461,1924.0,1,highest,224.89,20,243,1.5577832813765975
times_square,6814924762,Kule,40.7582574,-73.9777526,retail,845.4,63261.0,secondary,4.0,27.1,417.7,290.9,9.4,0.0,1.0,181333.0,1296.3650590411153,1937.0,1,highest,265.39,24,741,1.5413134683692002
times_square,5007572821,Bricola,40.7638883,-73.9882214,food_drink,847.1,2510.0,residential,1.0,90.0,132.0,178.0,287.3,0.823037323037323,0.1769626769626769,111223.0,974.5816733067728,1920.0,3,medium,225.7,22,6304,1.093488862746132
times_square,6046944585,Sd,40.7639563,-73.9883317,food_drink,847.1,2510.0,residential,1.0,84.5,136.6,170.0,291.6,0.823037323037323,0.1769626769626769,111223.0,974.5816733067728,1920.0,2,high,237.49,22,6304,1.1188484050009375
times_square,12917458446,PS45 outlet,40.7548743,-73.9775625,retail,847.8,43313.0,secondary,4.0,17.8,369.0,390.3,167.7,0.0,1.0,171875.0,1714.504883060513,1924.0,1,highest,52.2,25,89,1.5389094011353532
times_square,1428036643,Clarks,40.7547985,-73.9776337,retail,847.8,43313.0,secondary,2.0,27.1,364.3,383.5,174.5,0.0,1.0,171875.0,1714.504883060513,1924.0,1,highest,46.67,25,89,1.5323225877729818
