location,osm_id,name,lat,lon,label,distance_m,lot_area_sqft,highway_type,lanes,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,res_ratio,com_ratio,median_income
lower_east_side,7674034588,Rite Aid,40.7160465,-73.9864464,health,40.5,36905.0,primary,2.0,27.9,146.8,284.8,36.8,0.9325111111111112,0.0674888888888888,
lower_east_side,6566728985,Trader Joe's,40.7161587,-73.9867257,retail,62.4,45083.0,residential,1.0,26.1,148.8,258.2,21.6,0.7053885607287266,0.2946114392712733,
lower_east_side,4646776164,Target,40.7161435,-73.9867797,retail,63.8,45083.0,primary,2.0,21.7,152.9,255.0,17.7,0.7053885607287266,0.2946114392712733,
lower_east_side,7674034587,Citibank,40.7158089,-73.987045,finance,63.9,15485.0,primary,1.0,31.5,196.0,256.4,25.8,,,
lower_east_side,13746155619,Metro Acres Market,40.7157459,-73.9871127,retail,68.7,15485.0,residential,,38.6,205.1,256.4,34.8,,,
lower_east_side,13746155620,Lidl,40.7163202,-73.9863289,retail,69.0,36905.0,residential,1.0,56.8,115.3,274.8,58.2,0.9325111111111112,0.0674888888888888,
lower_east_side,2826581769,Fine Fare Supermarket,40.7155895,-73.9871819,retail,75.3,293600.0,residential,,56.6,222.5,263.6,52.7,0.9168501015759636,0.0831498984240364,
lower_east_side,7499270169,CVS Pharmacy,40.7162349,-73.986906,health,78.4,15485.0,primary,2.0,13.8,152.2,240.8,25.8,,,
lower_east_side,13063730288,May May Kitchen,40.7154586,-73.9872286,food_drink,82.7,293600.0,residential,,71.6,236.8,254.2,67.4,0.9168501015759636,0.0831498984240364,
lower_east_side,13709739699,Cards & Gifts,40.7154338,-73.9872385,retail,84.5,293600.0,residential,,74.5,239.5,251.9,70.2,0.9168501015759636,0.0831498984240364,
lower_east_side,13709755890,,40.7154378,-73.9873711,finance,94.9,293600.0,residential,,77.0,245.6,257.0,75.4,0.9168501015759636,0.0831498984240364,
lower_east_side,2826581784,Manousheh,40.7159851,-73.9874254,food_drink,100.0,8642.0,primary,1.0,32.2,202.9,219.1,46.0,0.9393410926185692,0.0606589073814307,
lower_east_side,2826581783,Saluggi's East,40.7160067,-73.9874972,food_drink,106.5,8642.0,primary,1.0,37.2,205.8,212.9,52.0,0.9393410926185692,0.0606589073814307,
lower_east_side,5604044815,Crab Du Jour Xpress Cajun,40.7163717,-73.9875854,food_drink,131.6,8642.0,residential,,52.0,188.1,183.4,72.2,0.9393410926185692,0.0606589073814307,
lower_east_side,9224791783,Grand Street Pizza,40.7163988,-73.987669,food_drink,139.1,8642.0,primary,3.0,59.7,192.8,175.8,79.7,0.9393410926185692,0.0606589073814307,
lower_east_side,9371206973,GrandLo Cafe,40.7168549,-73.9856403,food_drink,139.9,20960.0,residential,,130.3,41.0,191.7,63.3,0.5342512174305939,0.4657487825694061,
lower_east_side,7674034589,Wells Fargo,40.716963,-73.986048,finance,142.0,20960.0,residential,1.0,122.2,43.9,208.7,58.5,0.5342512174305939,0.4657487825694061,
lower_east_side,12452501401,VITAL Climbing Gym,40.7170539,-73.9863415,leisure_entertainment,150.6,40690.0,residential,,115.4,60.7,223.0,39.0,0.4887080048298884,0.5112919951701115,
lower_east_side,8333740848,Ernesto's,40.7143271,-73.9854388,food_drink,169.0,2185.0,residential,1.0,121.7,238.8,120.2,29.9,0.8342994368996356,0.1657005631003643,
lower_east_side,9371206974,Joan H. and Preston Robert Tisch Center,40.7172232,-73.9856565,health,177.8,20960.0,residential,,131.6,0.0,164.9,79.2,0.5342512174305939,0.4657487825694061,
lower_east_side,12485270471,7 Elephants,40.7141956,-73.9870365,food_drink,178.4,4282.0,residential,1.0,140.6,131.1,124.9,146.1,0.8122858885916748,0.1877141114083251,
lower_east_side,2826571503,Eastwood,40.7141721,-73.987061,food_drink,181.6,4282.0,residential,1.0,137.7,127.8,124.4,145.4,0.8122858885916748,0.1877141114083251,
lower_east_side,7674034887,Big Apple Food Market,40.7141697,-73.9873017,retail,190.0,2115.0,residential,1.0,135.5,118.4,138.8,127.8,0.8025471418698785,0.1974528581301214,
lower_east_side,12485270472,Subway,40.7140743,-73.9870467,food_drink,191.4,4282.0,residential,1.0,127.2,119.3,115.8,151.7,0.8122858885916748,0.1877141114083251,
lower_east_side,2841380838,BrieHost,40.7144781,-73.9879052,office_professional,191.7,2231.0,secondary,2.0,176.4,143.8,199.8,66.6,0.7718063552996375,0.2281936447003625,
lower_east_side,12485270401,Bo Hai Dumpling Town,40.7141626,-73.9873874,food_drink,194.0,2100.0,secondary,2.0,134.8,115.1,143.9,122.1,0.6656050955414012,0.3343949044585987,
lower_east_side,13746155618,,40.7140377,-73.9870218,food_drink,194.6,4282.0,residential,1.0,123.7,117.1,111.4,155.5,0.8122858885916748,0.1877141114083251,
lower_east_side,8333740849,May Kaidee,40.7141554,-73.9874744,food_drink,198.2,2100.0,secondary,2.0,134.4,112.1,149.2,116.5,0.3754106053496011,0.6245893946503989,
lower_east_side,12485270422,Champion Pizza,40.7140454,-73.9872559,food_drink,200.8,2115.0,residential,1.0,121.8,107.5,127.1,138.5,0.8025471418698785,0.1974528581301214,
lower_east_side,2826581781,The Doughnut Plant,40.7163413,-73.9885359,food_drink,201.5,19484.0,secondary,,20.2,261.7,124.6,73.4,1.0,0.0,
