osm_id,lat,lon,amenity_label,street_width_m,plot_area_m2,dist_bus_stop_m,dist_hospital_m,dist_school_m,dist_park_m,residential_ratio,commercial_ratio,median_income
2709702424,40.7523932,-73.9893008,food_drink,7.0,1345.1,79.0,259.5,284.3,173.9,0.0,0.0435,
2709702498,40.7521714,-73.9853616,hospitality,3.5,443.8,46.4,152.6,142.9,162.6,0.0199,0.0596,
2709702525,40.7522336,-73.9855082,hospitality,3.5,165.6,34.6,153.8,149.1,164.0,0.0207,0.0552,
2709702545,40.7533126,-73.9847512,retail,7.0,544.2,37.7,147.7,74.3,29.2,0.018,0.0541,
2709702562,40.7509797,-73.9871486,food_drink,7.0,9.0,54.9,81.1,142.6,65.5,0.0156,0.0938,
2709702565,40.7508485,-73.9867781,retail,7.0,143.9,53.8,51.1,130.8,77.5,0.0148,0.1111,
2709702569,40.7511709,-73.9865137,food_drink,7.0,1886.8,96.0,36.9,171.2,92.4,0.013,0.0844,
2709702576,40.7514303,-73.9863268,food_drink,7.0,1886.8,90.0,54.7,203.4,99.0,0.0129,0.0839,
2709860571,40.7607974,-73.9959098,leisure_entertainment,7.0,1018.6,100.4,75.7,60.1,275.7,0.0777,0.0,
2709860719,40.7609011,-73.9947642,food_drink,7.0,115.6,117.0,156.4,105.9,179.7,0.0316,0.0,
2709860764,40.7627758,-73.9933967,food_drink,7.0,150.2,46.7,307.5,228.4,73.5,0.0046,0.0,
2709868148,40.762979,-73.9932511,food_drink,7.0,154.4,27.9,296.7,251.7,57.9,0.0,0.0045,
2709878693,40.7601215,-73.9929292,leisure_entertainment,7.0,99.4,105.8,241.2,32.5,142.9,0.073,0.0043,
2709878723,40.760092,-73.9953854,retail,7.0,1571.8,40.9,85.9,148.5,266.4,0.0796,0.0,
2709878727,40.7603332,-73.9947365,food_drink,7.0,146.6,101.7,139.9,121.8,206.0,0.0426,0.0,
2709879298,40.7598373,-73.9955472,office_professional,7.0,428.7,22.2,83.0,171.1,293.7,0.1031,0.0,
2709892524,40.7601492,-73.9909867,food_drink,7.0,218.5,67.4,224.8,194.2,132.3,0.1485,0.0165,
2709892566,40.7610811,-73.9941852,food_drink,7.0,486.3,74.2,208.9,122.9,127.2,0.0195,0.0,
2709892569,40.7603302,-73.9914739,retail,7.0,117.7,58.0,238.6,154.5,151.0,0.1302,0.0127,
2709897877,40.7620108,-73.9935128,food_drink,7.0,116.3,45.3,313.5,183.2,94.6,0.004,0.0,
2709906280,40.7606664,-73.989737,leisure_entertainment,3.5,301.1,112.0,227.2,115.9,93.0,0.2007,0.0242,
2709906342,40.7615795,-73.9905641,food_drink,7.0,116.6,101.0,143.3,162.3,103.7,0.1478,0.0087,
2709906348,40.7603842,-73.9877206,retail,3.5,210.0,110.5,309.8,95.9,181.0,0.1778,0.0556,
2709915241,40.7620625,-73.9897658,food_drink,7.0,271.9,92.6,71.9,113.0,76.9,0.1655,0.0169,
2709915245,40.7609997,-73.9872725,retail,7.0,184.4,33.5,282.1,90.2,181.6,0.1687,0.0602,
