cell_id,transit_stop_density
r0032_c0072,133.33
r0032_c0073,0.0
r0032_c0074,44.44
r0032_c0075,44.44
r0032_c0077,88.89
r0033_c0056,0.0
r0033_c0057,0.0
r0033_c0058,0.0
r0033_c0059,0.0
r0033_c0060,0.0
r0033_c0061,0.0
r0033_c0062,0.0
r0033_c0064,0.0
r0033_c0065,88.89
r0033_c0066,0.0
r0033_c0067,0.0
r0033_c0068,222.22
r0033_c0074,88.89
r0033_c0075,0.0
r0033_c0076,0.0
r0033_c0077,88.89
r0033_c0078,44.44
r0033_c0079,133.33
r0034_c0056,0.0
r0034_c0057,0.0
r0034_c0058,0.0
r0034_c0059,0.0
r0034_c0060,0.0
r0034_c0061,0.0
r0034_c0062,0.0
r0034_c0063,0.0
r0034_c0065,88.89
r0034_c0066,0.0
r0034_c0067,0.0
r0034_c0070,133.33
r0034_c0074,177.78
r0034_c0075,0.0
r0034_c0076,177.78
r0034_c0078,0.0
r0034_c0079,44.44
r0035_c0056,0.0
r0035_c0057,0.0
r0035_c0058,0.0
r0035_c0059,0.0
r0035_c0060,0.0
r0035_c0061,0.0
r0035_c0062,0.0
r0035_c0063,0.0
r0035_c0065,0.0
r0035_c0066,88.89
r0035_c0067,0.0
r0035_c0070,88.89
r0036_c0056,0.0
r0036_c0057,0.0
r0036_c0058,0.0
r0036_c0059,0.0
r0036_c0060,0.0
r0036_c0061,0.0
r0036_c0062,0.0
r0036_c0063,0.0
r0036_c0064,0.0
r0036_c0065,0.0
r0036_c0066,44.44
r0036_c0067,44.44
r0036_c0070,88.89
r0036_c0071,0.0
r0036_c0072,0.0
r0036_c0073,88.89
r0036_c0074,0.0
r0036_c0075,0.0
r0036_c0077,0.0
r0037_c0056,0.0
r0037_c0057,0.0
r0037_c0058,0.0
r0037_c0059,0.0
r0037_c0060,0.0
r0037_c0061,0.0
r0037_c0062,0.0
r0037_c0063,0.0
r0037_c0064,0.0
r0037_c0066,0.0
r0037_c0067,44.44
r0037_c0069,88.89
r0037_c0070,44.44
r0037_c0071,0.0
r0037_c0072,0.0
r0037_c0073,88.89
r0037_c0074,88.89
r0037_c0075,0.0
r0037_c0076,88.89
r0037_c0077,0.0
r0037_c0082,577.78
r0038_c0057,0.0
r0038_c0058,0.0
r0038_c0059,0.0
r0038_c0060,0.0
r0038_c0061,0.0
r0038_c0062,0.0
r0038_c0063,0.0
r0038_c0064,0.0
r0038_c0066,0.0
r0038_c0067,0.0
r0038_c0068,88.89
r0038_c0069,133.33
r0038_c0070,44.44
r0038_c0071,0.0
r0038_c0072,0.0
r0038_c0073,88.89
r0038_c0074,0.0
r0038_c0075,0.0
r0038_c0076,44.44
r0038_c0077,88.89
r0038_c0078,0.0
r0038_c0079,88.89
r0038_c0080,0.0
r0039_c0057,0.0
r0039_c0058,0.0
r0039_c0059,0.0
r0039_c0060,0.0
r0039_c0061,0.0
r0039_c0062,0.0
r0039_c0063,0.0
r0039_c0064,0.0
r0039_c0067,0.0
r0039_c0068,0.0
r0039_c0069,0.0
r0039_c0070,222.22
r0039_c0071,88.89
r0039_c0072,88.89
r0039_c0073,133.33
r0039_c0075,44.44
r0039_c0076,0.0
r0039_c0077,0.0
r0039_c0078,0.0
r0039_c0079,88.89
r0039_c0082,88.89
r0039_c0083,88.89
r0039_c0084,133.33
r0039_c0085,44.44
r0040_c0057,0.0
r0040_c0058,0.0
r0040_c0059,0.0
r0040_c0060,0.0
r0040_c0061,0.0
r0040_c0062,0.0
r0040_c0063,0.0
r0040_c0064,133.33
r0040_c0067,88.89
r0040_c0068,0.0
r0040_c0069,44.44
r0040_c0070,88.89
r0040_c0071,177.78
r0040_c0073,0.0
r0040_c0074,88.89
r0040_c0075,44.44
r0040_c0077,444.44
r0040_c0080,0.0
r0040_c0082,0.0
r0040_c0083,0.0
r0040_c0084,0.0
r0040_c0085,88.89
r0041_c0057,0.0
r0041_c0058,0.0
r0041_c0059,0.0
r0041_c0060,0.0
r0041_c0061,0.0
r0041_c0062,0.0
r0041_c0063,0.0
r0041_c0064,0.0
r0041_c0066,0.0
r0041_c0068,44.44
r0041_c0069,0.0
r0041_c0070,0.0
r0041_c0072,88.89
r0041_c0073,44.44
r0041_c0074,0.0
r0041_c0075,0.0
r0041_c0076,88.89
r0041_c0077,0.0
r0041_c0078,88.89
r0041_c0080,177.78
r0041_c0082,44.44
r0041_c0083,0.0
r0041_c0084,0.0
r0041_c0085,0.0
r0041_c0086,0.0
r0041_c0087,44.44
r0042_c0058,0.0
r0042_c0059,0.0
r0042_c0060,0.0
r0042_c0061,0.0
r0042_c0062,0.0
r0042_c0063,0.0
r0042_c0064,0.0
r0042_c0066,44.44
r0042_c0067,44.44
r0042_c0068,44.44
r0042_c0069,44.44
r0042_c0070,0.0
r0042_c0071,44.44
r0042_c0072,44.44
r0042_c0073,0.0
r0042_c0074,0.0
r0042_c0075,0.0
r0042_c0076,0.0
r0042_c0077,0.0
r0042_c0078,0.0
r0042_c0079,0.0
r0042_c0080,44.44
r0042_c0081,88.89
r0042_c0082,44.44
r0042_c0083,0.0
r0042_c0084,0.0
r0042_c0085,133.33
r0042_c0087,88.89
r0042_c0088,0.0
r0043_c0058,0.0
r0043_c0059,0.0
r0043_c0060,0.0
r0043_c0061,0.0
r0043_c0062,0.0
r0043_c0063,0.0
r0043_c0064,0.0
r0043_c0066,0.0
r0043_c0067,44.44
r0043_c0069,0.0
r0043_c0070,0.0
r0043_c0071,0.0
r0043_c0072,133.33
r0043_c0073,0.0
r0043_c0074,0.0
r0043_c0075,0.0
r0043_c0076,0.0
r0043_c0077,0.0
r0043_c0078,0.0
r0043_c0079,0.0
r0043_c0080,44.44
r0043_c0081,0.0
r0043_c0082,44.44
r0043_c0083,0.0
r0043_c0084,0.0
r0043_c0085,0.0
r0044_c0059,0.0
r0044_c0060,0.0
r0044_c0061,0.0
r0044_c0062,0.0
r0044_c0063,0.0
r0044_c0066,0.0
r0044_c0068,0.0
r0044_c0069,0.0
r0044_c0070,0.0
r0044_c0071,0.0
r0044_c0072,0.0
r0044_c0073,0.0
r0044_c0074,0.0
r0044_c0075,0.0
r0044_c0076,0.0
r0044_c0078,44.44
r0044_c0080,133.33
r0044_c0081,0.0
r0044_c0082,0.0
r0044_c0083,44.44
r0044_c0084,44.44
r0044_c0085,88.89
r0044_c0087,0.0
r0044_c0088,0.0
r0044_c0089,0.0
r0044_c0090,133.33
r0045_c0059,0.0
r0045_c0063,0.0
r0045_c0064,0.0
r0045_c0067,0.0
r0045_c0068,0.0
r0045_c0069,0.0
r0045_c0070,0.0
r0045_c0071,0.0
r0045_c0072,0.0
r0045_c0073,0.0
r0045_c0074,0.0
r0045_c0075,0.0
r0045_c0077,0.0
r0045_c0078,88.89
r0045_c0079,133.33
r0045_c0080,133.33
r0045_c0081,0.0
r0045_c0082,0.0
r0045_c0083,0.0
r0045_c0084,44.44
r0045_c0085,88.89
r0045_c0086,44.44
r0045_c0087,0.0
r0045_c0089,44.44
r0045_c0090,44.44
r0046_c0061,0.0
r0046_c0062,0.0
r0046_c0065,0.0
r0046_c0066,222.22
r0046_c0067,0.0
r0046_c0068,0.0
r0046_c0069,0.0
r0046_c0070,0.0
r0046_c0071,88.89
r0046_c0073,0.0
r0046_c0074,0.0
r0046_c0077,0.0
r0046_c0078,44.44
r0046_c0080,0.0
r0046_c0081,0.0
r0046_c0084,0.0
r0046_c0085,88.89
r0046_c0086,133.33
r0046_c0088,0.0
r0046_c0089,0.0
r0046_c0090,44.44
r0046_c0091,0.0
r0046_c0092,311.11
r0047_c0063,0.0
r0047_c0064,0.0
r0047_c0065,0.0
r0047_c0067,0.0
r0047_c0068,0.0
r0047_c0069,0.0
r0047_c0070,0.0
r0047_c0071,44.44
r0047_c0075,0.0
r0047_c0077,0.0
r0047_c0078,0.0
r0047_c0079,44.44
r0047_c0080,0.0
r0047_c0081,0.0
r0047_c0082,0.0
r0047_c0084,0.0
r0047_c0085,44.44
r0047_c0086,0.0
r0047_c0087,88.89
r0047_c0088,0.0
r0047_c0089,88.89
r0047_c0090,0.0
r0047_c0091,0.0
r0047_c0092,0.0
r0047_c0093,133.33
r0048_c0060,0.0
r0048_c0061,0.0
r0048_c0063,0.0
r0048_c0064,0.0
r0048_c0067,0.0
r0048_c0068,0.0
r0048_c0069,0.0
r0048_c0070,0.0
r0048_c0071,44.44
r0048_c0072,0.0
r0048_c0073,177.78
r0048_c0075,177.78
r0048_c0077,88.89
r0048_c0078,0.0
r0048_c0079,0.0
r0048_c0080,0.0
r0048_c0081,0.0
r0048_c0082,0.0
r0048_c0083,44.44
r0048_c0084,0.0
r0048_c0085,88.89
r0048_c0086,44.44
r0048_c0087,88.89
r0048_c0088,88.89
r0048_c0089,44.44
r0048_c0090,0.0
r0048_c0091,0.0
r0048_c0092,0.0
r0048_c0093,0.0
r0048_c0094,88.89
r0049_c0061,0.0
r0049_c0062,0.0
r0049_c0067,88.89
r0049_c0068,0.0
r0049_c0069,0.0
r0049_c0070,0.0
r0049_c0072,88.89
r0049_c0073,44.44
r0049_c0074,0.0
r0049_c0077,44.44
r0049_c0078,0.0
r0049_c0080,88.89
r0049_c0081,88.89
r0049_c0082,88.89
r0049_c0084,44.44
r0049_c0085,133.33
r0049_c0086,44.44
r0049_c0090,88.89
r0049_c0091,0.0
r0049_c0092,88.89
r0049_c0093,0.0
r0049_c0094,0.0
r0049_c0095,88.89
r0050_c0061,0.0
r0050_c0065,0.0
r0050_c0068,0.0
r0050_c0069,0.0
r0050_c0070,0.0
r0050_c0072,88.89
r0050_c0073,133.33
r0050_c0074,88.89
r0050_c0076,44.44
r0050_c0077,44.44
r0050_c0078,88.89
r0050_c0087,0.0
r0050_c0088,88.89
r0050_c0089,0.0
r0050_c0090,0.0
r0050_c0091,0.0
r0050_c0092,88.89
r0050_c0093,0.0
r0050_c0094,0.0
r0050_c0095,0.0
r0050_c0096,88.89
r0051_c0063,0.0
r0051_c0064,0.0
r0051_c0065,0.0
r0051_c0068,0.0
r0051_c0069,0.0
r0051_c0070,0.0
r0051_c0071,0.0
r0051_c0072,44.44
r0051_c0073,0.0
r0051_c0074,0.0
r0051_c0075,0.0
r0051_c0076,88.89
r0051_c0077,0.0
r0051_c0078,0.0
r0051_c0082,0.0
r0051_c0084,0.0
r0051_c0085,0.0
r0051_c0086,0.0
r0051_c0087,44.44
r0051_c0088,133.33
r0051_c0089,177.78
r0051_c0091,0.0
r0051_c0092,44.44
r0051_c0093,44.44
r0051_c0094,0.0
r0051_c0095,0.0
r0051_c0096,0.0
r0051_c0097,88.89
r0052_c0059,0.0
r0052_c0064,0.0
r0052_c0067,88.89
r0052_c0069,0.0
r0052_c0070,88.89
r0052_c0071,488.89
r0052_c0073,88.89
r0052_c0074,0.0
r0052_c0075,44.44
r0052_c0076,44.44
r0052_c0077,0.0
r0052_c0078,0.0
r0052_c0079,0.0
r0052_c0080,0.0
r0052_c0081,0.0
r0052_c0082,0.0
r0052_c0084,0.0
r0052_c0085,0.0
r0052_c0086,0.0
r0052_c0088,0.0
r0052_c0091,44.44
r0052_c0092,44.44
r0052_c0093,88.89
r0052_c0094,0.0
r0052_c0095,0.0
r0052_c0096,0.0
r0052_c0097,0.0
r0052_c0098,177.78
r0053_c0046,0.0
r0053_c0055,0.0
r0053_c0059,0.0
r0053_c0060,0.0
r0053_c0067,0.0
r0053_c0073,311.11
r0053_c0074,133.33
r0053_c0075,44.44
r0053_c0076,0.0
r0053_c0077,0.0
r0053_c0078,0.0
r0053_c0079,44.44
r0053_c0080,0.0
r0053_c0081,0.0
r0053_c0084,0.0
r0053_c0085,88.89
r0053_c0086,44.44
r0053_c0087,88.89
r0053_c0088,0.0
r0053_c0089,0.0
r0053_c0090,0.0
r0053_c0091,0.0
r0053_c0092,0.0
r0053_c0093,88.89
r0053_c0094,88.89
r0053_c0095,0.0
r0053_c0096,0.0
r0053_c0097,88.89
r0053_c0099,88.89
r0054_c0056,0.0
r0054_c0059,0.0
r0054_c0060,0.0
r0054_c0061,0.0
r0054_c0069,0.0
r0054_c0073,44.44
r0054_c0074,0.0
r0054_c0075,177.78
r0054_c0076,0.0
r0054_c0077,0.0
r0054_c0078,44.44
r0054_c0080,0.0
r0054_c0082,0.0
r0054_c0083,44.44
r0054_c0084,44.44
r0054_c0085,0.0
r0054_c0086,0.0
r0054_c0087,0.0
r0054_c0088,0.0
r0054_c0089,0.0
r0054_c0090,0.0
r0054_c0091,0.0
r0054_c0092,0.0
r0054_c0093,0.0
r0054_c0094,0.0
r0054_c0095,0.0
r0054_c0096,44.44
r0054_c0099,88.89
r0055_c0055,0.0
r0055_c0059,0.0
r0055_c0060,0.0
r0055_c0061,0.0
r0055_c0062,44.44
r0055_c0067,0.0
r0055_c0069,0.0
r0055_c0070,0.0
r0055_c0074,0.0
r0055_c0076,44.44
r0055_c0077,0.0
r0055_c0078,0.0
r0055_c0079,133.33
r0055_c0080,0.0
r0055_c0082,44.44
r0055_c0083,88.89
r0055_c0084,0.0
r0055_c0086,88.89
r0055_c0087,0.0
r0055_c0088,0.0
r0055_c0089,0.0
r0055_c0090,0.0
r0055_c0091,0.0
r0055_c0092,44.44
r0055_c0093,44.44
r0055_c0094,0.0
r0055_c0096,177.78
r0055_c0098,133.33
r0055_c0099,0.0
r0055_c0100,88.89
r0055_c0101,88.89
r0056_c0059,0.0
r0056_c0060,0.0
r0056_c0061,0.0
r0056_c0062,0.0
r0056_c0072,0.0
r0056_c0074,0.0
r0056_c0076,133.33
r0056_c0077,44.44
r0056_c0078,88.89
r0056_c0080,88.89
r0056_c0081,44.44
r0056_c0082,0.0
r0056_c0083,0.0
r0056_c0084,0.0
r0056_c0085,0.0
r0056_c0091,0.0
r0056_c0093,44.44
r0056_c0096,0.0
r0056_c0099,44.44
r0056_c0100,0.0
r0056_c0101,0.0
r0056_c0102,44.44
r0057_c0055,0.0
r0057_c0059,0.0
r0057_c0060,0.0
r0057_c0061,44.44
r0057_c0062,0.0
r0057_c0064,44.44
r0057_c0074,0.0
r0057_c0077,0.0
r0057_c0078,0.0
r0057_c0079,0.0
r0057_c0080,133.33
r0057_c0081,0.0
r0057_c0082,0.0
r0057_c0083,0.0
r0057_c0084,0.0
r0057_c0085,0.0
r0057_c0086,88.89
r0057_c0087,0.0
r0057_c0088,0.0
r0057_c0089,0.0
r0057_c0090,0.0
r0057_c0091,0.0
r0057_c0094,133.33
r0057_c0095,0.0
r0057_c0096,0.0
r0057_c0099,0.0
r0057_c0100,0.0
r0057_c0101,0.0
r0057_c0102,44.44
r0058_c0054,0.0
r0058_c0055,0.0
r0058_c0059,0.0
r0058_c0060,0.0
r0058_c0061,44.44
r0058_c0063,0.0
r0058_c0077,0.0
r0058_c0078,0.0
r0058_c0079,0.0
r0058_c0080,0.0
r0058_c0081,88.89
r0058_c0082,44.44
r0058_c0083,0.0
r0058_c0084,0.0
r0058_c0085,0.0
r0058_c0086,44.44
r0058_c0087,44.44
r0058_c0088,0.0
r0058_c0089,0.0
r0058_c0090,0.0
r0058_c0091,0.0
r0058_c0092,222.22
r0058_c0093,44.44
r0058_c0094,0.0
r0058_c0095,0.0
r0058_c0096,0.0
r0058_c0097,0.0
r0058_c0099,44.44
r0058_c0100,0.0
r0058_c0101,0.0
r0058_c0102,0.0
r0058_c0103,0.0
r0058_c0104,88.89
r0059_c0059,0.0
r0059_c0060,0.0
r0059_c0061,0.0
r0059_c0062,0.0
r0059_c0063,0.0
r0059_c0065,0.0
r0059_c0080,0.0
r0059_c0081,0.0
r0059_c0082,44.44
r0059_c0083,0.0
r0059_c0084,44.44
r0059_c0085,0.0
r0059_c0086,44.44
r0059_c0087,44.44
r0059_c0088,0.0
r0059_c0089,44.44
r0059_c0091,0.0
r0059_c0092,0.0
r0059_c0094,0.0
r0059_c0095,0.0
r0059_c0096,0.0
r0059_c0097,0.0
r0059_c0098,0.0
r0059_c0100,0.0
r0059_c0101,44.44
r0059_c0102,88.89
r0059_c0103,0.0
r0059_c0104,0.0
r0059_c0105,0.0
r0060_c0053,0.0
r0060_c0054,0.0
r0060_c0059,0.0
r0060_c0060,44.44
r0060_c0061,44.44
r0060_c0062,44.44
r0060_c0063,0.0
r0060_c0066,0.0
r0060_c0074,0.0
r0060_c0080,0.0
r0060_c0081,0.0
r0060_c0082,0.0
r0060_c0083,0.0
r0060_c0084,44.44
r0060_c0085,88.89
r0060_c0086,44.44
r0060_c0087,44.44
r0060_c0088,88.89
r0060_c0089,0.0
r0060_c0090,44.44
r0060_c0091,0.0
r0060_c0092,44.44
r0060_c0093,0.0
r0060_c0094,0.0
r0060_c0095,0.0
r0060_c0096,0.0
r0060_c0097,0.0
r0060_c0098,0.0
r0060_c0099,0.0
r0060_c0100,0.0
r0060_c0104,88.89
r0060_c0105,0.0
r0060_c0106,88.89
r0061_c0052,0.0
r0061_c0053,0.0
r0061_c0054,0.0
r0061_c0059,0.0
r0061_c0060,44.44
r0061_c0062,44.44
r0061_c0063,88.89
r0061_c0066,0.0
r0061_c0067,0.0
r0061_c0068,0.0
r0061_c0069,0.0
r0061_c0071,0.0
r0061_c0072,0.0
r0061_c0073,0.0
r0061_c0074,88.89
r0061_c0076,0.0
r0061_c0081,0.0
r0061_c0082,0.0
r0061_c0083,0.0
r0061_c0084,0.0
r0061_c0088,0.0
r0061_c0089,0.0
r0061_c0090,0.0
r0061_c0091,0.0
r0061_c0092,0.0
r0061_c0093,0.0
r0061_c0097,0.0
r0061_c0098,0.0
r0061_c0105,0.0
r0061_c0106,88.89
r0062_c0041,0.0
r0062_c0051,0.0
r0062_c0052,0.0
r0062_c0053,0.0
r0062_c0058,0.0
r0062_c0059,266.67
r0062_c0060,0.0
r0062_c0062,44.44
r0062_c0063,0.0
r0062_c0065,0.0
r0062_c0066,0.0
r0062_c0067,0.0
r0062_c0068,0.0
r0062_c0069,0.0
r0062_c0071,0.0
r0062_c0072,0.0
r0062_c0073,0.0
r0062_c0074,0.0
r0062_c0075,0.0
r0062_c0077,0.0
r0062_c0082,0.0
r0062_c0087,177.78
r0062_c0088,88.89
r0062_c0089,0.0
r0062_c0090,0.0
r0062_c0091,0.0
r0062_c0092,0.0
r0062_c0093,0.0
r0062_c0094,0.0
r0062_c0095,0.0
r0062_c0096,0.0
r0062_c0097,0.0
r0062_c0105,0.0
r0062_c0106,88.89
r0063_c0052,0.0
r0063_c0053,0.0
r0063_c0061,44.44
r0063_c0062,88.89
r0063_c0063,88.89
r0063_c0065,133.33
r0063_c0066,177.78
r0063_c0067,133.33
r0063_c0068,0.0
r0063_c0069,88.89
r0063_c0071,88.89
r0063_c0074,88.89
r0063_c0077,0.0
r0063_c0079,0.0
r0063_c0087,0.0
r0063_c0088,0.0
r0063_c0089,133.33
r0063_c0090,44.44
r0063_c0091,44.44
r0063_c0092,0.0
r0063_c0093,0.0
r0063_c0094,0.0
r0063_c0098,0.0
r0063_c0104,0.0
r0063_c0105,0.0
r0063_c0106,0.0
r0063_c0107,0.0
r0063_c0108,133.33
r0063_c0109,266.67
r0064_c0051,0.0
r0064_c0056,133.33
r0064_c0057,0.0
r0064_c0058,311.11
r0064_c0061,0.0
r0064_c0065,0.0
r0064_c0066,44.44
r0064_c0067,0.0
r0064_c0068,0.0
r0064_c0069,0.0
r0064_c0070,0.0
r0064_c0071,0.0
r0064_c0073,177.78
r0064_c0077,0.0
r0064_c0078,0.0
r0064_c0079,0.0
r0064_c0088,0.0
r0064_c0089,0.0
r0064_c0090,88.89
r0064_c0093,0.0
r0064_c0098,0.0
r0064_c0102,0.0
r0064_c0103,0.0
r0064_c0104,0.0
r0064_c0105,0.0
r0064_c0106,0.0
r0064_c0107,0.0
r0064_c0108,0.0
r0064_c0109,44.44
r0064_c0110,44.44
r0065_c0051,0.0
r0065_c0052,0.0
r0065_c0055,0.0
r0065_c0057,88.89
r0065_c0060,0.0
r0065_c0061,0.0
r0065_c0067,0.0
r0065_c0069,0.0
r0065_c0070,0.0
r0065_c0071,0.0
r0065_c0073,0.0
r0065_c0075,44.44
r0065_c0076,88.89
r0065_c0077,0.0
r0065_c0078,0.0
r0065_c0079,44.44
r0065_c0083,0.0
r0065_c0084,0.0
r0065_c0089,0.0
r0065_c0090,0.0
r0065_c0091,0.0
r0065_c0092,88.89
r0065_c0101,0.0
r0065_c0102,0.0
r0065_c0103,0.0
r0065_c0104,0.0
r0065_c0105,88.89
r0065_c0106,0.0
r0065_c0107,0.0
r0065_c0108,0.0
r0065_c0109,133.33
r0065_c0110,44.44
r0066_c0047,0.0
r0066_c0048,88.89
r0066_c0049,0.0
r0066_c0050,0.0
r0066_c0051,0.0
r0066_c0054,0.0
r0066_c0055,88.89
r0066_c0058,0.0
r0066_c0060,88.89
r0066_c0061,0.0
r0066_c0062,0.0
r0066_c0063,0.0
r0066_c0065,0.0
r0066_c0066,0.0
r0066_c0067,0.0
r0066_c0068,0.0
r0066_c0069,0.0
r0066_c0070,0.0
r0066_c0071,0.0
r0066_c0072,0.0
r0066_c0074,44.44
r0066_c0075,0.0
r0066_c0076,0.0
r0066_c0077,44.44
r0066_c0078,222.22
r0066_c0079,44.44
r0066_c0081,0.0
r0066_c0082,0.0
r0066_c0083,0.0
r0066_c0084,0.0
r0066_c0090,0.0
r0066_c0091,0.0
r0066_c0092,88.89
r0066_c0101,0.0
r0066_c0102,0.0
r0066_c0103,0.0
r0066_c0104,44.44
r0066_c0105,0.0
r0066_c0106,0.0
r0066_c0108,0.0
r0066_c0109,0.0
r0066_c0110,0.0
r0066_c0111,0.0
r0066_c0112,88.89
r0067_c0048,0.0
r0067_c0049,0.0
r0067_c0053,0.0
r0067_c0054,0.0
r0067_c0056,88.89
r0067_c0058,0.0
r0067_c0059,88.89
r0067_c0060,0.0
r0067_c0061,0.0
r0067_c0062,0.0
r0067_c0063,0.0
r0067_c0065,0.0
r0067_c0067,0.0
r0067_c0068,0.0
r0067_c0069,0.0
r0067_c0070,0.0
r0067_c0071,0.0
r0067_c0072,88.89
r0067_c0074,0.0
r0067_c0075,0.0
r0067_c0076,88.89
r0067_c0077,0.0
r0067_c0078,177.78
r0067_c0079,88.89
r0067_c0081,0.0
r0067_c0082,0.0
r0067_c0083,0.0
r0067_c0084,0.0
r0067_c0087,0.0
r0067_c0090,0.0
r0067_c0091,0.0
r0067_c0101,88.89
r0067_c0103,0.0
r0067_c0104,88.89
r0067_c0105,0.0
r0067_c0106,0.0
r0067_c0107,0.0
r0067_c0108,44.44
r0067_c0109,0.0
r0067_c0110,44.44
r0067_c0111,88.89
r0067_c0113,0.0
r0068_c0052,0.0
r0068_c0053,0.0
r0068_c0054,0.0
r0068_c0055,0.0
r0068_c0056,0.0
r0068_c0057,44.44
