cell_id,cell_lat,cell_lon,zone_type,cell_lot_count,amenity_density,amenity_ratio_food_drink,avg_floors,avg_yearbuilt,total_bldg_area,building_count,landuse_entropy,tourism_density,shop_density_km2,shop_type_entropy,brand_ratio
r0016_c0017,40.7085485,-74.0154616,Commercial,3,4577.78,0.0097,20.0,1937.0,774720.0,3,1.2342,0.0,44.44,-0.0,0.0
r0016_c0018,40.7085485,-74.0136772,Commercial,20,2044.44,0.2609,17.1,1934.0,2621924.0,19,1.6953,177.78,177.78,1.5,0.0
r0016_c0019,40.7085485,-74.0118928,Institutional,6,1111.11,0.12,25.5,1924.0,1608429.0,6,1.1685,44.44,0.0,0.0,0.0
r0016_c0020,40.7085485,-74.0101084,Commercial,9,2355.56,0.0566,22.6,1917.0,3142351.0,8,0.4029,266.67,44.44,-0.0,0.0
r0016_c0021,40.7085485,-74.008324,Commercial,12,2933.33,0.1212,15.4,1929.0,2682422.0,12,0.6669,44.44,266.67,2.585,0.3333
r0016_c0022,40.7085485,-74.0065396,Mixed-Use,12,2311.11,0.1538,23.7,1956.0,2922689.0,12,0.9585,0.0,311.11,2.8074,0.1429
r0016_c0023,40.7085485,-74.0047552,Mixed-Use,17,5777.78,0.0846,10.8,1941.0,856556.0,15,2.2988,0.0,355.56,3.0,0.25
r0016_c0024,40.7085485,-74.0029708,Mixed-Use,3,3422.22,0.0,4.5,1836.0,21817.0,2,0.5861,0.0,0.0,0.0,0.0
r0016_c0025,40.7085485,-74.0011864,Mixed-Use,33,3822.22,0.093,5.4,1902.0,533584.0,38,2.1578,88.89,0.0,0.0,0.0
r0017_c0016,40.7098999,-74.017246,Mixed-Use,4,15822.22,0.0562,16.3,1986.0,604843.0,4,0.8939,222.22,133.33,0.9183,0.0
r0017_c0018,40.7098999,-74.0136772,Mixed-Use,9,8844.44,0.0251,21.5,1961.0,962720.0,8,2.0986,444.44,0.0,0.0,0.0
r0017_c0019,40.7098999,-74.0118928,Mixed-Use,9,2177.78,0.1429,9.9,1945.0,396307.0,9,2.1391,222.22,44.44,-0.0,1.0
r0017_c0020,40.7098999,-74.0101084,Commercial,19,2666.67,0.1667,15.4,1937.0,3357115.0,21,1.0748,133.33,711.11,3.4528,0.3125
r0017_c0021,40.7098999,-74.008324,Mixed-Use,34,3911.11,0.3523,8.0,1912.0,1133395.0,32,1.9699,88.89,1288.89,3.7159,0.1379
r0017_c0022,40.7098999,-74.0065396,Commercial,25,3244.44,0.2055,13.9,1932.0,2592707.0,25,1.6096,44.44,222.22,2.3219,0.2
r0017_c0023,40.7098999,-74.0047552,Institutional,7,4800.0,0.0185,6.7,1926.0,423745.0,7,0.7971,0.0,0.0,0.0,0.0
r0017_c0024,40.7098999,-74.0029708,Residential,3,2933.33,0.0,8.0,1970.0,2819174.0,12,1.2023,88.89,0.0,0.0,0.0
r0017_c0028,40.7098999,-73.9958333,Industrial,3,8133.33,0.0,6.0,1927.0,274752.0,2,1.0458,0.0,44.44,-0.0,0.0
r0018_c0020,40.7112512,-74.0101084,Commercial,5,2488.89,0.1071,19.0,1902.0,1566011.0,5,0.9961,222.22,1111.11,2.5813,0.52
r0018_c0021,40.7112512,-74.008324,Residential,9,1688.89,0.1579,16.7,1949.0,1487884.0,9,1.2166,133.33,266.67,2.585,0.5
r0018_c0022,40.7112512,-74.0065396,Mixed-Use,18,5688.89,0.0625,20.1,1934.0,2326460.0,20,1.5835,266.67,222.22,2.3219,0.0
