cell_id,shop_density_km2
r0033_c0245,0.0
r0033_c0246,0.0
r0033_c0247,0.0
r0034_c0244,0.0
r0034_c0245,0.0
r0034_c0246,0.0
r0034_c0247,0.0
r0034_c0248,0.0
r0034_c0249,0.0
r0034_c0250,0.0
r0035_c0242,0.0
r0035_c0243,0.0
r0035_c0244,0.0
r0035_c0245,0.0
r0035_c0246,0.0
r0035_c0247,0.0
r0035_c0248,0.0
r0035_c0249,0.0
r0035_c0250,0.0
r0035_c0251,0.0
r0035_c0252,0.0
r0036_c0231,0.0
r0036_c0232,0.0
r0036_c0233,0.0
r0036_c0240,0.0
r0036_c0241,0.0
r0036_c0242,0.0
r0036_c0243,0.0
r0036_c0244,0.0
r0036_c0245,0.0
r0036_c0246,0.0
r0036_c0247,0.0
r0036_c0248,0.0
r0036_c0249,0.0
r0036_c0250,0.0
r0036_c0251,0.0
r0036_c0252,0.0
r0036_c0253,0.0
r0036_c0254,0.0
r0036_c0255,0.0
r0037_c0231,0.0
r0037_c0232,0.0
r0037_c0233,44.44
r0037_c0235,0.0
r0037_c0236,0.0
r0037_c0237,0.0
r0037_c0238,0.0
r0037_c0239,0.0
r0037_c0240,0.0
r0037_c0241,0.0
r0037_c0242,0.0
r0037_c0243,0.0
r0037_c0244,0.0
r0037_c0245,0.0
r0037_c0246,0.0
r0037_c0247,0.0
r0037_c0248,0.0
r0037_c0249,0.0
r0037_c0250,0.0
r0037_c0251,0.0
r0037_c0252,0.0
r0037_c0253,0.0
r0037_c0254,0.0
r0037_c0255,0.0
r0037_c0256,0.0
r0037_c0257,0.0
r0038_c0235,0.0
r0038_c0236,0.0
r0038_c0237,0.0
r0038_c0238,0.0
r0038_c0239,0.0
r0038_c0240,0.0
r0038_c0241,0.0
r0038_c0242,0.0
r0038_c0243,0.0
r0038_c0244,0.0
r0038_c0245,0.0
r0038_c0246,0.0
r0038_c0247,0.0
r0038_c0248,0.0
r0038_c0249,0.0
r0038_c0250,0.0
r0038_c0251,0.0
r0038_c0252,0.0
r0038_c0253,0.0
r0038_c0254,0.0
r0038_c0255,0.0
r0038_c0256,0.0
r0038_c0257,0.0
r0038_c0258,0.0
r0038_c0259,0.0
r0038_c0260,0.0
r0039_c0225,0.0
r0039_c0226,0.0
r0039_c0227,0.0
r0039_c0232,0.0
r0039_c0234,0.0
r0039_c0235,0.0
r0039_c0236,0.0
r0039_c0237,0.0
r0039_c0238,0.0
r0039_c0239,0.0
r0039_c0240,0.0
r0039_c0241,0.0
r0039_c0242,0.0
r0039_c0243,0.0
r0039_c0244,0.0
r0039_c0245,0.0
r0039_c0246,0.0
r0039_c0247,0.0
r0039_c0248,0.0
r0039_c0249,0.0
r0039_c0250,0.0
r0039_c0251,0.0
r0039_c0252,0.0
r0039_c0253,0.0
r0039_c0254,0.0
r0039_c0255,0.0
r0039_c0256,0.0
r0039_c0257,0.0
r0039_c0258,0.0
r0039_c0259,0.0
r0039_c0260,0.0
r0039_c0261,0.0
r0039_c0262,0.0
r0040_c0220,0.0
r0040_c0221,0.0
r0040_c0222,0.0
r0040_c0223,0.0
r0040_c0224,0.0
r0040_c0225,0.0
r0040_c0226,0.0
r0040_c0227,0.0
r0040_c0232,0.0
r0040_c0234,0.0
r0040_c0235,0.0
r0040_c0236,0.0
r0040_c0237,0.0
r0040_c0238,0.0
r0040_c0239,0.0
r0040_c0240,0.0
r0040_c0241,0.0
r0040_c0242,0.0
r0040_c0243,44.44
r0040_c0244,0.0
r0040_c0245,0.0
r0040_c0246,0.0
r0040_c0247,0.0
r0040_c0248,0.0
r0040_c0249,0.0
r0040_c0250,0.0
r0040_c0251,0.0
r0040_c0252,0.0
r0040_c0253,0.0
r0040_c0254,0.0
r0040_c0255,0.0
r0040_c0256,0.0
r0040_c0257,0.0
r0040_c0258,0.0
r0040_c0259,0.0
r0040_c0260,0.0
r0040_c0261,0.0
r0040_c0262,0.0
r0040_c0263,0.0
r0040_c0264,0.0
r0040_c0265,0.0
